chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-04-01 15:56:57.500999,slurm_normal,1459526260.0,0,,1.0,main_w2_handler1,2631225,12312508,False,,28621425,vcf,6520160.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/012/373/dataset_12373292.dat""","""canSat3""",24093011,,,32.0,,27380452.0,1459526249.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-01 15:57:43.234858,21426.0,11.0
,,2016-04-03 16:07:14.124142,slurm_normal,1459699649.0,0,,1.0,main_w2_handler0,2655038,12326108,False,,1308942,vcf,6532764.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24120479,,,32.0,,29376596.0,1459699645.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-03 16:07:32.061764,81136.0,4.0
,,2016-04-03 16:41:44.549609,slurm_normal,1459701726.0,0,,1.0,main_w1_handler1,2655038,12326290,False,,602622,vcf,6532940.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24120407,,,32.0,,29376596.0,1459701717.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-03 16:42:08.028114,81136.0,9.0
,,2016-04-03 16:41:45.401921,slurm_normal,1459701727.0,0,,1.0,main_w2_handler1,2655038,12326292,False,,518720,vcf,6532942.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24120409,,,32.0,,29376596.0,1459701720.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-03 16:42:10.605365,81136.0,7.0
,,2016-04-03 17:09:47.048607,slurm_normal,1459703401.0,0,,1.0,main_w1_handler2,2655745,12326404,False,,602621,vcf,6533060.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24121648,,,32.0,,29376596.0,1459703397.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-03 17:10:03.013971,81136.0,4.0
,,2016-04-03 16:41:45.034045,slurm_normal,1459701727.0,0,,1.0,main_w2_handler1,2655038,12326291,False,,534347,vcf,6532941.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24120408,,,32.0,,29376596.0,1459701720.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-03 16:42:10.615701,81136.0,7.0
,,2016-04-03 17:09:47.438731,slurm_normal,1459703401.0,0,,1.0,main_w1_handler0,2655745,12326405,False,,534347,vcf,6533061.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24121649,,,32.0,,29376596.0,1459703397.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-03 17:10:04.517769,81136.0,4.0
,,2016-04-03 22:51:18.947756,slurm_normal,1459723972.0,0,,1.0,main_w1_handler0,2634693,12328932,False,,7566,vcf,6535212.roundup,slurm,,132112168.0,corral-repl,,"""8e97c0c6f9ee11e59524005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24128882,,,32.0,,29010542.0,1459723969.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-03 22:52:56.531385,80683.0,3.0
,,2016-04-03 22:51:19.267696,slurm_normal,1459724002.0,0,,1.0,main_w1_handler2,2634693,12328933,False,,7566,vcf,6535220.roundup,slurm,,132112168.0,corral-repl,,"""8e97c0c6f9ee11e59524005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24128883,,,32.0,,29010542.0,1459723999.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-03 22:53:25.678614,80683.0,3.0
,,2016-04-03 23:23:55.690543,slurm_normal,1459727497.0,0,,1.0,main_w2_handler1,2656320,12329118,False,,602621,vcf,6535613.roundup,slurm,,132112168.0,corral-repl,,"""1dd66b12f9f311e5b08b005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24129185,,,32.0,,29010542.0,1459727490.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-03 23:51:39.953527,80683.0,7.0
,,2016-04-03 23:23:55.340128,slurm_normal,1459727334.0,0,,1.0,main_w1_handler1,2656320,12329117,False,,518719,vcf,6535591.roundup,slurm,,132112168.0,corral-repl,,"""1dd66b12f9f311e5b08b005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24129184,,,32.0,,29010542.0,1459727330.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-03 23:48:56.456888,80683.0,4.0
,,2016-04-03 23:23:56.092121,slurm_normal,1459727339.0,0,,1.0,main_w1_handler0,2656320,12329119,False,,534349,vcf,6535592.roundup,slurm,,132112168.0,corral-repl,,"""1dd66b12f9f311e5b08b005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24129186,,,32.0,,29010542.0,1459727335.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-03 23:49:04.019537,80683.0,4.0
,,2016-04-08 22:26:25.727179,slurm_normal,1460154744.0,0,,1.0,main_w1_handler2,2662894,12396732,False,,443240,vcf,6593927.roundup,slurm,,132112168.0,corral-repl,,"""e05820b6fdd811e5a1c6005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24223876,,,32.0,,29170533.0,1460154736.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-08 22:32:29.066274,81307.0,8.0
,,2016-04-05 09:17:21.856559,slurm_normal,1459847911.0,0,,1.0,main_w1_handler1,2617724,12341422,False,,90233496,vcf,6547078.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",24148164,,,32.0,,29420939.0,1459847900.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfsort/vcfsort/0.0.2,0.0.2,,2016-04-05 09:18:34.267170,79596.0,11.0
