create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.infile.values,parameters.masking_algorithm,parameters.masking_options,parameters.outformat,parameters.parse_seqids,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-03-02 12:55:24.513586,slurm_normal,1519995342.0,0,7680.0,1.0,main_w3_handler0,3426255,18580051,False,187118,fasta,,12674586,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34168525}]","""seg""","""""","""maskinfo_asn1_text""","""true""",32.0,,43856984,1519995338.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_convert2blastmask_wrapper/0.2.01,0.2.01,,2018-03-02 12:55:45.221868,,4.0
2018-03-02 12:03:30.326168,slurm_normal,1519992223.0,0,7680.0,1.0,main_w3_handler1,3426255,18579313,False,376,fasta,,12673962,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34167700}]","""seg""","""""","""maskinfo_asn1_text""","""true""",32.0,,43856984,1519992218.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_convert2blastmask_wrapper/0.2.01,0.2.01,,2018-03-02 12:03:45.647818,,5.0
