chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.input|__identifier__,parameters.kraken_database,parameters.threshold,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-09-18 01:28:24.198703,slurm_normal,1505702007.0,0,,1.0,main_w4_handler1,3114540,16850396,False,,32777578,tabular,10917651.roundup,slurm,,132112168.0,corral-repl,,"""9eea43a29c1011e790a9005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31284155}]",,"""bacteria""","""0.0""",32.0,,,1505701964.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_filter/kraken-filter/1.2.1,1.2.1,,2017-09-18 02:33:30.942926,92488.0,43.0
,,2017-09-25 14:44:34.647860,slurm_normal,1506350952.0,0,,1.0,main_w4_handler0,3263367,16923741,False,,196056,tabular,10992803.roundup,slurm,,132112168.0,corral-repl,,"""e260c364a1ff11e78203005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31405231}]",,"""bacteria""","""0.0""",32.0,,,1506350942.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_filter/kraken-filter/1.2.1,1.2.1,,2017-09-25 14:49:15.487923,92488.0,10.0
,,2017-09-27 21:06:30.766487,slurm_normal,1506548664.0,0,,1.0,main_w3_handler0,3114540,16953252,False,,33027367,tabular,11021820.roundup,slurm,,132112168.0,corral-repl,,"""9a939740a3c711e7b93a005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31452439}]",,"""bacteria""","""0.0""",32.0,,,1506548599.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_filter/kraken-filter/1.2.1,1.2.1,,2017-09-27 21:44:27.448019,92488.0,65.0
,,2017-12-24 19:45:39.204380,slurm_normal,1514145007.0,0,,1.0,main_w4_handler1,3374983,17891271,False,,761432,tabular,11965200,slurm,,132112168.0,corral-repl,,"""fe4d91fee8e211e7bdf4005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33076603}]",,"""bacteria""","""0.0""",32.0,,,1514144975.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_filter/kraken-filter/1.2.1,1.2.1,,2017-12-24 19:50:09.950567,105064.0,32.0
,,2017-12-24 18:39:08.786256,slurm_normal,1514141469.0,0,,1.0,main_w3_handler1,3374983,17891119,False,,1816376,tabular,11965049,slurm,,132112168.0,corral-repl,,"""b36df344e8d911e796d7005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33076347}]",,"""bacteria""","""0.0""",32.0,,,1514141437.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_filter/kraken-filter/1.2.1,1.2.1,,2017-12-24 18:51:10.719541,105064.0,32.0
,,2017-12-24 19:01:30.463886,slurm_normal,1514142506.0,0,,1.0,main_w4_handler1,3374983,17891167,False,,1219906,tabular,11965092,slurm,,132112168.0,corral-repl,,"""d520cee6e8dc11e7a653005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33076447}]",,"""bacteria""","""0.0""",32.0,,,1514142434.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_filter/kraken-filter/1.2.1,1.2.1,,2017-12-24 19:08:28.323572,105064.0,72.0
,,2017-12-24 19:18:28.061974,slurm_normal,1514144235.0,0,,1.0,main_w4_handler0,3374983,17891218,False,,6997657,tabular,11965163,slurm,,132112168.0,corral-repl,,"""2fcbd0c8e8df11e78bc5005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33076523}]",,"""bacteria""","""0.0""",32.0,,,1514144178.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_filter/kraken-filter/1.2.1,1.2.1,,2017-12-24 19:37:17.130940,105064.0,57.0
,,2017-12-24 19:58:16.243872,slurm_normal,1514145742.0,0,,1.0,main_w3_handler0,3374983,17891315,False,,195187,tabular,11965248,slurm,,132112168.0,corral-repl,,"""c1133882e8e411e7b77c005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33076658}]",,"""bacteria""","""0.0""",32.0,,,1514145713.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_filter/kraken-filter/1.2.1,1.2.1,,2017-12-24 20:02:24.690958,105064.0,29.0
,,2017-10-24 18:38:24.460173,slurm_normal,1508870727.0,0,,1.0,main_w4_handler1,3290246,17201273,False,,189052,tabular,11260772,slurm,,132112168.0,corral-repl,,"""7d5044cab8ea11e78151005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31858903}]",,"""bacteria""","""0.0""",32.0,,,1508870691.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_filter/kraken-filter/1.2.1,1.2.1,,2017-10-24 18:47:48.048283,92488.0,36.0
,,2017-10-25 01:18:19.176883,slurm_normal,1508894690.0,0,,1.0,main_w3_handler0,3298757,17204542,False,,187775,tabular,11264434,slurm,,132112168.0,corral-repl,,"""53398574b92211e7b938005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31865445}]",,"""bacteria""","""0.0""",32.0,,,1508894679.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/kraken_filter/kraken-filter/1.2.1,1.2.1,,2017-10-25 01:24:53.438179,92488.0,11.0
