chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.input|__identifier__,parameters.keep_geno,parameters.keep_info,parameters.m_option,parameters.max_length,parameters.t_option,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-05-14 13:26:42.327389,slurm_normal,1431610041.0,0,,1.0,main_w2_handler1,2255047,9471508,False,,2154694,vcf,3795523.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19080565,,,"""False""","""False""","""False""","""200""","""Split primitives""",32.0,,23076769.0,1431610034.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfallelicprimitives/vcfallelicprimitives/0.0.3,0.0.3,,2015-05-14 13:27:24.158686,6102.0,7.0
,,2015-07-01 10:53:30.504377,slurm_normal,1435748033.0,0,,1.0,main_w2_handler0,2361202,9773677,False,,6950,vcf,4076228.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20200651,,,"""False""","""False""","""False""","""200""","""Split primitives""",32.0,,22926646.0,1435748030.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfallelicprimitives/vcfallelicprimitives/0.0.3,0.0.3,,2015-07-01 10:53:57.985060,,3.0
,,2015-07-17 04:19:26.847890,slurm_normal,1437106810.0,0,,1.0,main_w1_handler1,2377513,9889782,False,,1553213,vcf,4179305.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20387971,,,"""False""","""False""","""False""","""200""","""Split primitives""",32.0,,24155460.0,1437106806.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfallelicprimitives/vcfallelicprimitives/0.0.3,0.0.3,,2015-07-17 04:20:14.625924,65807.0,4.0
,,2015-07-23 20:02:29.587368,slurm_normal,1437681783.0,0,,1.0,main_w1_handler2,2386733,9958449,False,,1081440,vcf,4243114.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20504815,,,"""False""","""False""","""False""","""200""","""Split primitives""",32.0,,24274153.0,1437681778.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfallelicprimitives/vcfallelicprimitives/0.0.3,0.0.3,,2015-07-23 20:03:04.844007,66285.0,5.0
,,2015-07-25 07:16:03.350643,slurm_normal,1437808586.0,0,,1.0,main_w1_handler1,2388879,9977166,False,,7455,vcf,4261050.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20527477,,,"""False""","""False""","""False""","""200""","""Split primitives""",32.0,,24274153.0,1437808582.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfallelicprimitives/vcfallelicprimitives/0.0.3,0.0.3,,2015-07-25 07:16:28.601838,66285.0,4.0
,,2015-07-26 09:58:51.562909,slurm_normal,1437904756.0,0,,1.0,main_w1_handler2,2384834,9991954,False,,129831,vcf,4274984.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20557666,,,"""False""","""False""","""True""","""200""","""Split primitives""",32.0,,23298887.0,1437904751.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfallelicprimitives/vcfallelicprimitives/0.0.3,0.0.3,,2015-07-26 09:59:17.731580,58799.0,5.0
,,2015-07-26 09:58:50.536314,slurm_normal,1437904767.0,0,,1.0,main_w1_handler1,2384834,9991953,False,,113986,vcf,4274988.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20557662,,,"""False""","""False""","""True""","""200""","""Split primitives""",32.0,,23298887.0,1437904764.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfallelicprimitives/vcfallelicprimitives/0.0.3,0.0.3,,2015-07-26 09:59:29.281870,58799.0,3.0
,,2015-07-26 09:58:49.366446,slurm_normal,1437904758.0,0,,1.0,main_w1_handler1,2384834,9991952,False,,129831,vcf,4274985.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20557658,,,"""False""","""False""","""True""","""200""","""Split primitives""",32.0,,23298887.0,1437904751.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfallelicprimitives/vcfallelicprimitives/0.0.3,0.0.3,,2015-07-26 09:59:19.560087,58799.0,7.0
,,2015-09-18 12:45:00.253858,slurm_normal,1442580331.0,0,,1.0,main_w1_handler0,2442748,10352880,False,,765808,vcf,4635557.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",21153992,,,"""False""","""False""","""False""","""200""","""Split primitives""",32.0,,25234237.0,1442580324.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfallelicprimitives/vcfallelicprimitives/0.0.3,0.0.3,,2015-09-18 12:45:33.673585,17631.0,7.0
,,2015-09-20 08:33:12.996995,slurm_normal,1442738022.0,0,,1.0,main_w1_handler0,2445023,10364047,False,,12095592,vcf,4645814.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21179536,,,"""False""","""False""","""False""","""200""","""Split primitives""",32.0,,25287405.0,1442738011.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfallelicprimitives/vcfallelicprimitives/0.0.3,0.0.3,,2015-09-20 08:33:44.496307,69692.0,11.0
