GCbiasFrequenciesFile,GCbiasFrequenciesFile_filetype,bamInput,bamInput_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.GCbiasFrequenciesFile.values,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.bamInput.values,parameters.chromInfo,parameters.dbkey,parameters.effectiveGenomeSize.__current_case__,parameters.effectiveGenomeSize.effectiveGenomeSize,parameters.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.region,parameters.source.__current_case__,parameters.source.input1.values,parameters.source.input1_2bit,parameters.source.ref_source,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
3825,tabular,383144274,bam,320.0,len,2017-03-18 19:47:17.611774,slurm_multi,1489882791.0,0,6.0,main_w3_handler2,2910771,15332329,False,,3595453.0,twobit,9473822,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28815258}]",0,no,"[{'src': 'hda', 'id': 27511332}]","""/galaxy-repl/main/files/019/006/dataset_19006042.dat""","""?""",0,14280191,specific,"""""",1,"[{'src': 'hda', 'id': 28806287}]",,history,32.0,,36667515,1489881569.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.6.0,2.3.6.0,,2017-03-19 00:19:52.940945,95902,1222.0
3825,tabular,334599143,bam,320.0,len,2017-03-18 19:48:07.641381,slurm_multi,1489883880.0,0,6.0,main_w3_handler2,2910771,15332332,False,,3595453.0,twobit,9473866,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28815261}]",0,no,"[{'src': 'hda', 'id': 27535684}]","""/galaxy-repl/main/files/019/006/dataset_19006042.dat""","""?""",0,14280191,specific,"""""",1,"[{'src': 'hda', 'id': 28806287}]",,history,32.0,,36667515,1489882899.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.6.0,2.3.6.0,,2017-03-19 00:38:01.721709,95902,981.0
3825,tabular,399799066,bam,320.0,len,2017-03-18 16:44:49.081895,slurm_multi,1489907967.0,0,6.0,main_w4_handler2,2910771,15331720,False,,3595453.0,twobit,9474881,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28815248}]",0,no,"[{'src': 'hda', 'id': 27511347}]","""/galaxy-repl/main/files/019/006/dataset_19006042.dat""","""?""",0,14280191,specific,"""""",1,"[{'src': 'hda', 'id': 28806287}]",,history,32.0,,36667515,1489906899.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.6.0,2.3.6.0,,2017-03-19 07:19:29.304713,95902,1068.0
3825,tabular,438223263,bam,320.0,len,2017-03-19 10:09:59.966361,slurm_multi,1489919803.0,0,6.0,main_w3_handler2,2910771,15335020,False,,3595453.0,twobit,9475240,slurm,,132111800.0,corral-repl,,"[{'src': 'hda', 'id': 28815268}]",0,no,"[{'src': 'hda', 'id': 27454219}]","""/galaxy-repl/main/files/019/006/dataset_19006042.dat""","""?""",0,14280191,specific,"""""",1,"[{'src': 'hda', 'id': 28806287}]",,history,32.0,,36667515,1489918898.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.6.0,2.3.6.0,,2017-03-19 10:36:45.493510,95902,905.0
3825,tabular,348746636,bam,320.0,len,2017-03-18 16:46:51.532932,slurm_multi,1489909290.0,0,6.0,main_w4_handler2,2910771,15331725,False,,3595453.0,twobit,9474920,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28815256}]",0,no,"[{'src': 'hda', 'id': 27535696}]","""/galaxy-repl/main/files/019/006/dataset_19006042.dat""","""?""",0,14280191,specific,"""""",1,"[{'src': 'hda', 'id': 28806287}]",,history,32.0,,36667515,1489908075.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.6.0,2.3.6.0,,2017-03-19 07:42:19.680963,95902,1215.0
3825,tabular,563419685,bam,320.0,len,2017-03-19 10:12:00.352724,slurm_multi,1489923775.0,0,6.0,main_w4_handler2,2910771,15335026,False,,3595453.0,twobit,9475557,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28815283}]",0,no,"[{'src': 'hda', 'id': 27520314}]","""/galaxy-repl/main/files/019/006/dataset_19006042.dat""","""?""",0,14280191,specific,"""""",1,"[{'src': 'hda', 'id': 28806287}]",,history,32.0,,36667515,1489922722.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.6.0,2.3.6.0,,2017-03-19 11:42:57.428640,95902,1053.0
3825,tabular,429475083,bam,320.0,len,2017-03-19 10:11:17.659170,slurm_multi,1489920875.0,0,6.0,main_w3_handler2,2910771,15335023,False,,3595453.0,twobit,9475283,slurm,,132111800.0,corral-repl,,"[{'src': 'hda', 'id': 28815276}]",0,no,"[{'src': 'hda', 'id': 27448074}]","""/galaxy-repl/main/files/019/006/dataset_19006042.dat""","""?""",0,14280191,specific,"""""",1,"[{'src': 'hda', 'id': 28806287}]",,history,32.0,,36667515,1489920062.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.6.0,2.3.6.0,,2017-03-19 10:54:35.704029,95902,813.0
3825,tabular,599998203,bam,320.0,len,2017-03-19 10:10:42.760020,slurm_multi,1489922219.0,0,6.0,main_w4_handler2,2910771,15335022,False,,3595453.0,twobit,9475347,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28815271}]",0,no,"[{'src': 'hda', 'id': 27527228}]","""/galaxy-repl/main/files/019/006/dataset_19006042.dat""","""?""",0,14280191,specific,"""""",1,"[{'src': 'hda', 'id': 28806287}]",,history,32.0,,36667515,1489921132.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.6.0,2.3.6.0,,2017-03-19 11:17:00.602558,95902,1087.0
3825,tabular,596494000,bam,320.0,len,2017-03-19 10:12:38.499108,slurm_multi,1489925138.0,0,6.0,main_w4_handler2,2910771,15335029,False,,3595453.0,twobit,9475628,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28815288}]",0,no,"[{'src': 'hda', 'id': 27531160}]","""/galaxy-repl/main/files/019/006/dataset_19006042.dat""","""?""",0,14280191,specific,"""""",1,"[{'src': 'hda', 'id': 28806287}]",,history,32.0,,36667515,1489924026.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.6.0,2.3.6.0,,2017-03-19 12:05:40.391418,95902,1112.0
3825,tabular,479640921,bam,320.0,len,2017-03-19 10:13:35.964119,slurm_multi,1489927379.0,0,6.0,main_w3_handler2,2910771,15335031,False,,3595453.0,twobit,9475698,slurm,,132111800.0,corral-repl,,"[{'src': 'hda', 'id': 28815292}]",0,no,"[{'src': 'hda', 'id': 27507610}]","""/galaxy-repl/main/files/019/006/dataset_19006042.dat""","""?""",0,14280191,specific,"""""",1,"[{'src': 'hda', 'id': 28806287}]",,history,32.0,,36667515,1489926429.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.6.0,2.3.6.0,,2017-03-19 12:43:01.371114,95902,950.0
