count,count_filetype,create_time,destination_id,end_epoch,exit_code,fasta,fasta_filetype,galaxy_slots,group,group_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,name,name_filetype,object_store_id,param_filename,parameters.alignment.__current_case__,parameters.alignment.ucl,parameters.chimealns,parameters.chromInfo,parameters.chunks,parameters.dbkey,parameters.dereplicate,parameters.dn,parameters.fasta.values,parameters.idsmoothwindow,parameters.maxlen,parameters.maxp,parameters.minchunk,parameters.mindiv,parameters.minh,parameters.minlen,parameters.skipgaps,parameters.skipgaps2,parameters.template.__current_case__,parameters.template.abskew,parameters.template.count.values,parameters.template.group.values,parameters.template.name.values,parameters.template.reference.values,parameters.template.source,parameters.xa,parameters.xn,processor_count,reference,reference_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-02-27 23:24:42.980666,slurm_normal,1488252238.0,0,41757159,fasta,1.0,,,main_w3_handler0,1609768,15160203,False,,9311834.roundup,slurm,,132112168.0,,,corral-repl,,0,false,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""4""","""?""","""false""","""1.4""","[{'src': 'hda', 'id': 28312694}]","""32""","""0""","""2""","""64""","""0.5""","""0.3""","""0""","""true""","""true""",1.0,,,,,"[{'src': 'hda', 'id': 28310865}]",hist,"""1.0""","""8.0""",32.0,15961625.0,fasta,,35959694,1488237895.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_chimera_uchime/1.23.0,1.23.0,,2017-02-28 03:23:59.674023,28561.0,14343.0
,,2017-03-29 05:57:59.822701,slurm_normal,1490767088.0,0,146649631,fasta,1.0,,,main_w3_handler0,3049736,15420916,False,,9553218.roundup,slurm,,132112168.0,,,corral-repl,,0,false,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""4""","""?""","""true""","""1.4""","[{'src': 'hda', 'id': 28964394}]","""32""","""0""","""2""","""64""","""0.5""","""0.3""","""0""","""true""","""true""",1.0,,,,,"[{'src': 'hda', 'id': 28964372}]",hist,"""1.0""","""8.0""",32.0,15951862.0,fasta,,36947219,1490767084.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_chimera_uchime/1.23.0,1.23.0,,2017-03-29 05:58:12.713426,103104.0,4.0
,,2017-06-02 14:36:43.507311,slurm_normal,1496414230.0,0,74801720,fasta,1.0,,,main_w3_handler0,3106125,15999650,False,,10093839.roundup,slurm,,132112168.0,,,corral-repl,,0,false,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""4""","""?""","""false""","""1.4""","[{'src': 'hda', 'id': 29585040}]","""32""","""0""","""2""","""64""","""0.5""","""0.3""","""0""","""true""","""true""",1.0,,,,,"[{'src': 'hda', 'id': 29866524}]",hist,"""1.0""","""8.0""",32.0,1082430403.0,fasta,,37980121,1496414219.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_chimera_uchime/1.23.0,1.23.0,,2017-06-02 14:37:16.442584,99883.0,11.0
,,2017-06-02 15:36:33.085010,slurm_normal,1496417818.0,0,74801720,fasta,1.0,,,main_w4_handler0,3106125,16000294,False,,10094544.roundup,slurm,,132112168.0,,,corral-repl,,0,false,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""4""","""?""","""false""","""1.4""","[{'src': 'hda', 'id': 29585040}]","""32""","""0""","""2""","""64""","""0.5""","""0.3""","""0""","""true""","""true""",1.0,,,,,"[{'src': 'hda', 'id': 29866896}]",hist,"""1.0""","""8.0""",32.0,1036169679.0,fasta,,37980121,1496417806.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_chimera_uchime/1.23.0,1.23.0,,2017-06-02 15:37:03.144365,99883.0,12.0
,,2017-02-27 23:24:44.706988,slurm_normal,1488253985.0,0,44098748,fasta,1.0,,,main_w3_handler1,1609768,15160205,False,,9311831.roundup,slurm,,132112168.0,,,corral-repl,,0,false,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""4""","""?""","""false""","""1.4""","[{'src': 'hda', 'id': 28312696}]","""32""","""0""","""2""","""64""","""0.5""","""0.3""","""0""","""true""","""true""",1.0,,,,,"[{'src': 'hda', 'id': 28310865}]",hist,"""1.0""","""8.0""",32.0,15961625.0,fasta,,35959694,1488237888.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_chimera_uchime/1.23.0,1.23.0,,2017-02-28 03:53:06.595936,28561.0,16097.0
,,2017-02-27 23:24:45.863186,slurm_normal,1488251376.0,0,40405002,fasta,1.0,,,main_w3_handler0,1609768,15160206,False,,9311835.roundup,slurm,,132112168.0,,,corral-repl,,0,false,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""4""","""?""","""false""","""1.4""","[{'src': 'hda', 'id': 28312697}]","""32""","""0""","""2""","""64""","""0.5""","""0.3""","""0""","""true""","""true""",1.0,,,,,"[{'src': 'hda', 'id': 28310865}]",hist,"""1.0""","""8.0""",32.0,15961625.0,fasta,,35959694,1488237891.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_chimera_uchime/1.23.0,1.23.0,,2017-02-28 03:09:39.068877,28561.0,13485.0
,,2017-02-27 23:24:43.931530,slurm_normal,1488256051.0,0,49877018,fasta,1.0,,,main_w3_handler0,1609768,15160204,False,,9311833.roundup,slurm,,132112168.0,,,corral-repl,,0,false,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""4""","""?""","""false""","""1.4""","[{'src': 'hda', 'id': 28312695}]","""32""","""0""","""2""","""64""","""0.5""","""0.3""","""0""","""true""","""true""",1.0,,,,,"[{'src': 'hda', 'id': 28310865}]",hist,"""1.0""","""8.0""",32.0,15961625.0,fasta,,35959694,1488237891.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_chimera_uchime/1.23.0,1.23.0,,2017-02-28 04:27:33.935533,28561.0,18160.0
,,2017-03-01 00:04:53.999135,slurm_normal,1488333887.0,0,40405002,fasta,1.0,,,main_w4_handler1,1609768,15173021,False,,9323677.roundup,slurm,,132112168.0,,,corral-repl,,0,false,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""4""","""?""","""false""","""1.4""","[{'src': 'hda', 'id': 28312697}]","""32""","""0""","""2""","""64""","""0.5""","""0.3""","""0""","""true""","""true""",1.0,,,,,"[{'src': 'hda', 'id': 28562978}]",hist,"""1.0""","""8.0""",32.0,259121631.0,fasta,,35959694,1488326702.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_chimera_uchime/1.23.0,1.23.0,,2017-03-01 02:04:50.383481,28561.0,7185.0
,,2017-03-01 00:03:56.377708,slurm_normal,1488334270.0,0,41757159,fasta,1.0,,,main_w4_handler0,1609768,15173015,False,,9323662.roundup,slurm,,132112168.0,,,corral-repl,,0,false,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""4""","""?""","""false""","""1.4""","[{'src': 'hda', 'id': 28312694}]","""32""","""0""","""2""","""64""","""0.5""","""0.3""","""0""","""true""","""true""",1.0,,,,,"[{'src': 'hda', 'id': 28562978}]",hist,"""1.0""","""8.0""",32.0,259121631.0,fasta,,35959694,1488326642.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_chimera_uchime/1.23.0,1.23.0,,2017-03-01 02:11:16.503521,28561.0,7628.0
,,2017-03-01 00:04:53.077299,slurm_normal,1488336538.0,0,44098748,fasta,1.0,,,main_w4_handler1,1609768,15173020,False,,9323675.roundup,slurm,,132112168.0,,,corral-repl,,0,false,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""4""","""?""","""false""","""1.4""","[{'src': 'hda', 'id': 28312696}]","""32""","""0""","""2""","""64""","""0.5""","""0.3""","""0""","""true""","""true""",1.0,,,,,"[{'src': 'hda', 'id': 28562978}]",hist,"""1.0""","""8.0""",32.0,259121631.0,fasta,,35959694,1488326699.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_chimera_uchime/1.23.0,1.23.0,,2017-03-01 02:49:01.202121,28561.0,9839.0
