accepted_hits,accepted_hits_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,fusions,fusions_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.accepted_hits,parameters.accepted_hits.values,parameters.chromInfo,parameters.dbkey,parameters.fusion_multireads,parameters.fusion_read_mismatches,parameters.fusions,parameters.fusions.values,parameters.is_human,parameters.num_fusion_both,parameters.num_fusion_pairs,parameters.num_fusion_reads,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
302363917,bam,,,2015-06-18 23:25:27.934177,slurm_normal,1434669962.0,1,234433970,gtf,1.0,main_w1_handler2,2265418,9688779,False,,3997718.roundup,slurm,,132112168.0,corral-repl,,,20061590,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""2""","""2""",20062793,,"""Yes""","""0""","""2""","""3""",32.0,,23714492.0,1434669956.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tophat_fusion_post/tophat_fusion_post/0.1,0.1,,2015-06-18 23:26:06.680408,2893.0,6.0
618642,bam,,,2015-03-17 16:32:57.436089,rodeo_normal,1426610130.0,1,0,bed,1.0,main_w1_handler1,2235239,8969020,False,,3204724.roundup,slurm,,132112168.0,corral-repl,,,18886187,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""2""","""2""",18886504,,"""Yes""","""0""","""2""","""3""",32.0,,21859175.0,1426609995.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tophat_fusion_post/tophat_fusion_post/0.1,0.1,,2015-03-17 16:35:35.030335,60800.0,135.0
302363917,bam,,,2015-06-19 01:21:41.058402,slurm_normal,1434676942.0,1,234433970,gtf,1.0,main_w1_handler0,2265418,9689026,False,,3998175.roundup,slurm,,132112168.0,corral-repl,,,20061590,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""2""","""2""",20062793,,"""Yes""","""0""","""2""","""3""",32.0,,22358933.0,1434676937.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tophat_fusion_post/tophat_fusion_post/0.1,0.1,,2015-06-19 01:22:26.202500,2893.0,5.0
2076974579,bam,,,2015-03-25 10:30:11.107516,rodeo_normal,1427279428.0,1,10263522,bed,1.0,main_w2_handler1,2243799,9031932,False,,3317346.roundup,slurm,,132112168.0,corral-repl,,,18986192,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""2""","""2""",18986185,,"""No""","""0""","""2""","""3""",32.0,,22012032.0,1427279425.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tophat_fusion_post/tophat_fusion_post/0.1,0.1,,2015-03-25 10:30:30.136463,47785.0,3.0
210809367,bam,,,2015-03-27 05:00:00.840000,rodeo_normal,1427432530.0,2,717273873,sam,1.0,main_w1_handler1,2249569,9055721,False,,3340921.roundup,slurm,,132112168.0,corral-repl,,,19021144,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""","""2""",19007044,,"""Yes""","""0""","""2""","""1""",32.0,,22032482.0,1427432526.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tophat_fusion_post/tophat_fusion_post/0.1,0.1,,2015-03-27 05:02:13.310717,61466.0,4.0
210809367,bam,,,2015-03-27 05:04:05.678935,rodeo_normal,1427432665.0,2,0,tabular,1.0,main_w1_handler0,2249569,9055735,False,,3340945.roundup,slurm,,132112168.0,corral-repl,,,19021144,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""","""2""",19021145,,"""No""","""0""","""2""","""3""",32.0,,22032482.0,1427432661.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tophat_fusion_post/tophat_fusion_post/0.1,0.1,,2015-03-27 05:04:27.872037,61466.0,4.0
1705611806,bam,,,2015-03-30 10:46:22.407509,rodeo_normal,1427712396.0,1,3564560,tabular,1.0,main_w2_handler0,2225671,9082719,False,,3368946.roundup,slurm,,132112168.0,corral-repl,,,18785068,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""2""","""2""",18950247,,"""Yes""","""0""","""2""","""3""",32.0,,22114107.0,1427712393.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tophat_fusion_post/tophat_fusion_post/0.1,0.1,,2015-03-30 10:46:41.215601,54022.0,3.0
1705611806,bam,,,2015-03-30 10:46:19.814780,rodeo_normal,1427712395.0,1,3540697,tabular,1.0,main_w1_handler0,2225671,9082717,False,,3368943.roundup,slurm,,132112168.0,corral-repl,,,18785068,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""2""","""2""",18949863,,"""Yes""","""0""","""2""","""3""",32.0,,22114107.0,1427712392.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tophat_fusion_post/tophat_fusion_post/0.1,0.1,,2015-03-30 10:46:36.305269,54022.0,3.0
1521429060,bam,,,2015-03-30 10:52:30.339154,rodeo_normal,1427712768.0,1,163754066,interval,1.0,main_w2_handler0,2225671,9082741,False,,3368969.roundup,slurm,,132112168.0,corral-repl,,,18762725,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""2""","""2""",18919203,,"""Yes""","""0""","""2""","""3""",32.0,,22114107.0,1427712765.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tophat_fusion_post/tophat_fusion_post/0.1,0.1,,2015-03-30 10:52:51.339750,54022.0,3.0
1251350960,bam,,,2015-03-30 11:21:50.455449,rodeo_normal,1427714532.0,1,106640668,gtf,1.0,main_w1_handler1,2225671,9083640,False,,3369522.roundup,slurm,,132112168.0,corral-repl,,,18762730,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""2""","""2""",18949165,,"""Yes""","""0""","""2""","""3""",32.0,,22114107.0,1427714529.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/tophat_fusion_post/tophat_fusion_post/0.1,0.1,,2015-03-30 11:22:16.404867,54022.0,3.0
