create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-05-15 23:32:10.338531,slurm_normal,1463355183.0,0,1.0,main_w1_handler0,2674034,12904169,False,,47872,bed,7098945.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58daab37b64d5fee6'}]",32.0,,30251665,1463355178.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bed12tobed6/2.22.0,2.22.0,,2016-05-15 23:33:05.936896,68267.0,5.0
2016-05-15 23:32:10.727304,slurm_normal,1463355183.0,0,1.0,main_w1_handler0,2674034,12904170,False,,44186,bed,7098946.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5992194bb285d19c9'}]",32.0,,30251665,1463355178.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bed12tobed6/2.22.0,2.22.0,,2016-05-15 23:33:06.088123,68267.0,5.0
2016-05-12 19:01:03.288859,slurm_normal,1463079729.0,0,1.0,main_w1_handler1,2443038,12874925,False,,217579,bed,7074368.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5afc29e8b99cccbc5'}]",32.0,,28925889,1463079725.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bed12tobed6/2.22.0,2.22.0,,2016-05-12 19:02:12.933924,68267.0,4.0
2016-05-12 18:57:24.452532,slurm_normal,1463079491.0,0,1.0,main_w1_handler1,2677873,12874902,False,,29006,bed,7074343.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b516d1e0cbe0fa3a11'}]",32.0,,28925889,1463079488.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bed12tobed6/2.22.0,2.22.0,,2016-05-12 18:58:13.384137,68267.0,3.0
2016-05-13 22:51:58.320444,slurm_normal,1463179951.0,0,1.0,main_w1_handler0,2697436,12892933,False,,319030,bed,7088854.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a00196ea2a4fcfeb'}]",32.0,,29630836,1463179947.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bed12tobed6/2.22.0,2.22.0,,2016-05-13 22:52:33.711937,38175.0,4.0
2016-05-15 23:32:09.829507,slurm_normal,1463355183.0,0,1.0,main_w1_handler1,2674034,12904168,False,,65259,bed,7098947.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c2b8e4a0525f37ed'}]",32.0,,30251665,1463355178.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bed12tobed6/2.22.0,2.22.0,,2016-05-15 23:33:05.228152,68267.0,5.0
2016-05-15 23:32:09.540821,slurm_normal,1463355180.0,0,1.0,main_w1_handler0,2674034,12904167,False,,51211,bed,7098944.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b47ce5e4845e39c3'}]",32.0,,30251665,1463355175.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bed12tobed6/2.22.0,2.22.0,,2016-05-15 23:33:02.781398,68267.0,5.0
2016-05-24 13:06:12.831793,slurm_normal,1464095218.0,0,1.0,main_w1_handler0,2710359,12973866,False,,1326959,bed,7160288.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52a4180808b15b138'}]",32.0,,30380690,1464095212.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bed12tobed6/2.22.0,2.22.0,,2016-05-24 13:07:01.956881,41189.0,6.0
2016-03-31 05:58:06.311882,slurm_normal,1459403924.0,0,1.0,main_w1_handler2,2624998,12294374,False,,94190,bed,6501386.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",24078022,,32.0,,28867583,1459403902.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bed12tobed6/2.22.0,2.22.0,,2016-03-31 05:58:46.280123,,22.0
2016-03-31 07:12:40.890622,slurm_normal,1459408382.0,0,1.0,main_w2_handler1,2624998,12294869,False,,397372,bed,6502306.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",24078869,,32.0,,28867583,1459408376.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bed12tobed6/2.22.0,2.22.0,,2016-03-31 07:13:03.929432,,6.0
2016-04-07 11:05:59.230939,slurm_normal,1460027223.0,0,1.0,main_w1_handler0,2557381,12361156,False,,3287628,bed,6566202.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",24179098,,32.0,,29467551,1460027207.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bed12tobed6/2.22.0,2.22.0,,2016-04-07 11:07:07.174707,76241.0,16.0
2016-03-31 05:57:40.197574,slurm_normal,1459403874.0,0,1.0,main_w2_handler1,2624998,12294373,False,,575365,bed,6501378.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",24077940,,32.0,,28867583,1459403869.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bed12tobed6/2.22.0,2.22.0,,2016-03-31 05:57:58.122793,,5.0
2016-04-07 11:06:43.360922,slurm_normal,1460027248.0,0,1.0,main_w2_handler1,2557381,12361205,False,,3239790,bed,6566206.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",24179152,,32.0,,29467551,1460027239.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bed12tobed6/2.22.0,2.22.0,,2016-04-07 11:07:29.643171,76241.0,9.0
2016-06-03 01:24:06.231288,slurm_normal,1464917097.0,0,1.0,main_w2_handler1,2653287,13054962,False,,13595961,bed,7241092.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52c0808f4bc68e849'}]",32.0,,29612380,1464917089.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bed12tobed6/2.22.0,2.22.0,,2016-06-03 01:25:00.090766,69331.0,8.0
2016-12-20 17:04:17.593889,reserved,1482253466.0,0,1.0,main_w4_handler0,2935583,14617186,False,,102,bed,8793634.roundup,slurm,,132111800.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 27697202}]",32.0,,34652796,1482253461.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_bed12tobed6/2.22.0,2.22.0,,2016-12-20 17:04:28.065479,5254.0,5.0
