chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input_file.values,parameters.input_file|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-12-16 16:31:54.674255,slurm_normal,1513446957.0,0,,1.0,main_w4_handler0,3367885,17825777,False,,588083241,fastqsanger.gz,11899175,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32965344}]",,32.0,,42686420.0,1513442716.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.2,1.1.2,,2017-12-16 17:56:01.450361,93144.0,4241.0
,,2017-12-16 16:31:50.436799,slurm_normal,1513446521.0,0,,1.0,main_w4_handler1,3367885,17825771,False,,609072940,fastqsanger.gz,11899182,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32965336}]",,32.0,,42686420.0,1513442741.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.2,1.1.2,,2017-12-16 17:48:44.663326,93144.0,3780.0
,,2018-03-02 14:31:36.303636,slurm_normal,1520001139.0,0,7680.0,1.0,main_w4_handler1,3448909,18581279,False,,9647646,fastqsanger.gz,12675992,slurm,,132112168.0,corral-repl,,"""67c8a7041e2611e89dfd005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34163317}]",,32.0,,,1520001106.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.2,1.1.2,,2018-03-02 14:32:22.064300,92488.0,33.0
,,2017-12-16 16:31:51.066447,slurm_normal,1513451282.0,0,,1.0,main_w4_handler1,3367885,17825772,False,,1260656116,fastqsanger.gz,11899208,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32965337}]",,32.0,,42686420.0,1513443264.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.2,1.1.2,,2017-12-16 19:08:05.376799,93144.0,8018.0
,,2017-12-16 16:31:53.190548,slurm_normal,1513454563.0,0,,1.0,main_w4_handler1,3367885,17825775,False,,1176275647,fastqsanger.gz,11899395,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32965340}]",,32.0,,42686420.0,1513446528.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.2,1.1.2,,2017-12-16 20:02:45.527416,93144.0,8035.0
,,2017-12-16 16:31:51.740579,slurm_normal,1513456726.0,0,,1.0,main_w4_handler1,3367885,17825773,False,,1729285256,fastqsanger.gz,11899350,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32965338}]",,32.0,,42686420.0,1513445825.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.2,1.1.2,,2017-12-16 20:38:48.766344,93144.0,10901.0
,,2018-02-02 15:24:15.958419,slurm_normal,1517585082.0,0,,1.0,main_w3_handler0,3378496,18236504,False,,26657536,fastqsanger,12317013,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33636012}]",,32.0,,42740141.0,1517585067.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.2,1.1.2,,2018-02-02 15:24:44.620981,118851.0,15.0
,,2018-03-02 14:31:14.178535,slurm_normal,1520001143.0,0,7680.0,1.0,main_w3_handler1,3448908,18581265,False,,17735412,fastqsanger.gz,12675987,slurm,,132112168.0,corral-repl,,"""5a9c38981e2611e897e8005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34163316}]",,32.0,,,1520001084.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.2,1.1.2,,2018-03-02 14:32:28.694882,92488.0,59.0
,,2018-03-02 14:30:53.493319,slurm_normal,1520001158.0,0,7680.0,1.0,main_w3_handler0,3448907,18581243,False,,26825001,fastqsanger.gz,12675979,slurm,,132112168.0,corral-repl,,"""4e6f6c161e2611e89134005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34163315}]",,32.0,,,1520001067.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.2,1.1.2,,2018-03-02 14:32:42.280769,92488.0,91.0
,,2018-03-02 14:32:00.297426,slurm_normal,1520001179.0,0,7680.0,1.0,main_w4_handler1,3448910,18581292,False,,14038573,fastqsanger.gz,12675996,slurm,,132112168.0,corral-repl,,"""76a9c6ea1e2611e8a6e1005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34163318}]",,32.0,,,1520001129.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_deinterlacer/fastq_paired_end_deinterlacer/1.1.2,1.1.2,,2018-03-02 14:33:00.588257,92488.0,50.0
