create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB1,inputB10,inputB10_filetype,inputB11,inputB11_filetype,inputB12,inputB12_filetype,inputB13,inputB13_filetype,inputB14,inputB14_filetype,inputB15,inputB15_filetype,inputB16,inputB16_filetype,inputB17,inputB17_filetype,inputB18,inputB18_filetype,inputB19,inputB19_filetype,inputB1_filetype,inputB2,inputB2_filetype,inputB3,inputB3_filetype,inputB4,inputB4_filetype,inputB5,inputB5_filetype,inputB6,inputB6_filetype,inputB7,inputB7_filetype,inputB8,inputB8_filetype,inputB9,inputB9_filetype,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.addition,parameters.addition2.__current_case__,parameters.addition2.addition2_select,parameters.addition2.id,parameters.addition2.iu,parameters.chromInfo,parameters.dbkey,parameters.inputA,parameters.inputA.values,parameters.inputB,parameters.inputB.values,parameters.io,parameters.mdb,parameters.strand,parameters.ties,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-03-12 20:51:15.959617,slurm_normal,1489351925.0,0,1.0,main_w4_handler1,2709324,15275986,False,,260861013,bed,601696,601696,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9420867.roundup,slurm,,132112168.0,corral-repl,,,"""true""",3,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28628066}]",,"[{'src': 'hda', 'id': 28727715}]","""false""","""each""","""""","""first""",32.0,,36438177.0,1489351904.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-03-12 20:52:30.746427,65184.0,21.0
2017-03-12 20:08:31.592045,slurm_normal,1489349329.0,0,1.0,main_w3_handler0,2709324,15275733,False,,16831,bed,16831,16831,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9420639.roundup,slurm,,132112168.0,corral-repl,,,"""false""",3,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28727822}]",,"[{'src': 'hda', 'id': 28727822}]","""false""","""each""","""""","""all""",32.0,,36438177.0,1489349325.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-03-12 20:08:51.092963,65184.0,4.0
2017-03-12 20:39:11.666715,slurm_normal,1489351195.0,0,1.0,main_w4_handler1,2709324,15275957,False,,260861013,bed,601696,601696,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9420832.roundup,slurm,,132112168.0,corral-repl,,,"""true""",3,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28628066}]",,"[{'src': 'hda', 'id': 28727715}]","""false""","""each""","""""","""first""",32.0,,36438177.0,1489351175.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-03-12 20:40:22.130876,65184.0,20.0
2017-03-12 21:18:12.295320,slurm_normal,1489353505.0,0,1.0,main_w4_handler0,2709324,15276112,False,,3405089,bed,601696,601696,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9420989.roundup,slurm,,132112168.0,corral-repl,,,"""true""",3,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28728353}]",,"[{'src': 'hda', 'id': 28727715}]","""false""","""each""","""""","""first""",32.0,,36438177.0,1489353497.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-03-12 21:18:27.982160,65184.0,8.0
2017-03-12 21:16:47.345162,slurm_normal,1489353455.0,0,1.0,main_w4_handler0,2709324,15276109,False,,4491,bed,601696,601696,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9420986.roundup,slurm,,132112168.0,corral-repl,,,"""true""",3,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28728363}]",,"[{'src': 'hda', 'id': 28727715}]","""false""","""each""","""""","""first""",32.0,,36438177.0,1489353451.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-03-12 21:17:42.979586,65184.0,4.0
2017-03-12 22:11:26.350025,slurm_normal,1489356701.0,0,1.0,main_w4_handler0,2709324,15276369,False,,3405089,bed,762498,762498,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9421220.roundup,slurm,,132112168.0,corral-repl,,,"""true""",3,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28728353}]",,"[{'src': 'hda', 'id': 28728644}]","""false""","""each""","""""","""first""",32.0,,36438177.0,1489356693.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-03-12 22:11:47.866039,65184.0,8.0
2017-03-12 22:05:15.820876,slurm_normal,1489356323.0,0,1.0,main_w3_handler0,2709324,15276338,False,,16831,bed,762498,762498,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9421188.roundup,slurm,,132112168.0,corral-repl,,,"""true""",3,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28727822}]",,"[{'src': 'hda', 'id': 28728644}]","""false""","""each""","""""","""first""",32.0,,36438177.0,1489356318.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-03-12 22:05:25.376964,65184.0,5.0
2017-03-12 21:34:55.099806,slurm_normal,1489354502.0,0,1.0,main_w3_handler1,2709324,15276196,False,,4491,bed,601696,601696,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9421066.roundup,slurm,,132112168.0,corral-repl,,,"""true""",3,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28728363}]",,"[{'src': 'hda', 'id': 28727715}]","""false""","""each""","""""","""all""",32.0,,36438177.0,1489354498.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-03-12 21:35:05.432154,65184.0,4.0
2017-03-12 22:09:52.358151,slurm_normal,1489356600.0,0,1.0,main_w3_handler1,2709324,15276357,False,,4491,bed,762498,762498,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9421207.roundup,slurm,,132112168.0,corral-repl,,,"""true""",3,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28728363}]",,"[{'src': 'hda', 'id': 28728644}]","""false""","""each""","""""","""first""",32.0,,36438177.0,1489356596.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-03-12 22:10:04.886051,65184.0,4.0
2017-03-12 22:08:06.780316,slurm_normal,1489356527.0,0,1.0,main_w3_handler1,2709324,15276345,False,,260861013,bed,762498,762498,,,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,9421201.roundup,slurm,,132112168.0,corral-repl,,,"""true""",3,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 28628066}]",,"[{'src': 'hda', 'id': 28728644}]","""false""","""each""","""""","""first""",32.0,,36438177.0,1489356492.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.22.0,2.22.0,,2017-03-12 22:08:50.457040,65184.0,35.0
