chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_bam,input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input_bam,parameters.input_bam.values,parameters.option_set.__current_case__,parameters.option_set.change_identical,parameters.option_set.compute_cap,parameters.option_set.extended_baq,parameters.option_set.modify_quality,parameters.option_set.option_sets,parameters.reference_source.__current_case__,parameters.reference_source.ref_fasta,parameters.reference_source.ref_fasta.values,parameters.reference_source.reference_source_selector,processor_count,ref_fasta,ref_fasta_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-06-25 17:51:05.140059,slurm_normal,1435254754.0,0,1.0,main_w2_handler1,2355443,9734413,False,,10045582,bam,4039996,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",20136286,,1,True,False,False,False,advanced,0,mm10,,cached,32.0,,,,23825463.0,1435254723.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0,2.0,,2015-06-25 17:53:01.732372,65280.0,31.0
,,2015-06-25 17:05:34.372322,slurm_normal,1435252281.0,0,1.0,main_w1_handler1,2355443,9734248,False,,1099338176,bam,4039653,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",20135163,,1,True,False,False,False,advanced,0,mm10,,cached,32.0,,,,23825463.0,1435251982.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0,2.0,,2015-06-25 17:11:45.877934,65280.0,299.0
,,2015-06-25 17:05:35.177701,slurm_normal,1435252496.0,0,1.0,main_w2_handler1,2355443,9734249,False,,1417855102,bam,4039668,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",20135164,,1,True,False,False,False,advanced,0,mm10,,cached,32.0,,,,23825463.0,1435252109.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0,2.0,,2015-06-25 17:15:46.134522,65280.0,387.0
,,2015-06-25 17:51:09.623147,slurm_normal,1435254745.0,0,1.0,main_w1_handler1,2355443,9734414,False,,7401004,bam,4039997,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",20136288,,1,True,False,False,False,advanced,0,mm10,,cached,32.0,,,,23825463.0,1435254721.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0,2.0,,2015-06-25 17:53:00.170929,65280.0,24.0
,,2015-06-04 17:37:40.040538,slurm_normal,1433439855.0,0,1.0,main_w1_handler0,2330381,9599280,False,,1209049009,bam,3910305.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19912145,,0,,,,,default,1,19912141,,history,32.0,2557337.0,fasta,,23437247.0,1433439482.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0,2.0,,2015-06-04 17:44:17.280425,57720.0,373.0
,,2015-07-30 13:02:38.371465,slurm_normal,1438261560.0,0,1.0,main_w2_handler1,2393019,10032783,False,,722378320,bam,4313812.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",20593930,,0,,,,,default,0,sacCer3,,cached,32.0,,,,24376699.0,1438261381.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0,2.0,,2015-07-30 13:06:06.865417,10211.0,179.0
,,2015-09-04 22:50:15.070885,slurm_normal,1441407059.0,0,1.0,main_w1_handler0,2421223,10262836,False,,117977209,bam,4549873.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21013703,,0,,,,,default,1,21013258,,history,32.0,593.0,fasta,,24853041.0,1441407030.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0,2.0,,2015-09-04 22:51:03.360599,,29.0
,,2015-10-29 00:40:27.563420,slurm_normal,1446079679.0,0,1.0,main_w1_handler0,2446491,10759668,False,,478626767,bam,5018588.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21788007,,0,,,,,default,0,hg19,,cached,32.0,,,,25307767.0,1446079503.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0,2.0,,2015-10-29 00:48:02.103675,1848.0,176.0
,,2015-10-29 00:40:24.505888,slurm_normal,1446079390.0,0,1.0,main_w1_handler1,2446491,10759667,False,,247435873,bam,5018579.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21788004,,0,,,,,default,0,hg19,,cached,32.0,,,,25307767.0,1446079301.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0,2.0,,2015-10-29 00:43:13.017408,1848.0,89.0
,,2015-10-29 00:40:21.572138,slurm_normal,1446079542.0,0,1.0,main_w1_handler0,2446491,10759665,False,,314497428,bam,5018585.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21787998,,0,,,,,default,0,hg19,,cached,32.0,,,,25307767.0,1446079422.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0,2.0,,2015-10-29 00:45:46.465244,1848.0,120.0
,,2015-10-29 00:40:23.053099,slurm_normal,1446079413.0,0,1.0,main_w2_handler0,2446491,10759666,False,,382949040,bam,5018578.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21788001,,0,,,,,default,0,hg19,,cached,32.0,,,,25307767.0,1446079300.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0,2.0,,2015-10-29 00:43:36.366904,1848.0,113.0
,,2015-10-29 00:40:18.962293,slurm_normal,1446079688.0,0,1.0,main_w2_handler1,2446491,10759663,False,,557540955,bam,5018593.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21787992,,0,,,,,default,0,hg19,,cached,32.0,,,,25307767.0,1446079552.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0,2.0,,2015-10-29 00:48:12.000036,1848.0,136.0
,,2015-10-29 00:40:20.164170,slurm_normal,1446079822.0,0,1.0,main_w2_handler1,2446491,10759664,False,,285285570,bam,5018595.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21787995,,0,,,,,default,0,hg19,,cached,32.0,,,,25307767.0,1446079570.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0,2.0,,2015-10-29 00:50:24.891686,1848.0,252.0
