create_time,destination_id,end_epoch,exit_code,galaxy_slots,genome,genome_filetype,handler,history_id,id,imported,info,inputs,inputs1,inputs10,inputs10_filetype,inputs11,inputs11_filetype,inputs12,inputs12_filetype,inputs13,inputs13_filetype,inputs14,inputs14_filetype,inputs15,inputs15_filetype,inputs16,inputs16_filetype,inputs17,inputs17_filetype,inputs18,inputs18_filetype,inputs19,inputs19_filetype,inputs1_filetype,inputs2,inputs20,inputs20_filetype,inputs21,inputs21_filetype,inputs22,inputs22_filetype,inputs23,inputs23_filetype,inputs24,inputs24_filetype,inputs25,inputs25_filetype,inputs26,inputs26_filetype,inputs27,inputs27_filetype,inputs28,inputs28_filetype,inputs29,inputs29_filetype,inputs2_filetype,inputs3,inputs30,inputs30_filetype,inputs31,inputs31_filetype,inputs32,inputs32_filetype,inputs33,inputs33_filetype,inputs34,inputs34_filetype,inputs35,inputs35_filetype,inputs36,inputs36_filetype,inputs37,inputs37_filetype,inputs38,inputs38_filetype,inputs39,inputs39_filetype,inputs3_filetype,inputs4,inputs40,inputs40_filetype,inputs41,inputs41_filetype,inputs42,inputs42_filetype,inputs43,inputs43_filetype,inputs44,inputs44_filetype,inputs45,inputs45_filetype,inputs46,inputs46_filetype,inputs47,inputs47_filetype,inputs48,inputs48_filetype,inputs49,inputs49_filetype,inputs4_filetype,inputs5,inputs50,inputs50_filetype,inputs51,inputs51_filetype,inputs52,inputs52_filetype,inputs53,inputs53_filetype,inputs54,inputs54_filetype,inputs55,inputs55_filetype,inputs56,inputs56_filetype,inputs57,inputs57_filetype,inputs58,inputs58_filetype,inputs59,inputs59_filetype,inputs5_filetype,inputs6,inputs60,inputs60_filetype,inputs61,inputs61_filetype,inputs62,inputs62_filetype,inputs63,inputs63_filetype,inputs64,inputs64_filetype,inputs65,inputs65_filetype,inputs66,inputs66_filetype,inputs67,inputs67_filetype,inputs68,inputs68_filetype,inputs69,inputs69_filetype,inputs6_filetype,inputs7,inputs70,inputs70_filetype,inputs71,inputs71_filetype,inputs72,inputs72_filetype,inputs73,inputs73_filetype,inputs74,inputs74_filetype,inputs75,inputs75_filetype,inputs76,inputs76_filetype,inputs77,inputs77_filetype,inputs78,inputs78_filetype,inputs79,inputs79_filetype,inputs7_filetype,inputs8,inputs80,inputs80_filetype,inputs81,inputs81_filetype,inputs82,inputs82_filetype,inputs83,inputs83_filetype,inputs84,inputs84_filetype,inputs85,inputs85_filetype,inputs86,inputs86_filetype,inputs87,inputs87_filetype,inputs88,inputs88_filetype,inputs89,inputs89_filetype,inputs8_filetype,inputs9,inputs90,inputs90_filetype,inputs91,inputs91_filetype,inputs92,inputs92_filetype,inputs93,inputs93_filetype,inputs94,inputs94_filetype,inputs95,inputs95_filetype,inputs96,inputs96_filetype,inputs9_filetype,inputs_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.filler,parameters.genome.values,parameters.header,parameters.tag.__current_case__,parameters.tag.bedgraphs,parameters.tag.inputs.values,parameters.tag.tag_select,parameters.zero,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tag|bedgraphs_0|input,tag|bedgraphs_0|input1,tag|bedgraphs_0|input1_filetype,tag|bedgraphs_0|input_filetype,tag|bedgraphs_1|input,tag|bedgraphs_1|input1,tag|bedgraphs_1|input1_filetype,tag|bedgraphs_1|input_filetype,tag|bedgraphs_2|input,tag|bedgraphs_2|input1,tag|bedgraphs_2|input1_filetype,tag|bedgraphs_2|input_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-10-24 16:53:08.633276,slurm_normal,1508864208.0,0,1.0,7459,bedgraph,main_w3_handler1,3291342,17200228,False,,37096.0,37096.0,,,,,,,,,,,,,,,,,,,,,bedgraph,7459.0,,,,,,,,,,,,,,,,,,,,,bedgraph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bedgraph,11259416,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""N/A""","[{'src': 'hda', 'id': 31857076}]","""true""",0,,"[{'src': 'hda', 'id': 31857068}, {'src': 'hda', 'id': 31857076}]",tag,"""true""",32.0,,41249774.0,1508864203.0,ok,1023996.0,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.26.0.0,2.26.0.0,,2017-10-24 16:56:49.163205,111991.0,5.0
2017-10-27 16:45:34.884190,slurm_normal,1509126735.0,0,1.0,6836364,bedgraph,main_w3_handler1,2635406,17242352,False,,8249836.0,8249836.0,8224221.0,bedgraph,8274803.0,bedgraph,8256579.0,bedgraph,6836364.0,bedgraph,,,,,,,,,,,,,bedgraph,8244793.0,,,,,,,,,,,,,,,,,,,,,bedgraph,8244768.0,,,,,,,,,,,,,,,,,,,,,bedgraph,8242409.0,,,,,,,,,,,,,,,,,,,,,bedgraph,8239673.0,,,,,,,,,,,,,,,,,,,,,bedgraph,8253370.0,,,,,,,,,,,,,,,,,,,,,bedgraph,8234345.0,,,,,,,,,,,,,,,,,,,,,bedgraph,8252117.0,,,,,,,,,,,,,,,,,,,,,bedgraph,8257741.0,,,,,,,,,,,,,,,bedgraph,bedgraph,11303378,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""","""N/A""","[{'src': 'hda', 'id': 31927089}]","""true""",0,,"[{'src': 'hda', 'id': 31925599}, {'src': 'hda', 'id': 31925600}, {'src': 'hda', 'id': 31927069}, {'src': 'hda', 'id': 31927070}, {'src': 'hda', 'id': 31927071}, {'src': 'hda', 'id': 31927072}, {'src': 'hda', 'id': 31927073}, {'src': 'hda', 'id': 31927074}, {'src': 'hda', 'id': 31927075}, {'src': 'hda', 'id': 31927076}, {'src': 'hda', 'id': 31927077}, {'src': 'hda', 'id': 31927078}, {'src': 'hda', 'id': 31927089}]",tag,"""false""",32.0,,41425073.0,1509126690.0,ok,1023996.0,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.26.0.0,2.26.0.0,,2017-10-27 17:57:16.307253,67898.0,45.0
2017-10-27 17:06:15.507823,slurm_normal,1509129885.0,0,1.0,6836364,bedgraph,main_w3_handler1,2648695,17242612,False,,0.0,0.0,8257214.0,bedgraph,8269247.0,bedgraph,0.0,bedgraph,6836364.0,bedgraph,,,,,,,,,,,,,bedgraph,8273570.0,,,,,,,,,,,,,,,,,,,,,bedgraph,0.0,,,,,,,,,,,,,,,,,,,,,bedgraph,8247795.0,,,,,,,,,,,,,,,,,,,,,bedgraph,8264540.0,,,,,,,,,,,,,,,,,,,,,bedgraph,0.0,,,,,,,,,,,,,,,,,,,,,bedgraph,0.0,,,,,,,,,,,,,,,,,,,,,bedgraph,8261818.0,,,,,,,,,,,,,,,,,,,,,bedgraph,8238956.0,,,,,,,,,,,,,,,bedgraph,bedgraph,11303835,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""","""N/A""","[{'src': 'hda', 'id': 31927714}]","""true""",0,,"[{'src': 'hda', 'id': 31927701}, {'src': 'hda', 'id': 31927702}, {'src': 'hda', 'id': 31927703}, {'src': 'hda', 'id': 31927704}, {'src': 'hda', 'id': 31927705}, {'src': 'hda', 'id': 31927706}, {'src': 'hda', 'id': 31927707}, {'src': 'hda', 'id': 31927708}, {'src': 'hda', 'id': 31927709}, {'src': 'hda', 'id': 31927710}, {'src': 'hda', 'id': 31927711}, {'src': 'hda', 'id': 31927712}, {'src': 'hda', 'id': 31927714}]",tag,"""false""",32.0,,41425073.0,1509129860.0,ok,1023996.0,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.26.0.0,2.26.0.0,,2017-10-27 18:47:58.906986,67898.0,25.0
2017-11-02 15:10:15.714074,slurm_normal,1509638915.0,0,1.0,14323634,tabular,main_w3_handler0,3304410,17302799,False,,140107957.0,140107957.0,,,,,,,,,,,,,,,,,,,,,bedgraph,138639507.0,,,,,,,,,,,,,,,,,,,,,bedgraph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bedgraph,11364064,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""0.0""","[{'src': 'hda', 'id': 32028761}]","""false""",0,,"[{'src': 'hda', 'id': 32001442}, {'src': 'hda', 'id': 32001443}]",tag,"""true""",32.0,,41692937.0,1509638871.0,ok,1023996.0,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.26.0.0,2.26.0.0,,2017-11-02 16:08:40.869604,71567.0,44.0
2017-11-02 15:05:49.609701,slurm_normal,1509638912.0,0,1.0,14323634,tabular,main_w4_handler0,3304410,17302687,False,,139374398.0,139374398.0,,,,,,,,,,,,,,,,,,,,,bedgraph,139815567.0,,,,,,,,,,,,,,,,,,,,,bedgraph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bedgraph,11364066,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""0.0""","[{'src': 'hda', 'id': 32028761}]","""false""",0,,"[{'src': 'hda', 'id': 32001438}, {'src': 'hda', 'id': 32001439}]",tag,"""true""",32.0,,41692937.0,1509638870.0,ok,1023996.0,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.26.0.0,2.26.0.0,,2017-11-02 16:08:37.147053,71567.0,42.0
2017-11-02 15:09:50.030633,slurm_normal,1509638911.0,0,1.0,14323634,tabular,main_w3_handler0,3304410,17302785,False,,139293518.0,139293518.0,,,,,,,,,,,,,,,,,,,,,bedgraph,139475235.0,,,,,,,,,,,,,,,,,,,,,bedgraph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bedgraph,11364063,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""0.0""","[{'src': 'hda', 'id': 32028761}]","""false""",0,,"[{'src': 'hda', 'id': 32001440}, {'src': 'hda', 'id': 32001441}]",tag,"""true""",32.0,,41692937.0,1509638868.0,ok,1023996.0,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.26.0.0,2.26.0.0,,2017-11-02 16:08:37.463735,71567.0,43.0
2017-11-06 09:43:35.901838,slurm_normal,1509961519.0,0,1.0,14323634,tabular,main_w3_handler1,3310283,17343086,False,,140107957.0,140107957.0,,,,,,,,,,,,,,,,,,,,,bedgraph,138639507.0,,,,,,,,,,,,,,,,,,,,,bedgraph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bedgraph,11406209,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/022/042/dataset_22042216.dat""","""Candida albicans (A22 haploid)""","""0.0""","[{'src': 'hda', 'id': 32088682}]","""false""",0,,"[{'src': 'hda', 'id': 32088644}, {'src': 'hda', 'id': 32088645}]",tag,"""true""",32.0,,41692937.0,1509961477.0,ok,1023996.0,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.26.0.0,2.26.0.0,,2017-11-06 09:45:27.356744,71567.0,42.0
2017-11-06 09:43:26.804928,slurm_normal,1509961527.0,0,1.0,14323634,tabular,main_w3_handler0,3310283,17343084,False,,139293518.0,139293518.0,,,,,,,,,,,,,,,,,,,,,bedgraph,139475235.0,,,,,,,,,,,,,,,,,,,,,bedgraph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bedgraph,11406212,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/022/042/dataset_22042216.dat""","""Candida albicans (A22 haploid)""","""0.0""","[{'src': 'hda', 'id': 32088682}]","""false""",0,,"[{'src': 'hda', 'id': 32088642}, {'src': 'hda', 'id': 32088643}]",tag,"""true""",32.0,,41692937.0,1509961483.0,ok,1023996.0,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.26.0.0,2.26.0.0,,2017-11-06 09:45:33.709298,71567.0,44.0
2017-11-06 09:43:17.817993,slurm_normal,1509961517.0,0,1.0,14323634,tabular,main_w3_handler0,3310283,17343071,False,,139374398.0,139374398.0,,,,,,,,,,,,,,,,,,,,,bedgraph,139815567.0,,,,,,,,,,,,,,,,,,,,,bedgraph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bedgraph,11406210,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/022/042/dataset_22042216.dat""","""Candida albicans (A22 haploid)""","""0.0""","[{'src': 'hda', 'id': 32088682}]","""false""",0,,"[{'src': 'hda', 'id': 32088640}, {'src': 'hda', 'id': 32088641}]",tag,"""true""",32.0,,41692937.0,1509961478.0,ok,1023996.0,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.26.0.0,2.26.0.0,,2017-11-06 09:45:23.649426,71567.0,39.0
2018-01-10 09:33:07.615557,slurm_normal,1515576856.0,0,1.0,2128173311,bed,main_w3_handler1,3380233,17990340,False,,11564.0,11564.0,5595.0,bedgraph,6502.0,bedgraph,6762.0,bedgraph,2495.0,bedgraph,4664.0,bedgraph,3739.0,bedgraph,4291.0,bedgraph,5921.0,bedgraph,1045.0,bedgraph,6363.0,bedgraph,bedgraph,10346.0,3009.0,bedgraph,1512.0,bedgraph,3388.0,bedgraph,3044.0,bedgraph,202.0,bedgraph,,,,,,,,,,,bedgraph,7196.0,,,,,,,,,,,,,,,,,,,,,bedgraph,5013.0,,,,,,,,,,,,,,,,,,,,,bedgraph,5495.0,,,,,,,,,,,,,,,,,,,,,bedgraph,7015.0,,,,,,,,,,,,,,,,,,,,,bedgraph,6688.0,,,,,,,,,,,,,,,,,,,,,bedgraph,4623.0,,,,,,,,,,,,,,,,,,,,,bedgraph,4925.0,,,,,,,,,,,,,,,bedgraph,bedgraph,12066952,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg_g1k_v37.len""","""hg_g1k_v37""","""N/A""","[{'src': 'hda', 'id': 33156328}]","""false""",0,,"[{'src': 'hda', 'id': 33243099}, {'src': 'hda', 'id': 33243100}, {'src': 'hda', 'id': 33243106}, {'src': 'hda', 'id': 33243108}, {'src': 'hda', 'id': 33243110}, {'src': 'hda', 'id': 33243113}, {'src': 'hda', 'id': 33243116}, {'src': 'hda', 'id': 33243118}, {'src': 'hda', 'id': 33243122}, {'src': 'hda', 'id': 33243125}, {'src': 'hda', 'id': 33243126}, {'src': 'hda', 'id': 33243129}, {'src': 'hda', 'id': 33243132}, {'src': 'hda', 'id': 33243133}, {'src': 'hda', 'id': 33243134}, {'src': 'hda', 'id': 33243138}, {'src': 'hda', 'id': 33243140}, {'src': 'hda', 'id': 33243143}, {'src': 'hda', 'id': 33243144}, {'src': 'hda', 'id': 33243146}, {'src': 'hda', 'id': 33243147}, {'src': 'hda', 'id': 33243148}, {'src': 'hda', 'id': 33243149}, {'src': 'hda', 'id': 33243150}]",tag,"""true""",32.0,,43106812.0,1515576796.0,ok,1023996.0,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.26.0.0,2.26.0.0,,2018-01-10 09:34:18.981793,119297.0,60.0
