bed_data,bed_data_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.bed_data,parameters.bed_data.values,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.input|__identifier__,parameters.key_option,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
9910,bed,,,2016-03-09 20:38:24.368563,slurm_normal,1457556036.0,0,1.0,main_w1_handler0,2627515,12088012,False,,27931,vcf,6312683.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764340,,"""20""","""BED-features""",32.0,,28352648.0,1457556032.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:40:40.572933,77099.0,4.0
9910,bed,,,2016-03-09 20:38:41.929919,slurm_normal,1457556401.0,0,1.0,main_w1_handler0,2627515,12088028,False,,27252,vcf,6312787.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764358,,"""35""","""BED-features""",32.0,,28352648.0,1457556396.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:46:45.768677,77099.0,5.0
9910,bed,,,2016-03-09 20:45:34.432756,slurm_normal,1457556605.0,0,1.0,main_w1_handler0,2627515,12088430,False,,31047,vcf,6312858.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764737,,"""s366""","""BED-features""",32.0,,28352648.0,1457556598.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:50:10.868611,77099.0,7.0
9910,bed,,,2016-03-09 20:44:15.168894,slurm_normal,1457557002.0,0,1.0,main_w1_handler0,2627515,12088336,False,,30112,vcf,6312982.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764656,,"""control7""","""BED-features""",32.0,,28352648.0,1457556997.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:56:44.931855,77099.0,5.0
1145752,bed,,,2015-09-15 11:19:52.853695,slurm_normal,1442316024.0,0,1.0,main_w2_handler1,2434660,10322598,False,,880627,vcf,4606580.roundup,slurm,,132112168.0,corral-repl,,,21072618,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21115312,,,"""BED-features""",32.0,,24069201.0,1442316016.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2015-09-15 11:20:25.312115,65803.0,8.0
9910,bed,,,2016-03-09 20:39:06.602900,slurm_normal,1457557177.0,0,1.0,main_w1_handler0,2627515,12088048,False,,26735,vcf,6313033.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764379,,"""51""","""BED-features""",32.0,,28352648.0,1457557173.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:59:40.594845,77099.0,4.0
9910,bed,,,2016-03-09 20:40:32.665429,slurm_normal,1457557323.0,0,1.0,main_w1_handler0,2627515,12088120,False,,25860,vcf,6313081.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764449,,"""113""","""BED-features""",32.0,,28352648.0,1457557320.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 21:02:07.081895,77099.0,3.0
9910,bed,,,2016-03-09 20:38:57.598772,slurm_normal,1457556005.0,0,1.0,main_w1_handler2,2627515,12088043,False,,23386,vcf,6312676.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764374,,"""46""","""BED-features""",32.0,,28352648.0,1457555989.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:40:10.175318,77099.0,16.0
9910,bed,,,2016-03-09 20:38:09.034299,slurm_normal,1457556023.0,0,1.0,main_w2_handler0,2627515,12087998,False,,22613,vcf,6312681.roundup,slurm,,132112168.0,corral-repl,,,23761939,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23764323,,"""6""","""BED-features""",32.0,,28352648.0,1457556014.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2016-03-09 20:40:25.517842,77099.0,9.0
16264310,bed,,,2015-06-19 13:38:24.714571,slurm_normal,1434721193.0,0,1.0,main_w1_handler2,2349068,9692083,False,,12400009,vcf,4001094.roundup,slurm,,132112168.0,corral-repl,,,20069162,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20069151,,,"""HumanGenome""",32.0,,23709056.0,1434721181.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/0.0.3,0.0.3,,2015-06-19 13:39:55.379897,64892.0,12.0
