chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.giField,parameters.giField.__class__,parameters.giField.value,parameters.idField,parameters.idField.__class__,parameters.idField.value,parameters.input,parameters.input.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-03-22 22:54:13.324958,rodeo_normal,1427132492.0,0,1.0,main_w2_handler0,2245364,9009553,False,,369764078,tabular,3295454.roundup,slurm,,132112168.0,corral-repl,,"""5bae11a6d0e611e4ba0e005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,2,,UnvalidatedValue,1,18953935,,32.0,,21955576.0,1427131336.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-23 17:41:36.912953,16257.0,1156.0
,,2015-03-22 23:37:36.108982,rodeo_normal,1427131587.0,0,1.0,main_w1_handler1,2245462,9009669,False,,359208008,tabular,3295255.roundup,slurm,,132112168.0,corral-repl,,"""6aac9cc6d0ec11e4bb3f005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,2,,UnvalidatedValue,1,18954290,,32.0,,21955576.0,1427130491.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-23 17:26:30.527822,16257.0,1096.0
,,2015-03-26 19:56:25.571742,rodeo_normal,1427400688.0,0,1.0,main_w1_handler1,2250246,9052556,False,,200549367,tabular,3337991.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""1""",,,19016276,,32.0,,21971532.0,1427399809.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-26 20:11:36.554374,60265.0,879.0
,,2015-03-23 23:04:47.594722,rodeo_normal,1427152632.0,0,1.0,main_w2_handler0,2243866,9019281,False,,330413,tabular,3300463.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""1""",,,18935472,,32.0,,21930290.0,1427151900.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-23 23:18:37.932126,61232.0,732.0
,,2015-03-23 13:30:37.659557,rodeo_normal,1427197470.0,0,1.0,main_w2_handler1,2246030,9013447,False,,374381305,tabular,3306077.roundup,slurm,,132112168.0,corral-repl,,"""ca453df4d16011e48cce005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,2,,UnvalidatedValue,1,18960123,,32.0,,21197127.0,1427196512.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-24 11:44:32.044326,16257.0,958.0
,,2015-03-23 13:37:23.963410,rodeo_normal,1427205296.0,0,1.0,main_w1_handler0,2246040,9013487,False,,373749951,tabular,3308185.roundup,slurm,,132112168.0,corral-repl,,"""bb371f8ed16111e48b96005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,UnvalidatedValue,2,,UnvalidatedValue,1,18960236,,32.0,,21197127.0,1427204150.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-24 13:55:45.258388,16257.0,1146.0
,,2015-03-20 01:14:06.511369,rodeo_normal,1426815114.0,0,1.0,main_w2_handler1,2240224,8993668,False,,1500876419,tabular,3251083.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""1""",,,18923171,,32.0,,21906527.0,1426814060.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-20 01:31:56.628364,61140.0,1054.0
,,2015-03-20 08:49:26.660125,rodeo_normal,1426842085.0,0,1.0,main_w2_handler0,2243197,8994962,False,,18958669,tabular,3253644.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""1""",,,18930850,,32.0,,20367783.0,1426841382.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-20 09:01:29.744375,57909.0,703.0
,,2015-03-20 13:47:52.235275,rodeo_normal,1426860068.0,0,1.0,main_w1_handler1,2242859,8996225,False,,136989167,tabular,3256071.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""1""",,,18926813,,32.0,,21456993.0,1426859282.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-20 14:01:11.307117,48848.0,786.0
,,2015-03-20 14:13:06.931410,rodeo_normal,1426861589.0,0,1.0,main_w1_handler0,2243131,8996401,False,,184983859,tabular,3256418.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",,,"""1""",,,18929416,,32.0,,21915425.0,1426860798.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gi2taxonomy/Fetch Taxonomic Ranks/1.1.0,1.1.0,,2015-03-20 14:26:32.152715,,791.0
