corData,corData_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.corData.values,parameters.dbkey,parameters.outFileFormat,parameters.outFileNameData,parameters.plotTitle,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
847858,deeptools_coverage_matrix,2016-10-13 05:49:30.389651,slurm_normal,1476337977.0,0,1.0,main_w4_handler0,2852919,14069932,False,,8286957.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b537fb018c794e5df6'}]","""mm10""","""eps""","""false""","""""",32.0,,32088976,1476337953.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.5.0,2.3.5.0,,2016-10-13 05:53:01.021286,67966,24.0
733029,deeptools_coverage_matrix,2016-10-14 00:01:18.003119,slurm_normal,1476403756.0,0,1.0,main_w3_handler1,2852919,14077769,False,,8294565.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b596b558c7b880df4a'}]","""mm10""","""png""","""false""","""""",32.0,,32088976,1476403702.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.5.0,2.3.5.0,,2016-10-14 00:09:22.264077,67966,54.0
25427408,deeptools_coverage_matrix,2016-10-13 20:14:10.713347,slurm_normal,1476389930.0,0,1.0,main_w3_handler1,2852589,14076645,False,,8293479.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5dfb5c1c2a17dcaf9'}]","""hg19""","""png""","""false""","""""",32.0,,33479290,1476389873.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.5.0,2.3.5.0,,2016-10-13 20:18:52.886924,87393,57.0
6101240,deeptools_coverage_matrix,2016-10-13 19:03:32.669096,slurm_normal,1476386289.0,0,1.0,main_w4_handler1,2853744,14076049,False,,8292946.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5956e991a6eba1151'}]","""?""","""png""","""false""","""""",32.0,,33479290,1476386251.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.5.0,2.3.5.0,,2016-10-13 19:18:11.359705,87393,38.0
4229107,deeptools_coverage_matrix,2016-10-13 21:05:57.850037,slurm_normal,1476395606.0,0,1.0,main_w4_handler1,2850927,14077025,False,,8293937.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/rheMac3.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ced1747915ead005'}]","""rheMac3""","""png""","""false""","""""",32.0,,33479290,1476395577.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.5.0,2.3.5.0,,2016-10-13 21:53:31.389892,87393,29.0
25423472,deeptools_coverage_matrix,2016-10-13 21:00:30.784037,slurm_normal,1476393805.0,0,1.0,main_w4_handler0,2853744,14076997,False,,8293844.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a42add7a6394037e'}]","""hg19""","""png""","""false""","""""",32.0,,33479290,1476393733.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.5.0,2.3.5.0,,2016-10-13 21:23:34.539907,87393,72.0
8195617,deeptools_coverage_matrix,2016-10-13 21:39:24.447177,slurm_normal,1476395943.0,0,1.0,main_w4_handler0,2853744,14077148,False,,8293965.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5e6642ad582aab1df'}]","""?""","""png""","""false""","""""",32.0,,33479290,1476395918.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.5.0,2.3.5.0,,2016-10-13 21:59:06.886140,87393,25.0
6359558,deeptools_coverage_matrix,2016-10-13 21:40:23.536438,slurm_normal,1476396903.0,0,1.0,main_w4_handler1,2853744,14077159,False,,8294064.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b598749b8f1008ffeb'}]","""?""","""png""","""false""","""""",32.0,,33479290,1476396867.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.5.0,2.3.5.0,,2016-10-13 22:15:09.887651,87393,36.0
25423791,deeptools_coverage_matrix,2016-10-13 21:39:10.406494,slurm_normal,1476396772.0,0,1.0,main_w3_handler0,2853744,14077146,False,,8294051.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b51e984c8e24f2b444'}]","""hg19""","""png""","""false""","""""",32.0,,33479290,1476396737.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.5.0,2.3.5.0,,2016-10-13 22:12:55.479827,87393,35.0
8328889,deeptools_coverage_matrix,2016-10-13 21:39:47.082203,slurm_normal,1476397360.0,0,1.0,main_w4_handler0,2853744,14077151,False,,8294100.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5c4dd338367615c5f'}]","""hg19""","""png""","""false""","""""",32.0,,33479290,1476397323.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.3.5.0,2.3.5.0,,2016-10-13 22:22:44.854058,87393,37.0
