chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-11-16 19:17:15.628234,slurm_multi,1510880295.0,0.0,6.0,main_w3_handler2,3328064,17485880,False,,1680204248,tabular,11543453,slurm,,132112168.0,corral-repl,,0,no,,"""bbae0610cb0211e78188005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32362498}]",32.0,,,1510862627.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/align_families/0.3,0.3,,2017-11-17 00:58:17.831750,80372,17668.0
,,2017-11-16 19:19:14.924315,slurm_multi,1510880325.0,0.0,6.0,main_w3_handler2,3328066,17485912,False,,1680204248,tabular,11543473,slurm,,132111800.0,corral-repl,,0,no,,"""039d444acb0311e788d7005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32362546}]",32.0,,,1510863040.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/align_families/0.3,0.3,,2017-11-17 00:58:47.166174,80372,17285.0
,,2017-11-20 15:53:35.519587,slurm_multi,1511194109.0,0.0,6.0,main_w4_handler2,3332457,17521415,False,,1781623896,tabular,11581282,slurm,,132112168.0,corral-repl,,0,no,,"""f33e21fece0a11e7814a005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32423275}]",32.0,,,1511193433.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/align_families/0.3,0.3,,2017-11-20 16:08:30.982927,80372,676.0
,,2016-06-17 17:50:45.903533,slurm_multi,1466260485.0,0.0,6.0,main_w2_handler2,2742324,13194602,False,,3340948558,tabular,7379275,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b6a7932f4687d419'}]",32.0,,30913991.0,1466185856.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/align_families/0.3,0.3,,2016-06-18 14:34:46.516362,86223,74629.0
,,2016-01-19 15:12:10.281564,reserved_multi,1453339208.0,0.0,4.0,main_w2_handler2,2570508,11550495,False,,3340948558,tabular,5813588.roundup,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22960585,,32.0,,26662391.0,1453216348.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/align_families/0.3,0.3,,2016-01-21 01:20:19.200280,621,122860.0
,,2016-01-19 20:03:38.098225,reserved_multi,1453751020.0,0.0,4.0,main_w2_handler2,2570434,11552591,False,,21787856804,tabular,5817885.roundup,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22960617,,32.0,,26662391.0,1453233836.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/align_families/0.3,0.3,,2016-01-25 19:43:51.401215,621,517184.0
,,2016-03-11 22:09:16.118595,slurm_multi,1457754685.0,0.0,6.0,main_w2_handler2,2630550,12110984,False,,883991399,tabular,6334431,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23803875,,32.0,,28920883.0,1457734645.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/align_families/0.3,0.3,,2016-03-12 03:51:26.722194,80372,20040.0
,,2016-06-20 18:18:08.440606,slurm_multi,1466447076.0,0.0,6.0,main_w1_handler2,2743471,13213626,False,,2723655,tabular,7398231,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55298b32bc00123c3'}]",32.0,,30952259.0,1466446925.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/align_families/0.3,0.3,,2016-06-20 18:24:38.141888,86313,151.0
,,2016-06-20 18:18:04.775993,slurm_multi,1466447092.0,0.0,6.0,main_w2_handler2,2743471,13213618,False,,3056096,tabular,7398230,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b529fbbe0e3826390c'}]",32.0,,30952259.0,1466446922.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/align_families/0.3,0.3,,2016-06-20 18:24:54.336968,86313,170.0
,,2016-06-20 18:18:06.263520,slurm_multi,1466446917.0,0.0,6.0,main_w1_handler2,2743471,13213623,False,,3432239,tabular,7398217,slurm,,132112168.0,corral-repl,,0,no,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b566615a718ca87601'}]",32.0,,30952259.0,1466446832.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/align_families/0.3,0.3,,2016-06-20 18:21:58.049553,86313,85.0
