chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputSequences,inputSequences_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.adjustdirection,parameters.chromInfo,parameters.cond_flavour.__current_case__,parameters.cond_flavour.distance_method,parameters.cond_flavour.flavourType,parameters.cond_flavour.iterations,parameters.cond_flavour.retree,parameters.datatype,parameters.dbkey,parameters.ep,parameters.getTree,parameters.inputSequences.values,parameters.inputSequences|__identifier__,parameters.matrix_condition.BLOSUM,parameters.matrix_condition.PAM,parameters.matrix_condition.__current_case__,parameters.matrix_condition.matrix,parameters.op,parameters.outputFormat,parameters.reorder,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-01-09 19:50:49.473076,slurm_normal,1483991541.0,0,,1.0,main_w3_handler1,2882823,14719020,False,,53749,fasta,8887998.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",7,,mafft-linsi,,,"""""","""?""","""0.123""","""true""","[{'src': 'hda', 'id': 27858292}]",,,,0,,"""1.53""","""""","""true""",32.0,,34600644.0,1483991458.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2017-01-09 19:52:25.594531,93822.0,83.0
,,2017-01-09 20:12:28.456173,slurm_normal,1483992831.0,0,,1.0,main_w4_handler0,2882823,14719164,False,,56596,fasta,8888130.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",7,,mafft-linsi,,,"""""","""?""","""0.123""","""true""","[{'src': 'hda', 'id': 27858754}]",,,,0,,"""1.53""","""""","""true""",32.0,,34600644.0,1483992755.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2017-01-09 20:13:56.669564,93822.0,76.0
,,2016-09-08 20:24:37.539934,slurm_normal,1473366390.0,0,,1.0,main_w4_handler1,2757519,13810878,False,,1860996,fasta,8031858.roundup,slurm,,132112168.0,corral-repl,,,,,,"""--adjustdirection""","""/galaxy-repl/localdata/chrom/?.len""",0,,mafft-fftns,,,"""--nuc""","""?""","""0.123""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b55eb1d8f31af05883'}]",,,,0,,"""1.53""","""""","""false""",32.0,,32555782.0,1473366287.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2016-09-08 20:26:33.118713,86177.0,103.0
,,2017-01-09 23:30:28.548766,slurm_normal,1484004659.0,0,,1.0,main_w4_handler1,2882823,14720511,False,,21401,fasta,8889432.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",7,,mafft-linsi,,,"""""","""?""","""0.123""","""true""","[{'src': 'hda', 'id': 27860778}]",,,,0,,"""1.53""","""""","""true""",32.0,,34600644.0,1484004634.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2017-01-09 23:31:02.900503,93822.0,25.0
,,2017-04-07 12:50:24.657075,slurm_normal,1491569459.0,0,,1.0,main_w4_handler1,3063688,15519741,False,,170826,fasta,9646388.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",1,,mafft --auto,,,"""""","""?""","""0.123""","""true""","[{'src': 'hda', 'id': 29116916}]",,,,0,,"""1.53""","""""","""true""",32.0,,37188833.0,1491569429.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2017-04-07 12:51:15.989223,,30.0
,,2017-04-12 14:58:57.061447,slurm_normal,1492009288.0,0,,1.0,main_w3_handler0,3068942,15566168,False,,2529658,fasta,9689681.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,,mafft-fftns,,,"""--nuc""","""?""","""0.123""","""true""","[{'src': 'hda', 'id': 29188516}]",,,,0,,"""1.53""","""""","""true""",32.0,,37265510.0,1492009151.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2017-04-12 15:01:31.799598,103902.0,137.0
,,2016-09-08 12:49:19.714258,slurm_normal,1473339010.0,0,,1.0,main_w4_handler0,2800920,13805932,False,,386269,fasta,8026616.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,,mafft-fftns,,,"""--nuc""","""?""","""0.123""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b56927c66140a36afc'}]",,,,0,,"""1.53""","""""","""false""",32.0,,32493842.0,1473338971.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2016-09-08 12:50:14.420417,88944.0,39.0
,,2016-10-12 16:22:27.553049,slurm_normal,1476289359.0,0,,1.0,main_w3_handler0,2852326,14065130,False,,9226,fasta,8282022.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,,mafft-fftns,,,"""--nuc""","""?""","""0.123""","""true""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d9f0d1710a6b2f4a'}]",,,,0,,"""1.53""","""--clustalout""","""false""",32.0,,33632437.0,1476289354.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2016-10-12 16:22:43.398796,,5.0
,,2017-04-27 17:30:26.948884,slurm_normal,1493314245.0,0,,1.0,main_w3_handler1,3089630,15693353,False,,95742,fasta,9806689.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,,mafft-fftns,,,"""--nuc""","""?""","""0.123""","""false""","[{'src': 'hda', 'id': 29386690}]",,,,0,,"""1.53""","""""","""false""",32.0,,37581375.0,1493314229.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2017-04-27 17:30:57.499991,94414.0,16.0
,,2017-04-27 17:30:50.751317,slurm_normal,1493314305.0,0,,1.0,main_w4_handler0,3089630,15693355,False,,161709,fasta,9806696.roundup,slurm,,132112168.0,corral-repl,,,,,,""" ""","""/galaxy-repl/localdata/chrom/?.len""",0,,mafft-fftns,,,"""--nuc""","""?""","""0.123""","""false""","[{'src': 'hda', 'id': 29386689}]",,,,0,,"""1.53""","""""","""false""",32.0,,37581375.0,1493314298.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/rnateam/mafft/rbc_mafft/7.221.3,7.221.3,,2017-04-27 17:32:22.302618,94414.0,7.0
