create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile1,inputFile1_filetype,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.attributes_to_clear,parameters.chromInfo,parameters.dbkey,parameters.inputFile,parameters.library_name,parameters.max_discard_fraction,parameters.remove_alignment_information,parameters.remove_duplicate_information,parameters.restore_original_qualities,parameters.sample_alias,parameters.sanitize,parameters.sort_order,parameters.validation_stringency,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-04-15 10:40:54.878238,slurm_normal_16gb,1429094475.0,0,1.0,main_w1_handler1,2269339,9235541,False,,8743366,8743366,sam,sam,3516791.roundup,slurm,,132112168.0,corral-repl,,[],"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""19293712""","""null""","""0.01""","""True""","""True""","""True""","""null""","""False""","""coordinate""","""LENIENT""",32.0,,21994468,1429094469.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_RevertSam/1.126.0,1.126.0,,2015-04-15 10:41:18.897100,,6.0
2015-04-23 20:13:59.443367,slurm_normal_16gb,1429820254.0,0,1.0,main_w1_handler0,2271510,9315392,False,,1079936429,1079936429,sam,sam,3642819.roundup,slurm,,132112168.0,corral-repl,,[],"""/galaxy-repl/localdata/chrom/?.len""","""?""","""19333880""","""null""","""0.01""","""True""","""True""","""True""","""null""","""False""","""coordinate""","""LENIENT""",32.0,,21879852,1429820073.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_RevertSam/1.126.0,1.126.0,,2015-04-23 20:18:09.922640,60992.0,181.0
2015-06-23 09:51:17.814012,slurm_normal_16gb,1435054271.0,0,1.0,main_w1_handler2,2330409,9714561,False,,871928518,871928518,bam,bam,4021851,slurm,,132112168.0,corral-repl,,[],"""/galaxy-repl/localdata/chrom/?.len""","""?""","""20101360""","""null""","""0.01""","""True""","""True""","""True""","""null""","""False""","""coordinate""","""LENIENT""",32.0,,23471101,1435053650.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_RevertSam/1.126.0,1.126.0,,2015-06-23 10:11:15.031169,62534.0,621.0
2015-05-28 08:45:41.208799,slurm_normal_16gb,1432806886.0,0,1.0,main_w2_handler1,2201115,9551798,False,,22463354042,22463354042,bam,bam,3865769.roundup,slurm,,132112168.0,corral-repl,,[],"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""19778187""","""null""","""0.01""","""True""","""True""","""True""","""null""","""False""","""coordinate""","""LENIENT""",32.0,,23273900,1432802752.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_RevertSam/1.126.0,1.126.0,,2015-05-28 09:54:48.405797,51403.0,4134.0
2015-06-18 11:48:54.208275,slurm_normal_16gb,1434628169.0,0,1.0,main_w1_handler1,2346659,9681277,False,,92,92,bam,bam,3990777.roundup,slurm,,132112168.0,corral-repl,,[],"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","""20043549""","""null""","""0.01""","""True""","""True""","""True""","""null""","""False""","""coordinate""","""LENIENT""",32.0,,23676452,1434628164.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_RevertSam/1.126.0,1.126.0,,2015-06-18 11:49:32.438946,64907.0,5.0
2015-08-14 05:55:27.489865,slurm_normal_16gb,1439531763.0,0,1.0,main_w1_handler0,2408026,10116334,False,,126692,126692,bam,bam,4389136.roundup,slurm,,132112168.0,corral-repl,,[],"""/galaxy-repl/localdata/chrom/?.len""","""?""","""20770396""","""null""","""0.01""","""True""","""True""","""True""","""null""","""False""","""coordinate""","""LENIENT""",32.0,,24675858,1439531759.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_RevertSam/1.126.0,1.126.0,,2015-08-14 05:56:04.800664,,4.0
2015-08-16 16:31:14.764695,slurm_normal_16gb,1439743877.0,0,1.0,main_w2_handler0,779402,10129217,False,,5380307448,5380307448,bam,bam,4401337.roundup,slurm,,132112168.0,corral-repl,,[],"""/galaxy-repl/localdata/chrom/?.len""","""?""","""10003008""","""null""","""0.01""","""False""","""True""","""True""","""null""","""False""","""coordinate""","""LENIENT""",32.0,,24101322,1439742706.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_RevertSam/1.126.0,1.126.0,,2015-08-16 16:51:21.476752,17977.0,1171.0
2016-01-31 12:57:58.146143,slurm_normal_16gb,1454245165.0,0,1.0,main_w2_handler1,2571798,11645823,False,,120554046,120554046,bam,bam,5908327.roundup,slurm,,132112168.0,corral-repl,,[],"""/galaxy-repl/localdata/chrom/?.len""","""?""","""22972833""","""null""","""0.01""","""True""","""True""","""True""","""null""","""False""","""coordinate""","""LENIENT""",32.0,,27908782,1454245090.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_RevertSam/1.126.0,1.126.0,,2016-01-31 12:59:28.573742,77155.0,75.0
2015-12-08 17:03:41.713975,slurm_normal_16gb,1449594615.0,0,1.0,main_w1_handler1,2530858,11119490,False,,4058735434,4058735434,sam,sam,5385458.roundup,slurm,,132112168.0,corral-repl,,[],"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""22351727""","""null""","""0.01""","""True""","""False""","""True""","""null""","""False""","""coordinate""","""LENIENT""",32.0,,26118783,1449594249.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_RevertSam/1.126.0,1.126.0,,2015-12-08 17:10:19.919226,56978.0,366.0
2015-03-01 21:47:16.058967,rodeo_normal,1425246466.0,0,1.0,main_w1_handler0,2220397,8837902,False,,152609349,152609349,sam,sam,2962795.roundup,slurm,,132112168.0,corral-repl,,[],"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""18685292""","""null""","""0.01""","""True""","""True""","""True""","""null""","""False""","""coordinate""","""LENIENT""",32.0,,21491285,1425246443.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_RevertSam/1.126.0,1.126.0,,2015-03-01 21:47:48.466634,60235.0,23.0
