create_time,destination_id,end_epoch,exit_code,galaxy_slots,group,group_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.group.values,parameters.groupnames.__current_case__,parameters.groupnames.source,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-06-19 20:00:17.245019,slurm_normal,1497902445.0,0,1.0,26378,shared,main_w4_handler1,3139642,16136080,False,,10215863.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 30085697}]",0.0,none,32.0,,38483558,1497902439.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_count_groups/1.23.0,1.23.0,,2017-06-19 20:00:48.687353,37766,6.0
2017-06-19 20:09:57.480898,slurm_normal,1497903026.0,0,1.0,9456192,fasta,main_w4_handler1,3139642,16136162,False,,10215930.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 30085794}]",0.0,none,32.0,,38483558,1497903021.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_count_groups/1.23.0,1.23.0,,2017-06-19 20:10:30.074776,37766,5.0
2017-03-24 01:17:44.653623,slurm_normal,1490318273.0,0,1.0,50859416,gff,main_w3_handler1,3031927,15381688,False,,9519110.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28797951}]",0.0,none,32.0,,36825260,1490318267.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_count_groups/1.23.0,1.23.0,,2017-03-24 01:17:56.949010,102067,6.0
2017-04-03 07:48:13.911429,slurm_normal,1491205701.0,0,1.0,582103,fasta,main_w4_handler1,3009978,15468632,False,,9598382.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29027393}]",0.0,none,32.0,,37066267,1491205697.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_count_groups/1.23.0,1.23.0,,2017-04-03 07:48:24.243143,99424,4.0
2017-03-06 12:19:04.933246,slurm_normal,1488802756.0,0,1.0,53636014,tabular,main_w4_handler0,3019984,15219006,False,,9367883.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28636998}]",0.0,none,32.0,,36444453,1488802751.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_count_groups/1.23.0,1.23.0,,2017-03-06 12:19:20.982486,43904,5.0
2017-04-03 18:08:54.406856,slurm_normal,1491242942.0,0,1.0,51456591,txt,main_w3_handler1,3009978,15474727,False,,9603646.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29036081}]",0.0,none,32.0,,37076856,1491242937.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_count_groups/1.23.0,1.23.0,,2017-04-03 18:09:04.476787,99424,5.0
2017-04-04 05:15:41.408676,slurm_normal,1491282949.0,0,1.0,64165,tabular,main_w4_handler0,3056055,15478920,False,,9607664.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 29056516}]",0.0,none,32.0,,36815107,1491282945.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_count_groups/1.23.0,1.23.0,,2017-04-04 05:15:52.162496,102061,4.0
2017-02-26 21:58:18.572737,slurm_normal,1488146308.0,0,1.0,3632609,fasta,main_w3_handler1,3009978,15148940,False,,9301223.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28520791}]",0.0,none,32.0,,36294606,1488146304.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_count_groups/1.23.0,1.23.0,,2017-02-26 21:58:29.948791,99424,4.0
2017-02-27 16:49:52.178560,slurm_normal,1488214206.0,0,1.0,3632609,fasta,main_w3_handler0,3011797,15156074,False,,9307877.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28531051}]",0.0,none,32.0,,36307570,1488214196.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_count_groups/1.23.0,1.23.0,,2017-02-27 16:50:09.546076,99424,10.0
2017-04-04 15:52:20.306609,slurm_normal,1491321182.0,0,1.0,937397548,fastqsanger,main_w4_handler1,3058516,15484766,False,,9611617.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29059579}]",0.0,none,32.0,,37092648,1491321177.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_count_groups/1.23.0,1.23.0,,2017-04-04 15:53:09.709694,103439,5.0
2017-03-01 18:03:40.327008,slurm_normal,1488391536.0,0,1.0,3632609,fasta,main_w3_handler1,3011797,15181105,False,,9331842.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28531051}]",0.0,none,32.0,,36366423,1488391502.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_count_groups/1.23.0,1.23.0,,2017-03-01 18:06:51.489573,99424,34.0
2017-03-10 16:59:17.672286,slurm_normal,1489165248.0,0,1.0,36074,mothur.shared,main_w4_handler0,3026093,15264669,False,,9410725.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28703017}]",0.0,none,32.0,,36550514,1489165228.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_count_groups/1.23.0,1.23.0,,2017-03-10 17:01:50.336577,37766,20.0
2017-03-12 15:44:33.675273,slurm_normal,1489333485.0,0,1.0,36074,mothur.shared,main_w3_handler0,3026093,15274582,False,,9419575.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28703017}]",0.0,none,32.0,,36550514,1489333480.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_count_groups/1.23.0,1.23.0,,2017-03-12 15:44:51.486661,37766,5.0
2017-04-18 06:50:01.371664,slurm_normal,1492498221.0,0,1.0,55367867,fasta,main_w4_handler0,3068942,15611756,False,,9730723.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29255932}]",0.0,none,32.0,,37370514,1492498216.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_count_groups/1.23.0,1.23.0,,2017-04-18 06:50:24.234459,103902,5.0
2017-04-21 09:26:23.537284,slurm_normal,1492766797.0,0,1.0,534936484,fastq,main_w4_handler0,3077292,15642810,False,,9760374.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29298368}]",0.0,none,32.0,,37390151,1492766792.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_count_groups/1.23.0,1.23.0,,2017-04-21 09:26:39.061173,104265,5.0
