create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.column,parameters.dbkey,parameters.delimiter,parameters.infile.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-01-21 23:59:28.063725,slurm_normal,1516579186.0,0,,1.0,main_w3_handler0,3035344,18108910,False,217775,tabular,,12187887,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""15""","""?""",""",""","[{'src': 'hda', 'id': 33428241}]",32.0,,41632725,1516579177.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_unfold_column_tool/1.1.0,1.1.0,,2018-01-21 23:59:47.908345,51515.0,9.0
2018-01-21 23:53:53.211392,slurm_normal,1516578856.0,0,,1.0,main_w4_handler1,3035344,18108818,False,246430,tabular,,12187782,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""15""","""?""",""" ""","[{'src': 'hda', 'id': 33428099}]",32.0,,41632725,1516578848.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_unfold_column_tool/1.1.0,1.1.0,,2018-01-21 23:54:23.073616,51515.0,8.0
2018-01-22 00:08:22.865938,slurm_normal,1516579723.0,0,,1.0,main_w4_handler0,3035344,18109083,False,239533,tabular,,12188061,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""15""","""?""",""",""","[{'src': 'hda', 'id': 33428443}]",32.0,,41632725,1516579717.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_unfold_column_tool/1.1.0,1.1.0,,2018-01-22 00:08:45.234842,51515.0,6.0
2018-01-22 00:16:14.163421,slurm_normal,1516580195.0,0,,1.0,main_w4_handler0,3035344,18109341,False,240171,tabular,,12188351,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""15""","""?""",""",""","[{'src': 'hda', 'id': 33428683}]",32.0,,41632725,1516580188.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_unfold_column_tool/1.1.0,1.1.0,,2018-01-22 00:16:37.903991,51515.0,7.0
2018-01-22 00:32:10.044632,slurm_normal,1516581147.0,0,,1.0,main_w3_handler0,3035344,18109662,False,239366,tabular,,12188665,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""2""","""?""",""",""","[{'src': 'hda', 'id': 33428989}]",32.0,,41632725,1516581141.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_unfold_column_tool/1.1.0,1.1.0,,2018-01-22 00:32:30.444015,51515.0,6.0
2017-12-28 05:04:01.008467,slurm_normal,1514437460.0,0,,1.0,main_w3_handler0,3192683,17907244,False,11469787,tabular,,11982042,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""5""","""?""",""";""","[{'src': 'hda', 'id': 33102359}]",32.0,,42513841,1514437447.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_unfold_column_tool/1.1.0,1.1.0,,2017-12-28 05:04:22.942882,107637.0,13.0
2017-12-21 16:18:02.015798,slurm_normal,1513873099.0,0,,1.0,main_w4_handler0,3363313,17871980,False,3528,tabular,,11944451,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""105""","""?""",""",""","[{'src': 'hda', 'id': 33039516}]",32.0,,42670532,1513873094.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_unfold_column_tool/1.1.0,1.1.0,,2017-12-21 16:19:08.834031,118530.0,5.0
2017-12-21 16:24:50.685244,slurm_normal,1513873512.0,0,,1.0,main_w4_handler1,3363313,17872035,False,3528,tabular,,11944503,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""105""","""?""",""",""","[{'src': 'hda', 'id': 33039516}]",32.0,,42670532,1513873507.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_unfold_column_tool/1.1.0,1.1.0,,2017-12-21 16:25:43.719416,118530.0,5.0
2018-03-03 20:00:52.280626,slurm_normal,1520107264.0,0,7680.0,1.0,main_w4_handler0,3444986,18594121,False,509,tabular,,12688891,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""3""","""hg19""",""",""","[{'src': 'hda', 'id': 34189708}]",32.0,,44166221,1520107261.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_unfold_column_tool/1.1.0,1.1.0,,2018-03-03 20:01:05.516175,122793.0,3.0
2018-03-03 19:52:37.535943,slurm_normal,1520106770.0,0,7680.0,1.0,main_w4_handler0,3444986,18594028,False,509,tabular,,12688806,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""1""","""hg19""",""" ""","[{'src': 'hda', 'id': 34189708}]",32.0,,44166221,1520106766.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_unfold_column_tool/1.1.0,1.1.0,,2018-03-03 19:52:52.314243,122793.0,4.0
