create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__current_case__,parameters.chromInfo,parameters.dbkey,parameters.input1.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-11-14 18:39:14.470649,slurm_normal,1510685149.0,0,,1.0,main_w3_handler0,3323658,17457226,False,,1794999408,fastq.bz2,11515060,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 32314801}]",32.0,,41990578,1510684764.0,ok,1023996.0,CONVERTER_fastqbz2_to_fastq,1.0.0,,2017-11-14 18:45:51.496759,116176.0,385.0
2017-11-14 18:38:41.387353,slurm_normal,1510684955.0,0,,1.0,main_w3_handler1,3323658,17457222,False,,1107963039,fastq.bz2,11515056,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 32314800}]",32.0,,41990578,1510684730.0,ok,1023996.0,CONVERTER_fastqbz2_to_fastq,1.0.0,,2017-11-14 18:42:36.707793,116176.0,225.0
2017-11-14 18:41:24.773005,slurm_normal,1510685425.0,0,,1.0,main_w3_handler0,3323658,17457275,False,,1478753848,fastq.bz2,11515128,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 32314810}]",32.0,,41990578,1510685098.0,ok,1023996.0,CONVERTER_fastqbz2_to_fastq,1.0.0,,2017-11-14 18:50:34.107113,116176.0,327.0
2017-11-14 18:39:49.037091,slurm_normal,1510685294.0,0,,1.0,main_w4_handler0,3323658,17457232,False,,2479502260,fastq.bz2,11515064,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 32314802}]",32.0,,41990578,1510684803.0,ok,1023996.0,CONVERTER_fastqbz2_to_fastq,1.0.0,,2017-11-14 18:48:23.739552,116176.0,491.0
2017-11-14 18:38:40.081744,slurm_normal,1510685005.0,0,,1.0,main_w3_handler0,3323658,17457221,False,,1107963039,fastq.bz2,11515055,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 32314800}]",32.0,,41990578,1510684727.0,ok,1023996.0,CONVERTER_fastqbz2_to_fastq,1.0.0,,2017-11-14 18:43:30.303289,116176.0,278.0
2017-11-14 18:41:32.386645,slurm_normal,1510685090.0,0,,1.0,main_w3_handler1,3323658,17457277,False,,455580058,fastq.bz2,11515095,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 32314812}]",32.0,,41990578,1510684959.0,ok,1023996.0,CONVERTER_fastqbz2_to_fastq,1.0.0,,2017-11-14 18:44:52.861436,116176.0,131.0
2017-11-14 18:41:17.654947,slurm_normal,1510685043.0,0,,1.0,main_w3_handler0,3323658,17457272,False,,333062125,fastq.bz2,11515097,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 32314809}]",32.0,,41990578,1510684962.0,ok,1023996.0,CONVERTER_fastqbz2_to_fastq,1.0.0,,2017-11-14 18:44:07.370860,116176.0,81.0
2017-11-14 18:41:07.656550,slurm_normal,1510685153.0,0,,1.0,main_w4_handler1,3323658,17457266,False,,822809930,fastq.bz2,11515096,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 32314805}]",32.0,,41990578,1510684962.0,ok,1023996.0,CONVERTER_fastqbz2_to_fastq,1.0.0,,2017-11-14 18:45:55.359620,116176.0,191.0
2017-11-14 18:40:59.416822,slurm_normal,1510685312.0,0,,1.0,main_w4_handler0,3323658,17457259,False,,593185815,fastq.bz2,11515151,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 32314804}]",32.0,,41990578,1510685179.0,ok,1023996.0,CONVERTER_fastqbz2_to_fastq,1.0.0,,2017-11-14 18:48:41.987528,116176.0,133.0
2017-11-21 17:55:10.075277,slurm_normal,1511287038.0,0,,1.0,main_w4_handler1,3334275,17539890,False,,1324852,fastqsanger.bz2,11599110,slurm,,132112168.0,corral-repl,,1,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32457521}]",32.0,,42050765,1511286922.0,ok,1023996.0,CONVERTER_fastqbz2_to_fastq,1.0.0,,2017-11-21 17:57:19.309205,104239.0,116.0
2017-11-21 17:55:09.633739,slurm_normal,1511286929.0,0,,1.0,main_w4_handler1,3334275,17539889,False,,952441,fastqsanger.bz2,11599109,slurm,,132112168.0,corral-repl,,1,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32457519}]",32.0,,42050765,1511286922.0,ok,1023996.0,CONVERTER_fastqbz2_to_fastq,1.0.0,,2017-11-21 17:55:30.640578,104239.0,7.0
2017-12-08 16:06:57.581901,slurm_normal,1512749795.0,0,,1.0,main_w4_handler1,3356722,17748163,False,,2999597672,fastqsanger.bz2,11815081,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32789160}]",32.0,,42534415,1512749226.0,ok,1023996.0,CONVERTER_fastqbz2_to_fastq,1.0.0,,2017-12-08 16:16:37.185870,118215.0,569.0
2018-02-02 19:58:32.499537,slurm_normal,1517601571.0,0,,1.0,main_w3_handler1,3415144,18241003,False,,245816970,fastqsanger.bz2,12321310,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33643614}]",32.0,,43647184,1517601524.0,ok,1023996.0,CONVERTER_fastqbz2_to_fastq,1.0.0,,2018-02-02 19:59:32.726443,121223.0,47.0
2018-03-08 18:31:49.742322,slurm_normal,1520534016.0,0,7680.0,1.0,main_w4_handler0,3456769,18661501,False,,431818109,fastqsanger.bz2,12757544,slurm,,132112168.0,corral-repl,,0,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34300256}]",32.0,,44473599,1520533918.0,ok,1023996.0,CONVERTER_fastqbz2_to_fastq,1.0.0,,2018-03-08 18:33:38.171651,103269.0,98.0
2018-02-23 05:44:35.358226,slurm_normal,1519364693.0,0,7680.0,1.0,main_w4_handler0,3439768,18492807,False,,12942507,fastqsanger.bz2,12588249,slurm,,132112168.0,corral-repl,,1,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34027241}]",32.0,,44110797,1519364685.0,ok,1023996.0,CONVERTER_fastqbz2_to_fastq,1.0.0,,2018-02-23 05:44:54.927017,80765.0,8.0
2018-02-23 05:45:10.763027,slurm_normal,1519364723.0,0,7680.0,1.0,main_w3_handler1,3439768,18492810,False,,7939959,fastqsanger.bz2,12588253,slurm,,132112168.0,corral-repl,,1,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34027226}]",32.0,,44110797,1519364718.0,ok,1023996.0,CONVERTER_fastqbz2_to_fastq,1.0.0,,2018-02-23 05:45:25.981917,80765.0,5.0
2017-07-17 11:52:37.656075,slurm_normal,1500292466.0,0,,1.0,main_w4_handler1,3195202,16359107,False,,516096225,fastq.bz2,10422258.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 30515963}]",32.0,,39271778,1500292364.0,ok,1023996.0,CONVERTER_fastqbz2_to_fastq,1.0.0,,2017-07-17 11:54:30.968969,103938.0,102.0
2017-06-19 13:24:30.540761,slurm_normal,1497878866.0,0,,1.0,main_w3_handler0,3162814,16131865,False,,813886150,fastq.bz2,10211890.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 30079504}]",32.0,,38776328,1497878693.0,ok,1023996.0,CONVERTER_fastqbz2_to_fastq,1.0.0,,2017-06-19 13:27:48.719749,107869.0,173.0
2017-06-19 13:38:52.090202,slurm_normal,1497879754.0,0,,1.0,main_w4_handler1,3162814,16132125,False,,834343275,fastq.bz2,10212056.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 30079817}]",32.0,,38776328,1497879558.0,ok,1023996.0,CONVERTER_fastqbz2_to_fastq,1.0.0,,2017-06-19 13:42:38.222038,107869.0,196.0
2017-07-17 11:52:41.974821,slurm_normal,1500294069.0,0,,1.0,main_w4_handler1,3195202,16359116,False,,373868935,fastq.bz2,10422518.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 30515970}]",32.0,,39271778,1500293989.0,ok,1023996.0,CONVERTER_fastqbz2_to_fastq,1.0.0,,2017-07-17 12:21:14.478483,103938.0,80.0
