create_time,db,db_filetype,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,infile_denovo,infile_denovo_filetype,infile_reference,infile_reference_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.abskew,parameters.chromInfo,parameters.dbkey,parameters.detection_mode.__current_case__,parameters.detection_mode.db,parameters.detection_mode.db.values,parameters.detection_mode.detection_mode_select,parameters.detection_mode.infile_denovo,parameters.detection_mode.infile_denovo.values,parameters.detection_mode.infile_reference,parameters.detection_mode.infile_reference.values,parameters.dn,parameters.mindiffs,parameters.mindiv,parameters.minh,parameters.outputs,parameters.self_param,parameters.selfid_param,parameters.xn,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-01-20 21:20:20.517696,,,slurm_normal,1453328683.0,0,1.0,main_w1_handler1,2215219,11565635,False,94949430.0,fasta,,,,5831082.roundup,slurm,,132112168.0,corral-repl,,"""2.0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,denovo,22969111.0,,,,"""1.4""","""3""","""0.8""","""0.28""","[""nonchimeras"", ""uchimealns"", ""uchimeout""]","""False""","""False""","""8.0""",32.0,,27571111,1453324844.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_chimera_detection/1.1.3.1,1.1.3.1,,2016-01-20 22:24:50.361463,60032.0,3839.0
2016-02-11 08:38:14.402378,,,slurm_normal,1455180729.0,0,1.0,main_w2_handler0,2218812,11785143,False,66969840.0,fasta,,,,6040476.roundup,slurm,,132112168.0,corral-repl,,"""2.0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,denovo,23290785.0,,,,"""1.4""","""3""","""0.8""","""0.28""",,"""False""","""False""","""8.0""",32.0,,28260339,1455179914.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_chimera_detection/1.1.3.1,1.1.3.1,,2016-02-11 08:52:14.073077,38417.0,815.0
2016-02-11 11:32:55.216105,,,slurm_normal,1455190455.0,0,1.0,main_w1_handler0,2593370,11788798,False,13260608.0,fasta,,,,6041846.roundup,slurm,,132112168.0,corral-repl,,"""2.0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,denovo,23294989.0,,,,"""1.4""","""3""","""0.8""","""0.28""","[""nonchimeras"", ""uchimealns"", ""uchimeout""]","""False""","""False""","""8.0""",32.0,,28289589,1455190417.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_chimera_detection/1.1.3.1,1.1.3.1,,2016-02-11 11:34:18.038401,78287.0,38.0
2016-02-11 12:00:12.614458,,,slurm_normal,1455192088.0,0,1.0,main_w2_handler1,2593370,11788897,False,10905449.0,fasta,,,,6042221.roundup,slurm,,132112168.0,corral-repl,,"""2.0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,denovo,23295226.0,,,,"""1.4""","""3""","""0.8""","""0.28""","[""nonchimeras"", ""uchimealns"", ""uchimeout""]","""False""","""False""","""8.0""",32.0,,28289589,1455192042.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_chimera_detection/1.1.3.1,1.1.3.1,,2016-02-11 12:01:34.152002,78287.0,46.0
2016-02-11 12:02:13.123453,,,slurm_normal,1455192194.0,0,1.0,main_w1_handler1,2593370,11788917,False,10902518.0,fasta,,,,6042254.roundup,slurm,,132112168.0,corral-repl,,"""2.0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,denovo,23295260.0,,,,"""1.4""","""3""","""0.8""","""0.28""","[""nonchimeras"", ""uchimealns"", ""uchimeout""]","""False""","""False""","""8.0""",32.0,,28289589,1455192164.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_chimera_detection/1.1.3.1,1.1.3.1,,2016-02-11 12:03:17.282198,78287.0,30.0
2016-01-26 18:08:52.768497,,,slurm_normal,1453834823.0,0,1.0,main_w1_handler0,2543864,11609379,False,233560503.0,fasta,,,,5874129.roundup,slurm,,132112168.0,corral-repl,,"""2.0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,denovo,23005664.0,,,,"""1.4""","""3""","""0.8""","""0.28""",,"""False""","""False""","""8.0""",32.0,,27653202,1453831754.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_chimera_detection/1.1.3.1,1.1.3.1,,2016-01-26 19:00:27.041645,77297.0,3069.0
2016-02-16 10:35:06.468008,,,slurm_normal,1455619541.0,0,1.0,main_w2_handler0,2218812,11842350,False,58643513.0,fasta,,,,6089673.roundup,slurm,,132112168.0,corral-repl,,"""2.0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,denovo,23308495.0,,,,"""1.4""","""3""","""0.8""","""0.28""",,"""False""","""False""","""8.0""",32.0,,28260339,1455618968.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_chimera_detection/1.1.3.1,1.1.3.1,,2016-02-16 10:45:50.997059,38417.0,573.0
2016-03-03 06:15:59.965542,,,slurm_normal,1457006126.0,0,1.0,main_w2_handler1,2577913,12003233,False,365984410.0,fasta,,,,6232611.roundup,slurm,,132112168.0,corral-repl,,"""2.0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,denovo,23633502.0,,,,"""1.4""","""3""","""0.8""","""0.28""","[""nonchimeras"", ""uchimealns"", ""uchimeout""]","""False""","""False""","""8.0""",32.0,,28775102,1456985781.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_chimera_detection/1.1.3.1,1.1.3.1,,2016-03-03 11:55:30.781813,5035.0,20345.0
2016-10-27 00:15:42.141809,,,slurm_normal,1477528047.0,0,1.0,main_w3_handler0,2870618,14184914,False,64445334.0,fasta,,,,8397640.roundup,slurm,,132112168.0,corral-repl,,"""2.0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,denovo,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bd19508da57db0eb'}]",,,"""1.4""","""3""","""0.8""","""0.28""","[""nonchimeras""]","""false""","""false""","""8.0""",32.0,,33646163,1477527347.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_chimera_detection/1.1.3.1,1.1.3.1,,2016-10-27 00:27:32.717790,,700.0
2016-11-06 23:12:46.332037,51079887.0,fasta,slurm_normal,1478474955.0,0,1.0,main_w4_handler0,2882455,14267453,False,,,51079887.0,fasta,,8475465.roundup,slurm,,132112168.0,corral-repl,,"""2.0""","""/galaxy-repl/localdata/chrom/?.len""","""?""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57fc2570bfbbd028d'}]",reference,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57fc2570bfbbd028d'}]","""1.4""","""3""","""0.8""","""0.28""",,"""false""","""false""","""8.0""",32.0,,33646163,1478473968.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_chimera_detection/1.1.3.1,1.1.3.1,,2016-11-06 23:29:17.011192,,987.0
