create_time,destination_id,end_epoch,exit_code,fasta,fasta_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputs_0|fasta,inputs_0|fasta_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.fasta.values,parameters.fasta|__identifier__,parameters.inputs,parameters.soft,parameters.trump,parameters.vertical,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-11-01 11:44:35.713355,slurm_normal,1509538868.0,0,1303337705,mothur.align,,1.0,main_w4_handler1,3306883,17284596,False,,,,11346313,slurm,,132112168.0,corral-repl,,"""f2893b9cbef911e79af7005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32000788}]",,[],"""0""",""".""","""true""",32.0,,,1509538777.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-01 12:21:27.817637,72172.0,91.0
2017-11-01 11:42:46.354360,slurm_normal,1509540138.0,0,2155813409,mothur.align,,1.0,main_w4_handler1,3306884,17284577,False,,,,11346490,slurm,,132112168.0,corral-repl,,"""c31b028cbef911e78f43005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32000744}]",,[],"""0""",""".""","""true""",32.0,,,1509539985.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-01 12:42:28.771332,72172.0,153.0
2017-11-01 16:15:21.293158,slurm_normal,1509552988.0,0,7382363,mothur.align,,1.0,main_w4_handler1,3303860,17287170,False,,,,11348883,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32005518}]",,[],"""0""",""".""","""true""",32.0,,41333763.0,1509552983.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-01 16:16:34.905673,110472.0,5.0
2017-11-01 20:25:03.563156,slurm_normal,1509567927.0,0,20517083,mothur.align,,1.0,main_w3_handler0,3305053,17289979,False,,,,11351890,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32009700}]",,[],"""0""",""".""","""true""",32.0,,41680810.0,1509567921.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-01 20:25:31.206201,108184.0,6.0
2017-11-01 20:24:55.668245,slurm_normal,1509567933.0,0,20517083,mothur.align,,1.0,main_w4_handler0,3305056,17289976,False,,,,11351896,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32009675}]",,[],"""0""",""".""","""true""",32.0,,41324958.0,1509567927.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-01 20:25:43.898522,112817.0,6.0
2017-11-01 20:24:54.033646,slurm_normal,1509567934.0,0,20517083,mothur.align,,1.0,main_w4_handler0,3305055,17289974,False,,,,11351893,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32009681}]",,[],"""0""",""".""","""true""",32.0,,41227103.0,1509567927.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-01 20:25:44.102246,113422.0,7.0
2017-11-01 20:25:52.335600,slurm_normal,1509567983.0,0,20517083,mothur.align,,1.0,main_w4_handler1,3305052,17289992,False,,,,11351910,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32009794}]",,[],"""0""",""".""","""true""",32.0,,41049125.0,1509567977.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-01 20:26:32.564453,112818.0,6.0
2017-11-02 04:48:46.170421,slurm_normal,1509598236.0,0,1236208860,mothur.align,,1.0,main_w4_handler1,3307676,17294668,False,,,,11356811,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32016883}]",,[],"""0""",""".""","""true""",32.0,,41627267.0,1509598147.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-02 04:50:42.507559,36706.0,89.0
2017-11-02 07:09:01.253197,slurm_normal,1509606639.0,0,1236208860,mothur.align,,1.0,main_w3_handler1,3307905,17295122,False,,,,11357476,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32017934}]",,[],"""0""",""".""","""true""",32.0,,41627267.0,1509606551.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2017-11-02 07:10:43.507103,36706.0,88.0
2018-01-08 16:31:40.889301,slurm_normal,1515429135.0,0,337743185,mothur.align,,1.0,main_w4_handler0,3357006,17974144,False,,,,12050723,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32858410}]",,[],"""0""",""".""","""true""",32.0,,43005625.0,1515429106.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,1.36.1.0,,2018-01-08 16:32:17.263532,77009.0,29.0
