create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,matrixFile,matrixFile_filetype,memtotal,object_store_id,param_filename,parameters.advancedOpt.__current_case__,parameters.advancedOpt.averageType,parameters.advancedOpt.colors,parameters.advancedOpt.outFileNameData,parameters.advancedOpt.perGroup,parameters.advancedOpt.plotHeight,parameters.advancedOpt.plotTitle,parameters.advancedOpt.plotType,parameters.advancedOpt.plotWidth,parameters.advancedOpt.regionsLabel,parameters.advancedOpt.samplesLabel,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.used_multiple_regions.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.clustering_options,parameters.advancedOpt.used_multiple_regions.clustering.k_kmeans,parameters.advancedOpt.used_multiple_regions.clustering.n_hclust,parameters.advancedOpt.used_multiple_regions.used_multiple_regions_options,parameters.advancedOpt.yMax,parameters.advancedOpt.yMin,parameters.chromInfo,parameters.dbkey,parameters.matrixFile,parameters.matrixFile.values,parameters.output.__current_case__,parameters.output.dpi,parameters.output.outFileFormat,parameters.output.saveSortedRegions,parameters.output.showOutputSettings,parameters.scaleRegions.__current_case__,parameters.scaleRegions.endLabel,parameters.scaleRegions.showScaleRegionsOpt,parameters.scaleRegions.startLabel,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-10-13 14:38:32.950777,slurm_normal,1476370988.0,0,1.0,main_w4_handler0,2837731,14073815,False,,8290767.roundup,slurm,,10370774,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,mean,,false,true,5,,lines,11,,H3,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5958731ab5f5b7d74'}]",0,,,,no,1,TTS,yes,TSS,32.0,,33654434,1476370503.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-13 15:03:27.496550,51951,485.0
2016-10-13 22:45:50.899924,slurm_normal,1476399035.0,0,1.0,main_w4_handler1,2677832,14077479,False,,8294220.roundup,slurm,,329128,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,mean,,false,true,5,,lines,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c286c3d262939ad0'}]",1,200,png,false,yes,0,,no,,32.0,,33661749,1476399017.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-13 22:50:38.208086,40922,18.0
2016-10-13 23:00:22.901658,slurm_normal,1476399818.0,0,1.0,main_w4_handler1,2677832,14077514,False,,8294260.roundup,slurm,,329128,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,mean,,false,true,5,,lines,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ffa34336253ea1c0'}]",1,200,png,false,yes,0,,no,,32.0,,33661749,1476399798.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-13 23:03:43.393322,40922,20.0
2016-10-13 22:17:49.865761,slurm_normal,1476397340.0,0,1.0,main_w4_handler0,2677832,14077334,False,,8294099.roundup,slurm,,329128,deeptools_compute_matrix_archive,132112168.0,corral-repl,,0,,,,,,,,,,,no,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c286c3d262939ad0'}]",0,,,,no,0,,no,,32.0,,33661749,1476397311.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-13 22:22:24.918803,40922,29.0
2016-10-13 23:59:39.934883,slurm_normal,1476404098.0,0,1.0,main_w3_handler0,2677832,14077764,False,,8294595.roundup,slurm,,103851,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,mean,,false,true,5,,lines,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55aab1bb68976887d'}]",1,200,png,false,yes,0,,no,,32.0,,33661749,1476404082.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-14 00:14:59.400583,40922,16.0
2016-10-13 23:45:28.872622,slurm_normal,1476403057.0,0,1.0,main_w3_handler0,2677832,14077637,False,,8294500.roundup,slurm,,107661,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,mean,,false,true,5,,lines,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b598a08f2686b5bcc9'}]",1,200,png,false,yes,0,,no,,32.0,,33661749,1476403038.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-13 23:57:44.644894,40922,19.0
2016-10-14 18:13:17.182501,slurm_normal,1476470198.0,0,1.0,main_w3_handler0,2677832,14084299,False,,8301170.roundup,slurm,,110860,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,mean,,false,true,5,,lines,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cebc5a349dbfff66'}]",1,200,png,false,yes,0,,no,,32.0,,33661749,1476470186.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-14 18:36:40.422384,40922,12.0
2016-10-16 00:57:41.289295,slurm_normal,1476579672.0,0,1.0,main_w4_handler0,2837731,14090548,False,,8306799.roundup,slurm,,6017111,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,mean,,false,true,5,,lines,11,,GTB1,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b509c2c4024cf29cf5'}]",1,200,png,false,yes,1,TTS,yes,TSS,32.0,,33654434,1476579639.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-16 01:01:14.729559,51951,33.0
2016-10-16 01:26:23.546469,slurm_normal,1476581412.0,0,1.0,main_w4_handler0,2837731,14090587,False,,8306844.roundup,slurm,,197571,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,mean,,false,false,5,,lines,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a9a7c6a888742b67'}]",0,,,,no,1,TTS,yes,TSS,32.0,,33654434,1476581398.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-16 01:30:15.553803,51951,14.0
2016-10-15 06:07:14.422166,slurm_normal,1476511841.0,0,1.0,main_w4_handler1,2113047,14087435,False,,8304149.roundup,slurm,,3832918,deeptools_compute_matrix_archive,132112168.0,corral-repl,,1,mean,,false,false,5,,lines,11,,,yes,1.0,,,,,yes,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a26e8adad9c11165'}]",1,200,png,false,yes,1,TES,yes,TSS,32.0,,33615554,1476511817.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_profile/deeptools_plot_profile/2.3.5.0,2.3.5.0,,2016-10-15 06:10:42.712141,55663,24.0
