create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.size,parameters.wintype.__current_case__,parameters.wintype.choice,parameters.wintype.offset,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-05-05 00:09:23.050688,slurm_normal,1430784591.0,0,,1.0,main_w2_handler0,2293408,9391991,False,,257989,bed,3724578.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19571207,,"""20000""",0,0,0,32.0,,22657650.0,1430784580.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/windowsplitter/winSplitter/1.0.0,1.0.0,,2015-05-05 00:09:55.661700,62349.0,11.0
2015-06-18 21:51:16.471592,slurm_normal,1434665338.0,0,,1.0,main_w1_handler0,2323835,9688003,False,,6545793,interval,3997162.roundup,slurm,,132112168.0,corral-repl,,"""1c51e330160411e58f38005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",20061984,,"""120""",1,1,120,32.0,,23531070.0,1434665324.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/windowsplitter/winSplitter/1.0.0,1.0.0,,2015-06-18 22:09:04.612548,5613.0,14.0
2015-03-18 21:11:07.265913,rodeo_normal,1426713265.0,0,,1.0,main_w1_handler0,2218057,8981958,False,,4189,interval,3228883.roundup,slurm,,132112168.0,corral-repl,,"""3bad5ac8cdb311e4b740005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18906626,,"""120""",1,1,24,32.0,,21693623.0,1426713256.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/windowsplitter/winSplitter/1.0.0,1.0.0,,2015-03-18 21:14:27.492521,5613.0,9.0
2015-03-18 21:57:27.919806,rodeo_normal,1426716079.0,0,,1.0,main_w2_handler1,2218057,8982274,False,,4189,interval,3229480.roundup,slurm,,132112168.0,corral-repl,,"""b3f00854cdb911e4ad04005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18906962,,"""120""",1,1,120,32.0,,21693623.0,1426716072.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/windowsplitter/winSplitter/1.0.0,1.0.0,,2015-03-18 22:01:24.709812,5613.0,7.0
2015-03-23 09:28:36.924633,rodeo_normal,1427102942.0,0,,1.0,main_w1_handler1,2245481,9011605,False,,38,bed,3285646.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18956408,,"""500""",1,1,10,32.0,,21956834.0,1427102929.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/windowsplitter/winSplitter/1.0.0,1.0.0,,2015-03-23 09:29:03.444588,,13.0
2015-03-24 10:32:02.241141,rodeo_normal,1427193173.0,0,,1.0,main_w1_handler0,2175738,9022282,False,,853297408,bed,3305684.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",18972814,,"""10000""",0,0,0,32.0,,21988388.0,1427193135.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/windowsplitter/winSplitter/1.0.0,1.0.0,,2015-03-24 10:32:54.936115,18058.0,38.0
2015-03-19 18:44:45.133619,rodeo_normal,1426791133.0,0,,1.0,main_w1_handler1,2242458,8991131,False,,2590459,interval,3246549.roundup,slurm,,132112168.0,corral-repl,,"""fc92d8dace6711e49827005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18923795,,"""120""",1,1,120,32.0,,21693623.0,1426791084.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/windowsplitter/winSplitter/1.0.0,1.0.0,,2015-03-19 18:52:14.293013,5613.0,49.0
2015-03-19 20:45:53.213368,rodeo_normal,1426798244.0,0,,1.0,main_w1_handler1,2242458,8992343,False,,39370,interval,3248714.roundup,slurm,,132112168.0,corral-repl,,"""e313ec6cce7811e4aaa4005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18926339,,"""120""",1,1,24,32.0,,21693623.0,1426798238.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/windowsplitter/winSplitter/1.0.0,1.0.0,,2015-03-19 20:50:47.682893,5613.0,6.0
2015-03-19 21:18:58.764325,rodeo_normal,1426800166.0,0,,1.0,main_w1_handler1,2242458,8992595,False,,39370,interval,3249291.roundup,slurm,,132112168.0,corral-repl,,"""7cb04b6ece7d11e495bb005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18926698,,"""120""",1,1,120,32.0,,21693623.0,1426800160.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/windowsplitter/winSplitter/1.0.0,1.0.0,,2015-03-19 21:22:51.317800,5613.0,6.0
2015-03-20 17:18:46.196720,rodeo_normal,1426871944.0,0,,1.0,main_w2_handler1,2242458,8997598,False,,940,interval,3258672.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18934650,,"""120""",0,0,0,32.0,,21693623.0,1426871940.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/windowsplitter/winSplitter/1.0.0,1.0.0,,2015-03-20 17:19:08.405015,5613.0,4.0
