create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.pattern,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-25 02:29:18.064211,rodeo_normal,1427250575.0,0.0,,1.0,main_w1_handler1,2246310,9029676,False,,17719,fasta,3314931.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18983053,,"""(ACD)""",32.0,,21985907,1427250571.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: preg78/5.0.0,5.0.0,,2015-03-25 02:29:36.674211,4690.0,4.0
2015-12-09 12:59:52.681662,slurm_normal,1449666089.0,0.0,,1.0,main_w1_handler2,2529630,11126233,False,,277708426,fasta,5391713.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/salmTyph.len""","""salmTyph""",22326122,,"""(ACD)""",32.0,,26696945,1449666024.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: preg78/5.0.0,5.0.0,,2015-12-09 13:01:32.284958,73445.0,65.0
2015-10-06 12:03:37.032919,slurm_normal,1444133042.0,0.0,,1.0,main_w1_handler0,2461771,10509289,False,,1046,fasta,4784896.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21414777,,"""(LL)""",32.0,,25527158,1444133038.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: preg78/5.0.0,5.0.0,,2015-10-06 12:04:04.791039,36889.0,4.0
2015-10-06 12:01:45.639759,slurm_normal,1444132926.0,0.0,,1.0,main_w1_handler1,2461771,10509271,False,,1046,fasta,4784883.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21414777,,"""(ACD)""",32.0,,25527158,1444132921.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: preg78/5.0.0,5.0.0,,2015-10-06 12:02:07.898113,36889.0,5.0
2015-12-07 15:25:43.599035,slurm_normal,1449501985.0,0.0,,1.0,main_w2_handler0,2529630,11110935,False,,257696842,fasta,5376498.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/salmTyph.len""","""salmTyph""",22326195,,"""(ACD)""",32.0,,26630418,1449501968.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: preg78/5.0.0,5.0.0,,2015-12-07 15:26:29.625623,73445.0,17.0
2016-03-13 02:28:28.281256,slurm_normal,1457836147.0,0.0,,1.0,main_w1_handler2,2631605,12117617,False,,117,txt,6340276.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23813165,,"""(ACD)""",32.0,,28186653,1457836143.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: preg78/5.0.0,5.0.0,,2016-03-13 02:29:11.389040,76220.0,4.0
2016-03-15 01:54:43.826755,slurm_normal,1458006913.0,0.0,,1.0,main_w2_handler1,2633702,12136091,False,,744,fasta,6353436.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23837390,,"""(ACD)""",32.0,,28995019,1458006908.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: preg78/5.0.0,5.0.0,,2016-03-15 01:55:17.115682,76286.0,5.0
2016-06-30 08:56:38.604447,slurm_normal,1467277010.0,0.0,,1.0,main_w2_handler0,2752600,13294847,False,,1911480,fasta,7496384.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cf10cca8746173bd'}]","""YGATL""",32.0,,31081737,1467277007.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: preg78/5.0.0,5.0.0,,2016-06-30 08:56:53.529241,86604.0,3.0
2016-06-30 09:23:14.240740,slurm_normal,1467278609.0,0.0,,1.0,main_w1_handler0,2752600,13294960,False,,1911480,fasta,7496514.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cf10cca8746173bd'}]","""YXHXL""",32.0,,31081737,1467278606.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: preg78/5.0.0,5.0.0,,2016-06-30 09:23:30.571165,86604.0,3.0
2016-06-30 09:28:57.937688,slurm_normal,1467278955.0,0.0,,1.0,main_w2_handler1,2752600,13294990,False,,1911480,fasta,7496542.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cf10cca8746173bd'}]","""YXAXL""",32.0,,31081737,1467278950.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: preg78/5.0.0,5.0.0,,2016-06-30 09:29:17.179018,86604.0,5.0
