bgzip,bgzip_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.bgzip,parameters.bgzip.values,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2078,bgzip,,,2016-06-28 14:44:11.760686,slurm_normal,1467125104.0,0.0,,1.0,main_w2_handler1,2751877,13278033,False,,5127,interval,7467586.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b592042eb956b61473'}]","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c06ba1019d5fa59f'}]",32.0,,31135665,1467125097.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2016-06-28 14:45:07.230071,86711.0,7.0
226,bgzip,,,2015-04-02 15:32:39.615274,slurm_normal,1427988776.0,0.0,,1.0,main_w2_handler1,2201854,9125214,False,,382,chrint,3410171.roundup,slurm,,132112168.0,corral-repl,,19124596,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19124553,,32.0,,21176682,1427988773.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2015-04-02 15:32:58.918303,59462.0,3.0
63857,bgzip,,,2015-07-10 02:25:28.420275,slurm_normal,1436495158.0,0.0,,1.0,main_w1_handler2,2370982,9825994,False,,169429,interval,4125403.roundup,slurm,,132112168.0,corral-repl,,20288003,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20287177,,32.0,,24072127,1436495154.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2015-07-10 02:26:00.172275,65917.0,4.0
5292,bgzip,,,2014-11-30 11:46:23.143949,rodeo_normal,1417347996.0,0.0,,1.0,main_w2_handler1,1765831,8271487,False,,14260,interval,356635.rodeo,slurm,,16332532.0,corral-repl,,17715720,,"""/galaxy-repl/main/files/007/079/dataset_7079572.dat""","""Gmax_v1""",17715684,,2.0,,18381717,1417347993.0,ok,0.0,CONVERTER_interval_to_tabix_0,1.0.0,,2014-11-30 11:46:38.518362,41493.0,3.0
202329,bgzip,,,2016-05-30 15:34:35.676255,slurm_normal,1464622502.0,0.0,,1.0,main_w1_handler0,2326875,13024546,False,,1320870,interval,7206098.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50977ed29166c4a38'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a3ff9b99e8de398a'}]",32.0,,30474777,1464622498.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2016-05-30 15:35:03.606487,21918.0,4.0
103225,bgzip,,,2017-02-07 06:37:20.837431,slurm_normal,1486449470.0,0.0,,1.0,main_w3_handler1,2984769,14968200,False,,319029,interval,9125977.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 28240617}]","""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""",,"[{'src': 'hda', 'id': 28239179}]",32.0,,35855607,1486449461.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2017-02-07 06:37:57.832620,99554.0,9.0
838641,bgzip,,,2015-02-18 19:04:05.236084,rodeo_normal,1424286258.0,0.0,,1.0,main_w2_handler1,2211148,8758216,False,,2474805,interval,2816809.roundup,slurm,,132112168.0,corral-repl,,18560705,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18560516,,32.0,,21208167,1424286255.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2015-02-18 19:04:21.780910,16641.0,3.0
14873278,bgzip,,,2016-09-14 13:58:06.060033,slurm_normal,1473861946.0,0.0,,1.0,main_w3_handler1,2768368,13849347,False,,128306733,interval,8072379.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58f878b62d8f1bb0a'}]","""/galaxy-repl/localdata/chrom/ce6.len""","""ce6""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b548376e8253eadcc0'}]",32.0,,32951533,1473861940.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2016-09-14 14:05:50.619427,86868.0,6.0
109236,bgzip,,,2016-07-13 18:49:50.532232,slurm_normal,1468435825.0,0.0,,1.0,main_w1_handler1,2699528,13398880,False,,333590,interval,7610837.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e1b43d26ca90430e'}]","""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d8250d473f676c7d'}]",32.0,,30828891,1468435821.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2016-07-13 18:50:27.893739,46626.0,4.0
32132,bgzip,,,2017-12-02 01:22:36.082800,slurm_normal,1512177776.0,0.0,,1.0,main_w4_handler0,3349679,17671580,False,,276864,interval,11731993,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 32687052}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 32365442}]",32.0,,42053239,1512177772.0,ok,1023996.0,CONVERTER_interval_to_tabix_0,1.0.0,,2017-12-02 01:22:57.533780,115967.0,4.0
