chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.termini,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-02-06 11:39:38.468544,rodeo_normal,1423222827.0,0.0,,1.0,main_w1_handler0,1751475,8675732,False,,83143858,fasta,2666077.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18422723,,"""yes""",32.0,,20931680.0,1423222800.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepstats71/5.0.0,5.0.0,,2015-02-06 11:40:29.097230,43455.0,27.0
,,2015-02-08 00:51:31.499470,rodeo_normal,1423356719.0,0.0,,1.0,main_w2_handler1,1751475,8681897,False,,3909098,fasta,2677687.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18442962,,"""yes""",32.0,,20931680.0,1423356716.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepstats71/5.0.0,5.0.0,,2015-02-08 00:52:01.140681,43455.0,3.0
,,2015-02-08 02:07:46.906289,rodeo_normal,1423361305.0,0.0,,1.0,main_w1_handler0,1751475,8681996,False,,12899820,fasta,2677909.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18443138,,"""yes""",32.0,,20931680.0,1423361289.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepstats71/5.0.0,5.0.0,,2015-02-08 02:08:26.780267,43455.0,16.0
,,2015-02-08 15:01:03.472894,rodeo_normal,1423407728.0,0.0,,1.0,main_w1_handler1,1751475,8682947,False,,138578329,fasta,2679953.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18444565,,"""yes""",32.0,,20931680.0,1423407683.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepstats71/5.0.0,5.0.0,,2015-02-08 15:02:09.468020,43455.0,45.0
,,2015-02-15 20:20:37.152234,rodeo_normal,1424031666.0,0.0,,1.0,main_w1_handler0,2207204,8730358,False,,190066,fasta,2767635.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18518953,,"""yes""",32.0,,21266491.0,1424031661.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepstats71/5.0.0,5.0.0,,2015-02-15 20:21:08.649532,,5.0
,,2015-02-19 18:52:18.183576,rodeo_normal,1424371953.0,0.0,,1.0,main_w1_handler0,966682,8769799,False,,221492,fasta,2837558.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18577420,,"""yes""",32.0,,21343380.0,1424371950.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepstats71/5.0.0,5.0.0,,2015-02-19 18:52:34.544241,5941.0,3.0
,,2015-03-13 17:12:51.001674,rodeo_normal,1426266786.0,0.0,,1.0,main_w1_handler1,2236816,8944155,False,,284704,fasta,3159252.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18851523,,"""yes""",32.0,,21782911.0,1426266782.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepstats71/5.0.0,5.0.0,,2015-03-13 17:13:07.549087,60870.0,4.0
,,2017-02-23 16:47:27.438431,slurm_normal,1487868461.0,0.0,,1.0,main_w3_handler0,2185573,15120452,False,,15437672,fasta,9274611.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",,"[{'src': 'hda', 'id': 28482506}]","""yes""",32.0,,36169130.0,1487868451.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepstats71/5.0.0,5.0.0,,2017-02-23 16:47:43.337213,28313.0,10.0
,,2017-04-29 15:05:59.171517,slurm_normal,1493478368.0,0.0,,1.0,main_w3_handler1,2633460,15707272,False,,604,fasta,9819594.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29406454}]","""yes""",32.0,,37653016.0,1493478364.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepstats71/5.0.0,5.0.0,,2017-04-29 15:06:10.598963,288.0,4.0
,,2017-05-08 22:54:43.531670,slurm_normal,1494284141.0,0.0,,1.0,main_w4_handler1,3061030,15785133,False,,374,fasta,9891381.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29525390}]","""yes""",32.0,,37259414.0,1494284137.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepstats71/5.0.0,5.0.0,,2017-05-08 22:56:46.731648,103884.0,4.0
,,2017-05-08 22:32:16.383007,slurm_normal,1494282763.0,0.0,,1.0,main_w4_handler1,3103158,15785010,False,,847736,fasta,9891285.roundup,slurm,,132112168.0,corral-repl,,"""2ab67eea343e11e7a3f4005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29525400}]","""yes""",32.0,,,1494282759.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepstats71/5.0.0,5.0.0,,2017-05-08 22:32:45.858827,105500.0,4.0
,,2017-05-08 22:49:15.886627,slurm_normal,1494283766.0,0.0,,1.0,main_w4_handler1,3061030,15785092,False,,1804,fasta,9891354.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29525392}]","""yes""",32.0,,37259414.0,1494283761.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepstats71/5.0.0,5.0.0,,2017-05-08 22:49:28.840720,103884.0,5.0
,,2017-05-08 22:54:43.088649,slurm_normal,1494284094.0,0.0,,1.0,main_w3_handler1,3061030,15785132,False,,586,fasta,9891376.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29525173}]","""yes""",32.0,,37259414.0,1494284088.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepstats71/5.0.0,5.0.0,,2017-05-08 22:54:57.194320,103884.0,6.0
,,2017-05-12 18:42:23.112175,slurm_normal,1494614571.0,0.0,,1.0,main_w3_handler1,3061030,15826372,False,,838,fasta,9928682.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29582925}]","""yes""",32.0,,37259414.0,1494614568.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepstats71/5.0.0,5.0.0,,2017-05-12 18:42:54.756098,103884.0,3.0
,,2017-05-12 18:42:25.503461,slurm_normal,1494614617.0,0.0,,1.0,main_w4_handler1,3061030,15826379,False,,3134,fasta,9928708.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29582932}]","""yes""",32.0,,37259414.0,1494614613.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepstats71/5.0.0,5.0.0,,2017-05-12 18:43:42.505230,103884.0,4.0
,,2017-05-12 18:42:36.485588,slurm_normal,1494614665.0,0.0,,1.0,main_w3_handler1,3061030,15826405,False,,1150,fasta,9928727.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29582962}]","""yes""",32.0,,37259414.0,1494614661.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepstats71/5.0.0,5.0.0,,2017-05-12 18:44:27.856284,103884.0,4.0
,,2017-05-12 20:00:49.622757,slurm_normal,1494619270.0,0.0,,1.0,main_w4_handler0,3061030,15827033,False,,620,fasta,9929307.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29584009}]","""yes""",32.0,,37259414.0,1494619267.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pepstats71/5.0.0,5.0.0,,2017-05-12 20:01:12.325186,103884.0,3.0
