create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input2,parameters.input2.values,parameters.out_format1,parameters.pos,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-10-01 02:26:05.502448,slurm_normal,1443666404.0,0.0,1.0,main_w2_handler1,2457152,10476684,False,,218,fasta,31,fasta,4753225.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21353682,,21353666,,"""fasta""","""0""",32.0,,24949577,1443666400.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pasteseq66/5.0.0,5.0.0,,2015-10-01 02:26:46.558328,17910.0,4.0
2015-10-01 02:29:31.829082,slurm_normal,1443666620.0,0.0,1.0,main_w1_handler0,2457152,10476688,False,,1853137,fasta,17,fasta,4753245.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21353074,,21353561,,"""fasta""","""9""",32.0,,24949577,1443666592.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pasteseq66/5.0.0,5.0.0,,2015-10-01 02:30:23.958529,17910.0,28.0
2015-10-01 03:35:15.234382,slurm_normal,1443670551.0,0.0,1.0,main_w2_handler1,2457152,10477076,False,,17,fasta,1853137,fasta,4753706.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21353561,,21353074,,"""fasta""","""0""",32.0,,24949577,1443670543.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pasteseq66/5.0.0,5.0.0,,2015-10-01 03:35:53.631697,17910.0,8.0
2015-10-01 03:31:13.504700,slurm_normal,1443670297.0,0.0,1.0,main_w1_handler1,2457152,10477060,False,,1853137,fasta,31,fasta,4753661.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21353074,,21353666,,"""fasta""","""0""",32.0,,24949577,1443670293.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pasteseq66/5.0.0,5.0.0,,2015-10-01 03:31:38.372203,17910.0,4.0
2015-10-01 04:15:55.029426,slurm_normal,1443672977.0,0.0,1.0,main_w1_handler0,2457152,10477275,False,,1853137,fasta,31,fasta,4753920.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21353074,,21353666,,"""fasta""","""0""",32.0,,24949577,1443672972.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pasteseq66/5.0.0,5.0.0,,2015-10-01 04:16:20.535323,17910.0,5.0
2016-02-12 02:29:15.990031,slurm_normal,1455244199.0,0.0,1.0,main_w1_handler1,2597288,11797254,False,,875,fasta,605,fasta,6051972.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23306536,,23306542,,"""fasta""","""0""",32.0,,27453530,1455244195.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pasteseq66/5.0.0,5.0.0,,2016-02-12 02:30:04.677477,76800.0,4.0
2017-03-28 09:26:41.109938,slurm_normal,1490693241.0,0.0,1.0,main_w3_handler1,3026619,15413225,False,,973,fasta,973,fasta,9543479.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28950820}]",,"[{'src': 'hda', 'id': 28950820}]","""fasta""","""21""",32.0,,36551572,1490693237.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pasteseq66/5.0.0,5.0.0,,2017-03-28 09:27:35.678474,17859.0,4.0
2017-03-29 10:01:39.571810,slurm_normal,1490781707.0,0.0,1.0,main_w3_handler0,3026619,15422533,False,,2849800,fasta,28498,fasta,9554517.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 28965997}]",,"[{'src': 'hda', 'id': 28965874}]","""fasta""","""0""",32.0,,36551572,1490781703.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pasteseq66/5.0.0,5.0.0,,2017-03-29 10:01:48.938405,17859.0,4.0
2015-01-06 04:40:32.410384,rodeo_normal,1420519249.0,0.0,1.0,main_w1_handler1,2102877,8502854,False,,129,fasta,177,fasta,2420521.roundup,slurm,,132112068.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18136907,,18136905,,"""fasta""","""0""",32.0,,18046126,1420519245.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pasteseq66/5.0.0,5.0.0,,2015-01-06 04:40:50.196976,,4.0
2015-01-06 04:41:29.317510,rodeo_normal,1420519317.0,0.0,1.0,main_w1_handler0,2102877,8502855,False,,177,fasta,129,fasta,2420523.roundup,slurm,,132112068.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18136905,,18136907,,"""fasta""","""0""",32.0,,18046126,1420519313.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pasteseq66/5.0.0,5.0.0,,2015-01-06 04:42:00.063912,,4.0
2017-08-22 22:25:57.656353,slurm_normal,1503440771.0,0.0,1.0,main_w4_handler0,3202293,16636336,False,,33655,fasta,33655,fasta,10708732.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30951878}]",,"[{'src': 'hda', 'id': 30951878}]","""fasta""","""5""",32.0,,39497986,1503440768.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: pasteseq66/5.0.0,5.0.0,,2017-08-22 22:26:12.795684,,3.0
