chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.coverage_max,parameters.coverage_min,parameters.coverage_step,parameters.dbkey,parameters.filter_by_flags.__current_case__,parameters.filter_by_flags.exclude_flags,parameters.filter_by_flags.filter_flags,parameters.filter_by_flags.require_flags,parameters.gc_depth,parameters.input_file.values,parameters.input_file|__identifier__,parameters.insert_size,parameters.most_inserts,parameters.read_length,parameters.remove_dups,parameters.split_output.__current_case__,parameters.split_output.generate_tables,parameters.split_output.split_output_selector,parameters.trim_quality,parameters.use_reference.__current_case__,parameters.use_reference.reference_source.__current_case__,parameters.use_reference.reference_source.ref_file,parameters.use_reference.reference_source.ref_file.values,parameters.use_reference.reference_source.reference_source_selector,parameters.use_reference.use_ref_selector,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,use_reference|ref_file,use_reference|ref_file_filetype,user_id,runtime
,,2017-06-06 19:32:49.671478,slurm_normal,1496778531.0,0,,1.0,main_w4_handler1,3124168,16030691,False,,26082057,bam,10121840.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1000""","""1""","""1""","""hg19""",1.0,,nofilter,,"""20000.0""","[{'src': 'hda', 'id': 29917575}]",,"""8000""","""0.99""","""""","""false""",0,,no,"""0""",1,,,,,no,32.0,,38146701.0,1496778521.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.1,2.0.1,,2017-06-06 19:48:58.179259,,,106423.0,10.0
,,2017-06-06 17:16:51.926826,slurm_normal,1496769974.0,0,,1.0,main_w4_handler1,3124168,16029206,False,,23879850,bam,10120198.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1000""","""1""","""1""","""hg19""",1.0,,nofilter,,"""20000.0""","[{'src': 'hda', 'id': 29912837}]",,"""8000""","""0.99""","""""","""true""",0,,no,"""0""",1,,,,,no,32.0,,38146701.0,1496769967.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.1,2.0.1,,2017-06-06 17:26:18.406216,,,106423.0,7.0
,,2017-06-06 17:16:52.720832,slurm_normal,1496769980.0,0,,1.0,main_w4_handler1,3124168,16029208,False,,47381936,bam,10120199.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1000""","""1""","""1""","""hg19""",1.0,,nofilter,,"""20000.0""","[{'src': 'hda', 'id': 29912839}]",,"""8000""","""0.99""","""""","""true""",0,,no,"""0""",1,,,,,no,32.0,,38146701.0,1496769973.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.1,2.0.1,,2017-06-06 17:26:29.178994,,,106423.0,7.0
,,2017-06-06 17:16:52.350349,slurm_normal,1496769983.0,0,,1.0,main_w4_handler0,3124168,16029207,False,,76774631,bam,10120200.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1000""","""1""","""1""","""hg19""",1.0,,nofilter,,"""20000.0""","[{'src': 'hda', 'id': 29912838}]",,"""8000""","""0.99""","""""","""true""",0,,no,"""0""",1,,,,,no,32.0,,38146701.0,1496769974.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.1,2.0.1,,2017-06-06 17:26:30.704508,,,106423.0,9.0
,,2017-06-06 17:16:53.664284,slurm_normal,1496770448.0,0,,1.0,main_w3_handler0,3124168,16029212,False,,140790709,bam,10120264.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1000""","""1""","""1""","""hg19""",1.0,,nofilter,,"""20000.0""","[{'src': 'hda', 'id': 29912842}]",,"""8000""","""0.99""","""""","""true""",0,,no,"""0""",1,,,,,no,32.0,,38146701.0,1496770436.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.1,2.0.1,,2017-06-06 17:34:15.913665,,,106423.0,12.0
,,2017-06-06 17:16:53.037745,slurm_normal,1496770443.0,0,,1.0,main_w3_handler0,3124168,16029210,False,,45126415,bam,10120263.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1000""","""1""","""1""","""hg19""",1.0,,nofilter,,"""20000.0""","[{'src': 'hda', 'id': 29912840}]",,"""8000""","""0.99""","""""","""true""",0,,no,"""0""",1,,,,,no,32.0,,38146701.0,1496770436.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.1,2.0.1,,2017-06-06 17:34:14.888174,,,106423.0,7.0
,,2017-06-06 17:16:53.381259,slurm_normal,1496770445.0,0,,1.0,main_w3_handler1,3124168,16029211,False,,26073602,bam,10120265.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1000""","""1""","""1""","""hg19""",1.0,,nofilter,,"""20000.0""","[{'src': 'hda', 'id': 29912841}]",,"""8000""","""0.99""","""""","""true""",0,,no,"""0""",1,,,,,no,32.0,,38146701.0,1496770439.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.1,2.0.1,,2017-06-06 17:34:15.319607,,,106423.0,6.0
,,2017-06-06 17:44:22.945289,slurm_normal,1496772521.0,0,,1.0,main_w4_handler0,3124168,16029442,False,,135645802,bam,10120530.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/phiX.len""","""1000""","""1""","""1""","""phiX""",1.0,,nofilter,,"""20000.0""","[{'src': 'hda', 'id': 29914687}]",,"""8000""","""0.99""","""""","""false""",0,,no,"""0""",1,,,,,no,32.0,,38146701.0,1496772492.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.1,2.0.1,,2017-06-06 18:08:49.720762,,,106423.0,29.0
,,2017-07-12 17:16:28.976597,slurm_normal,1499879811.0,0,,1.0,main_w3_handler1,3190575,16322918,False,,13015933,bam,10389232.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1000""","""1""","""1""","""hg19""",1.0,,nofilter,,"""20000.0""","[{'src': 'hda', 'id': 30459628}]",,"""8000""","""0.99""","""""","""true""",0,,no,"""0""",0,0.0,hg19,,cached,yes,32.0,,39270817.0,1499879805.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.1,2.0.1,,2017-07-12 17:16:53.172299,,,40954.0,6.0
,,2017-07-12 17:16:28.490510,slurm_normal,1499879810.0,0,,1.0,main_w4_handler0,3190575,16322917,False,,9921796,bam,10389231.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1000""","""1""","""1""","""hg19""",1.0,,nofilter,,"""20000.0""","[{'src': 'hda', 'id': 30459627}]",,"""8000""","""0.99""","""""","""true""",0,,no,"""0""",0,0.0,hg19,,cached,yes,32.0,,39270817.0,1499879804.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.1,2.0.1,,2017-07-12 17:16:53.502273,,,40954.0,6.0
,,2017-07-12 17:16:27.898451,slurm_normal,1499879815.0,0,,1.0,main_w3_handler0,3190575,16322916,False,,10000228,bam,10389234.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1000""","""1""","""1""","""hg19""",1.0,,nofilter,,"""20000.0""","[{'src': 'hda', 'id': 30459626}]",,"""8000""","""0.99""","""""","""true""",0,,no,"""0""",0,0.0,hg19,,cached,yes,32.0,,39270817.0,1499879807.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.1,2.0.1,,2017-07-12 17:16:59.321951,,,40954.0,8.0
,,2017-06-06 18:53:42.127316,slurm_normal,1496775681.0,0,,1.0,main_w3_handler1,3124168,16030308,False,,675418421,sam,10121308.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1000""","""1""","""1""","""hg19""",1.0,,nofilter,,"""20000.0""","[{'src': 'hda', 'id': 29916694}]",,"""8000""","""0.99""","""""","""false""",0,,no,"""0""",1,,,,,no,32.0,,38146701.0,1496775661.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.1,2.0.1,,2017-06-06 19:01:29.619719,,,106423.0,20.0
,,2017-06-06 18:53:39.786144,slurm_normal,1496775424.0,0,,1.0,main_w3_handler0,3124168,16030304,False,,317411709,sam,10121247.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1000""","""1""","""1""","""hg19""",1.0,,nofilter,,"""20000.0""","[{'src': 'hda', 'id': 29916599}]",,"""8000""","""0.99""","""""","""false""",0,,no,"""0""",1,,,,,no,32.0,,38146701.0,1496775414.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.1,2.0.1,,2017-06-06 18:57:07.882529,,,106423.0,10.0
,,2017-06-06 18:53:39.134181,slurm_normal,1496775659.0,0,,1.0,main_w3_handler1,3124168,16030302,False,,94166173,sam,10121305.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1000""","""1""","""1""","""hg19""",1.0,,nofilter,,"""20000.0""","[{'src': 'hda', 'id': 29916534}]",,"""8000""","""0.99""","""""","""false""",0,,no,"""0""",1,,,,,no,32.0,,38146701.0,1496775649.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.1,2.0.1,,2017-06-06 19:01:01.888935,,,106423.0,10.0
,,2017-06-06 18:53:40.417738,slurm_normal,1496775501.0,0,,1.0,main_w4_handler1,3124168,16030305,False,,205609052,sam,10121270.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1000""","""1""","""1""","""hg19""",1.0,,nofilter,,"""20000.0""","[{'src': 'hda', 'id': 29916600}]",,"""8000""","""0.99""","""""","""false""",0,,no,"""0""",1,,,,,no,32.0,,38146701.0,1496775492.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.1,2.0.1,,2017-06-06 18:58:28.061524,,,106423.0,9.0
,,2017-06-06 18:53:41.554710,slurm_normal,1496775520.0,0,,1.0,main_w4_handler0,3124168,16030307,False,,107904569,sam,10121277.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1000""","""1""","""1""","""hg19""",1.0,,nofilter,,"""20000.0""","[{'src': 'hda', 'id': 29916605}]",,"""8000""","""0.99""","""""","""false""",0,,no,"""0""",1,,,,,no,32.0,,38146701.0,1496775505.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.1,2.0.1,,2017-06-06 18:58:45.117427,,,106423.0,15.0
,,2017-06-06 18:53:40.945041,slurm_normal,1496775656.0,0,,1.0,main_w4_handler1,3124168,16030306,False,,188534743,sam,10121304.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1000""","""1""","""1""","""hg19""",1.0,,nofilter,,"""20000.0""","[{'src': 'hda', 'id': 29916601}]",,"""8000""","""0.99""","""""","""false""",0,,no,"""0""",1,,,,,no,32.0,,38146701.0,1496775648.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.1,2.0.1,,2017-06-06 19:01:02.894335,,,106423.0,8.0
,,2017-06-06 19:32:48.859929,slurm_normal,1496778396.0,0,,1.0,main_w3_handler1,3124168,16030689,False,,47396653,bam,10121808.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1000""","""1""","""1""","""hg19""",1.0,,nofilter,,"""20000.0""","[{'src': 'hda', 'id': 29917573}]",,"""8000""","""0.99""","""""","""false""",0,,no,"""0""",1,,,,,no,32.0,,38146701.0,1496778389.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.1,2.0.1,,2017-06-06 19:46:39.178173,,,106423.0,7.0
,,2017-06-06 19:23:51.547212,slurm_normal,1496778201.0,0,,1.0,main_w3_handler1,3124168,16030587,False,,26082057,bam,10121762.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1000""","""1""","""1""","""hg19""",1.0,,nofilter,,"""20000.0""","[{'src': 'hda', 'id': 29917379}]",,"""8000""","""0.99""","""""","""false""",0,,no,"""0""",1,,,,,no,32.0,,38146701.0,1496778195.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.1,2.0.1,,2017-06-06 19:43:27.130419,,,106423.0,6.0
,,2017-06-06 19:32:48.335983,slurm_normal,1496778406.0,0,,1.0,main_w3_handler0,3124168,16030688,False,,76808066,bam,10121810.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1000""","""1""","""1""","""hg19""",1.0,,nofilter,,"""20000.0""","[{'src': 'hda', 'id': 29917572}]",,"""8000""","""0.99""","""""","""false""",0,,no,"""0""",1,,,,,no,32.0,,38146701.0,1496778396.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.1,2.0.1,,2017-06-06 19:46:50.829030,,,106423.0,10.0
,,2017-06-06 19:32:49.314943,slurm_normal,1496778532.0,0,,1.0,main_w3_handler1,3124168,16030690,False,,45137526,bam,10121841.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1000""","""1""","""1""","""hg19""",1.0,,nofilter,,"""20000.0""","[{'src': 'hda', 'id': 29917574}]",,"""8000""","""0.99""","""""","""false""",0,,no,"""0""",1,,,,,no,32.0,,38146701.0,1496778522.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.1,2.0.1,,2017-06-06 19:48:54.981231,,,106423.0,10.0
,,2017-06-07 01:12:00.344508,slurm_normal,1496799475.0,0,,1.0,main_w3_handler1,3124168,16034481,False,,234178936,bam,10125195.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1000""","""1""","""1""","""hg19""",1.0,,nofilter,,"""20000.0""","[{'src': 'hda', 'id': 29923725}]",,"""8000""","""0.99""","""""","""false""",0,,no,"""0""",1,,,,,no,32.0,,38489989.0,1496799447.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.1,2.0.1,,2017-06-07 01:37:56.427939,,,106423.0,28.0
,,2017-06-26 22:30:44.144551,slurm_normal,1498529961.0,0,,1.0,main_w3_handler0,3172549,16193405,False,,14195631805,bam,10270651.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""1000""","""1""","""1""","""?""",1.0,,nofilter,,"""20000.0""","[{'src': 'hda', 'id': 30168976}]",,"""8000""","""0.99""","""""","""false""",0,,no,"""0""",1,,,,,no,32.0,,38927370.0,1498528674.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.1,2.0.1,,2017-06-27 02:19:23.903758,,,76859.0,1287.0
,,2017-06-07 11:59:01.802791,slurm_normal,1496836805.0,0,,1.0,main_w4_handler0,3047232,16039578,False,,589748111,bam,10129735.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""1000""","""1""","""1""","""?""",1.0,,nofilter,,"""20000.0""","[{'src': 'hda', 'id': 29929642}]",,"""8000""","""0.99""","""""","""false""",0,,no,"""0""",1,,,,,no,32.0,,38396229.0,1496836760.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.1,2.0.1,,2017-06-07 12:00:08.758386,,,75878.0,45.0
,,2017-06-09 09:37:16.447255,slurm_normal,1497001064.0,0,,1.0,main_w4_handler0,3144366,16062585,False,,35165019,bam,10151497.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""1000""","""1""","""1""","""?""",1.0,,nofilter,,"""20000.0""","[{'src': 'hda', 'id': 29965744}]",,"""8000""","""0.99""","""250""","""false""",0,,no,"""0""",1,,,,,no,32.0,,38542911.0,1497001057.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.1,2.0.1,,2017-06-09 09:37:46.417002,,,107292.0,7.0
,,2017-06-07 19:23:35.350024,slurm_normal,1496863439.0,0,,1.0,main_w4_handler1,2879731,16044183,False,,18475678,bam,10134206.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""1000""","""1""","""1""","""?""",1.0,,nofilter,,"""20000.0""","[{'src': 'hda', 'id': 29938201}]",,"""8000""","""0.99""","""""","""false""",0,,no,"""0""",1,,,,,no,32.0,,38109121.0,1496863432.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_stats/samtools_stats/2.0.1,2.0.1,,2017-06-07 19:24:02.848825,,,93790.0,7.0
