chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.QUAL_FORMAT,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.input|__identifier__,parameters.offset,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-10-07 13:25:41.347700,slurm_normal,1475846919.0,0,,1.0,main_w4_handler1,2829367,14028841,False,,1526762486,fastq,8246591.roundup,slurm,,132112168.0,corral-repl,,"""-a""",,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c48158e215a34d0a'}]",,"""33""",32.0,,33101417,1475846790.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_quality_converter/cshl_fastq_quality_converter/1.0.0,1.0.0,,2016-10-07 13:28:41.211759,90796.0,129.0
,,2016-10-10 20:41:48.715386,slurm_normal,1476132415.0,0,,1.0,main_w4_handler0,2846869,14048342,False,,5378884140,fastqsanger,8266055.roundup,slurm,,132112168.0,corral-repl,,"""-a""",,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50f8a6d86e54ac4f8'}]",,"""33""",32.0,,32942280,1476132142.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_quality_converter/cshl_fastq_quality_converter/1.0.0,1.0.0,,2016-10-10 20:46:58.292640,89408.0,273.0
,,2016-10-08 06:19:11.559594,slurm_normal,1475907602.0,0,,1.0,main_w3_handler1,2846654,14034640,False,,13460128,fastqsanger,8252248.roundup,slurm,,132112168.0,corral-repl,,"""-a""",,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5199b2fbd432ce9a3'}]",,"""64""",32.0,,33526136,1475907596.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_quality_converter/cshl_fastq_quality_converter/1.0.0,1.0.0,,2016-10-08 06:20:03.963633,,6.0
,,2016-10-08 23:07:53.194578,slurm_normal,1475968106.0,0,,1.0,main_w3_handler0,2847180,14037385,False,,4195044,fastq,8254820.roundup,slurm,,132112168.0,corral-repl,,"""-a""",,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bc458c2ba712fef9'}]",,"""64""",32.0,,33534696,1475968101.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_quality_converter/cshl_fastq_quality_converter/1.0.0,1.0.0,,2016-10-08 23:08:27.676444,91823.0,5.0
,,2016-11-07 16:58:42.018464,slurm_normal,1478539394.0,0,,1.0,main_w4_handler1,2877293,14276320,False,,225741,fastqsanger,8484549.roundup,slurm,,132112168.0,corral-repl,,"""-n""",,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5722869a6ceb1f981'}]",,"""33""",32.0,,34028879,1478539388.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_quality_converter/cshl_fastq_quality_converter/1.0.0,1.0.0,,2016-11-07 17:23:17.849059,93578.0,6.0
,,2017-05-30 11:07:33.979321,slurm_normal,1496142905.0,0,,1.0,main_w4_handler0,2809517,15967252,False,,5499385100,fastq,10064074.roundup,slurm,,132112168.0,corral-repl,,"""-a""",,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29814746}]",,"""33""",32.0,,38281376,1496142467.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_quality_converter/cshl_fastq_quality_converter/1.0.0,1.0.0,,2017-05-30 11:15:08.164656,60856.0,438.0
,,2017-05-30 11:08:18.507439,slurm_normal,1496143090.0,0,,1.0,main_w4_handler1,2809517,15967255,False,,5499385100,fastq,10064077.roundup,slurm,,132112168.0,corral-repl,,"""-n""",,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29814746}]",,"""33""",32.0,,38281376,1496142511.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_quality_converter/cshl_fastq_quality_converter/1.0.0,1.0.0,,2017-05-30 11:18:12.067376,60856.0,579.0
,,2016-11-13 09:13:00.128814,slurm_normal,1479028390.0,0,,1.0,main_w3_handler1,2892220,14328174,False,,225741,fastqsanger,8535439.roundup,slurm,,132112168.0,corral-repl,,"""-n""",,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c1fd6a28b7a8b068'}]",,"""33""",32.0,,34226682,1479028385.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_quality_converter/cshl_fastq_quality_converter/1.0.0,1.0.0,,2016-11-13 09:13:12.839251,94709.0,5.0
,,2016-11-14 05:08:24.805636,slurm_normal,1479100114.0,0,,1.0,main_w4_handler0,2892218,14332732,False,,225741,fastq,8539183.roundup,slurm,,132112168.0,corral-repl,,"""-n""",,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58534c9c1ae4fbc91'}]",,"""33""",32.0,,34238203,1479100109.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_quality_converter/cshl_fastq_quality_converter/1.0.0,1.0.0,,2016-11-14 05:08:35.760569,94708.0,5.0
,,2016-11-14 03:14:22.135062,slurm_normal,1479093276.0,0,,1.0,main_w3_handler0,2892034,14332487,False,,225741,fastqsanger,8538975.roundup,slurm,,132112168.0,corral-repl,,"""-a""",,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e17e9b0087c37bf1'}]",,"""33""",32.0,,34236325,1479093267.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_quality_converter/cshl_fastq_quality_converter/1.0.0,1.0.0,,2016-11-14 03:14:37.621832,94700.0,9.0
