chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,in_sam,in_sam_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.in_sam,parameters.in_sam.values,parameters.m,parameters.n,parameters.saveDiscarded,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-11-20 18:53:15.509685,slurm_normal,1511217099.0,0,,1.0,main_w4_handler0,3332345,17523183,False,60744395,sam,,11585707,slurm,,132112168.0,corral-repl,,"""08263afcce2411e7b891005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32429579}]","""5""","""15""","""false""",32.0,,,1511217087.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2017-11-20 22:31:40.503951,73233.0,12.0
,,2017-11-20 18:53:15.817298,slurm_normal,1511217155.0,0,,1.0,main_w4_handler1,3332345,17523184,False,230096332,sam,,11585737,slurm,,132112168.0,corral-repl,,"""08263afcce2411e7b891005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32429581}]","""5""","""15""","""false""",32.0,,,1511217116.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2017-11-20 22:32:37.208760,73233.0,39.0
,,2017-11-20 23:04:31.171964,slurm_normal,1511243106.0,0,,1.0,main_w3_handler1,3333034,17527409,False,228359082,sam,,11589953,slurm,,132112168.0,corral-repl,,"""1f732030ce4711e786b6005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32436041}]","""5""","""15""","""false""",32.0,,,1511243089.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2017-11-21 05:45:06.898377,73233.0,17.0
,,2017-11-20 23:07:17.128877,slurm_normal,1511247565.0,0,,1.0,main_w3_handler1,3333029,17527506,False,66602743,sam,,11590586,slurm,,132112168.0,corral-repl,,"""7fddb818ce4711e7af72005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32436177}]","""5""","""15""","""false""",32.0,,,1511247558.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2017-11-21 06:59:29.452483,73233.0,7.0
,,2017-11-20 23:05:47.183709,slurm_normal,1511232912.0,0,,1.0,main_w3_handler1,3333028,17527457,False,54839521,sam,,11588767,slurm,,132112168.0,corral-repl,,"""4c312ee6ce4711e79de8005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32436101}]","""5""","""15""","""false""",32.0,,,1511232904.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2017-11-21 02:55:17.442137,73233.0,8.0
,,2017-11-20 23:05:47.582920,slurm_normal,1511232929.0,0,,1.0,main_w3_handler0,3333028,17527458,False,206758247,sam,,11588771,slurm,,132112168.0,corral-repl,,"""4c312ee6ce4711e79de8005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32436102}]","""5""","""15""","""false""",32.0,,,1511232912.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2017-11-21 02:55:33.516647,73233.0,17.0
,,2017-11-20 23:04:30.819091,slurm_normal,1511243093.0,0,,1.0,main_w3_handler1,3333034,17527408,False,60374591,sam,,11589952,slurm,,132112168.0,corral-repl,,"""1f732030ce4711e786b6005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32436040}]","""5""","""15""","""false""",32.0,,,1511243085.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2017-11-21 05:44:54.403325,73233.0,8.0
,,2017-11-20 23:08:39.444860,slurm_normal,1511243937.0,0,,1.0,main_w4_handler0,3333030,17527551,False,230043556,sam,,11590109,slurm,,132112168.0,corral-repl,,"""b5ff448ece4711e783dc005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32436233}]","""5""","""15""","""false""",32.0,,,1511243921.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2017-11-21 05:58:58.984843,73233.0,16.0
,,2017-11-20 23:08:39.055522,slurm_normal,1511243839.0,0,,1.0,main_w4_handler1,3333030,17527550,False,59888511,sam,,11590077,slurm,,132112168.0,corral-repl,,"""b5ff448ece4711e783dc005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32436231}]","""5""","""15""","""false""",32.0,,,1511243829.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2017-11-21 05:57:20.789433,73233.0,10.0
,,2017-11-20 23:07:17.914789,slurm_normal,1511247643.0,0,,1.0,main_w4_handler1,3333029,17527507,False,250807532,sam,,11590599,slurm,,132112168.0,corral-repl,,"""7fddb818ce4711e7af72005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32436178}]","""5""","""15""","""false""",32.0,,,1511247624.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/boris/filter_on_md/MDtag_filter/1.0.2,1.0.2,,2017-11-21 07:00:44.849486,73233.0,19.0
