chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.aligned_reads_only,parameters.assume_sorted,parameters.chromInfo,parameters.dbkey,parameters.include_no_calls,parameters.inputFile,parameters.pf_reads_only,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.reference_source_selector,parameters.validation_stringency,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-05-04 16:13:28.861554,slurm_normal_16gb,1430756242.0,0,1.0,main_w2_handler1,2293010,9389056,False,,1259699893,bam,3721975.roundup,slurm,,132112168.0,corral-repl,,,"""True""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""",19562806,"""True""",1,19562332,history,"""LENIENT""",32.0,494371808.0,fasta,,22579547,1430756027.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.126.0,1.126.0,,2015-05-04 16:17:28.284266,57539.0,215.0
,,2015-06-19 01:39:55.507137,slurm_normal_16gb,1434678049.0,0,1.0,main_w1_handler2,2146214,9689062,False,,605205679,bam,3998215.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/synePCC6.len""","""synePCC6""","""False""",18740050,"""False""",1,18627414,history,"""LENIENT""",32.0,3996720.0,fasta,,22511469,1434678018.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.126.0,1.126.0,,2015-06-19 01:40:50.745507,57365.0,31.0
,,2015-03-21 20:19:49.237255,slurm_normal_single_16gb,1426969308.0,0,1.0,main_w2_handler0,2244705,9003729,False,,401864286,bam,3270578.roundup,slurm,,132112168.0,corral-repl,,,"""True""","""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""",18944530,"""True""",0,hg19,cached,"""LENIENT""",32.0,,,,21906606,1426969199.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.126.0,1.126.0,,2015-03-21 20:21:50.209927,60860.0,109.0
,,2015-03-21 20:35:17.692982,slurm_normal_single_16gb,1426970224.0,0,1.0,main_w1_handler1,2244705,9003781,False,,538964088,bam,3270683.roundup,slurm,,132112168.0,corral-repl,,,"""True""","""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""",18944458,"""True""",0,hg19,cached,"""LENIENT""",32.0,,,,21906606,1426970130.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.126.0,1.126.0,,2015-03-21 20:37:05.974162,60860.0,94.0
,,2015-03-21 20:55:03.492348,slurm_normal_single_16gb,1426971426.0,0,1.0,main_w1_handler1,2244705,9003863,False,,394888718,bam,3270821.roundup,slurm,,132112168.0,corral-repl,,,"""True""","""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""",18944681,"""True""",0,hg19,cached,"""SILENT""",32.0,,,,21906606,1426971339.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.126.0,1.126.0,,2015-03-21 20:57:07.925203,60860.0,87.0
,,2015-10-23 18:10:15.087483,slurm_normal_16gb,1445624008.0,0,1.0,main_w1_handler0,1372215,10704489,False,,5329584,bam,4967034.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""",21703909,"""False""",0,hg19,cached,"""LENIENT""",32.0,,,,25851397,1445623923.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.126.0,1.126.0,,2015-10-23 18:13:34.601576,32813.0,85.0
,,2015-10-23 18:06:05.659257,slurm_normal_16gb,1445623692.0,0,1.0,main_w1_handler0,1372215,10704428,False,,2087718,bam,4966940.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""",21703859,"""False""",0,hg19,cached,"""LENIENT""",32.0,,,,25851397,1445623592.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.126.0,1.126.0,,2015-10-23 18:08:17.144247,32813.0,100.0
,,2015-10-23 18:09:49.376196,slurm_normal_16gb,1445623900.0,0,1.0,main_w1_handler2,1372215,10704474,False,,3406110,bam,4966995.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""",21703895,"""False""",0,hg19,cached,"""LENIENT""",32.0,,,,25851397,1445623819.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.126.0,1.126.0,,2015-10-23 18:11:43.609649,32813.0,81.0
,,2015-05-05 15:16:38.096378,slurm_normal_16gb,1430839149.0,0,1.0,main_w2_handler1,2294223,9400391,False,,53760788,bam,3731312.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",19586886,"""False""",0,hg19,cached,"""LENIENT""",32.0,,,,22890441,1430839046.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.126.0,1.126.0,,2015-05-05 15:19:14.288488,62631.0,103.0
3407.0,len,2015-03-29 12:52:46.203413,slurm_normal_single_16gb,1427633639.0,0,1.0,main_w2_handler1,2244419,9076637,False,,551081279,bam,3363000.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""True""","""/galaxy-repl/main/files/010/796/dataset_10796144.dat""","""?""","""False""",19049681,"""False""",1,18962327,history,"""LENIENT""",32.0,230256682.0,fasta,,22008300,1427633584.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_QualityScoreDistribution/1.126.0,1.126.0,,2015-03-29 12:54:02.929948,46444.0,55.0
