create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.inputFile,parameters.inputFile.values,parameters.inputFile|__identifier__,parameters.validation_stringency,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-06-04 00:47:56.996630,slurm_normal,1496537293.0,0,,1.0,main_w3_handler0,3139057,16007016,False,,6284,bam,10100497.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29879497}]",,"""LENIENT""",32.0,,38423216.0,1496537289.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/2.7.1.0,2.7.1.0,,2017-06-04 00:48:15.805496,105598.0,4.0
2017-06-03 21:01:13.397233,slurm_normal,1496523699.0,0,,1.0,main_w4_handler0,3120021,16006312,False,,31907148,bam,10099882.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29878294}]",,"""LENIENT""",32.0,,38418804.0,1496523688.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/2.7.1.0,2.7.1.0,,2017-06-03 21:01:40.671333,105598.0,11.0
2017-06-05 00:53:55.428402,slurm_normal,1496624592.0,0,,1.0,main_w4_handler1,3133926,16011301,False,,2588999136,bam,10104243.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29885873}]",,"""LENIENT""",32.0,,38092460.0,1496624045.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/2.7.1.0,2.7.1.0,,2017-06-05 01:03:15.071818,105679.0,547.0
2017-06-05 06:00:03.385403,slurm_normal,1496642431.0,0,,1.0,main_w4_handler1,3140173,16012942,False,,30308353,bam,10105754.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29888709}]",,"""LENIENT""",32.0,,37946262.0,1496642415.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/2.7.1.0,2.7.1.0,,2017-06-05 06:00:32.017185,59195.0,16.0
2017-06-05 06:42:43.228727,slurm_normal,1496644989.0,0,,1.0,main_w3_handler1,3140173,16013096,False,,30308353,bam,10105896.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29888709}]",,"""LENIENT""",32.0,,37946262.0,1496644978.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/2.7.1.0,2.7.1.0,,2017-06-05 06:43:11.292581,59195.0,11.0
2017-06-05 02:50:37.192783,slurm_normal,1496631052.0,0,,1.0,main_w3_handler0,3140021,16012055,False,,33845,bam,10104953.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",,"[{'src': 'hda', 'id': 29887548}]",,"""LENIENT""",32.0,,37946262.0,1496631047.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/2.7.1.0,2.7.1.0,,2017-06-05 02:50:54.412628,59195.0,5.0
2017-06-05 02:50:36.753403,slurm_normal,1496631055.0,0,,1.0,main_w4_handler1,3140021,16012054,False,,54096,bam,10104954.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",,"[{'src': 'hda', 'id': 29887546}]",,"""LENIENT""",32.0,,37946262.0,1496631050.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/2.7.1.0,2.7.1.0,,2017-06-05 02:50:56.824548,59195.0,5.0
2017-06-05 16:02:47.326415,reserved,1496679247.0,0,,1.0,main_w4_handler0,3118559,16017255,False,,2407512724,bam,10109620.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 29741389}]",,"""LENIENT""",32.0,,38237302.0,1496678584.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/2.7.1.0,2.7.1.0,,2017-06-05 16:14:08.570054,5254.0,663.0
2017-06-05 16:02:46.907957,reserved,1496679252.0,0,,1.0,main_w3_handler1,3118559,16017254,False,,2382725945,bam,10109619.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 29693956}]",,"""LENIENT""",32.0,,38237302.0,1496678578.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/2.7.1.0,2.7.1.0,,2017-06-05 16:14:16.457749,5254.0,674.0
2017-06-05 16:02:47.640116,reserved,1496680331.0,0,,1.0,main_w4_handler1,3118559,16017256,False,,2407513801,bam,10109730.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 29895044}]",,"""LENIENT""",32.0,,38237302.0,1496679706.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/2.7.1.0,2.7.1.0,,2017-06-05 16:32:16.050314,5254.0,625.0
2017-06-07 00:53:30.797085,reserved,1496796854.0,0,,1.0,main_w3_handler0,3142889,16034212,False,,81704821,bam,10124791.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/galGal4.len""","""galGal4""",,"[{'src': 'hda', 'id': 29923057}]",,"""LENIENT""",32.0,,38237302.0,1496796827.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/2.7.1.0,2.7.1.0,,2017-06-07 00:54:17.249152,5254.0,27.0
2017-06-07 09:32:25.139655,slurm_normal,1496828583.0,0,,1.0,main_w3_handler1,3142193,16038623,False,,2605400301,bam,10128815.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 29922772}]",,"""LENIENT""",32.0,,38477853.0,1496827963.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/2.7.1.0,2.7.1.0,,2017-06-07 09:43:11.553978,107044.0,620.0
2017-06-07 09:33:09.897119,slurm_normal,1496828491.0,0,,1.0,main_w3_handler1,3142193,16038641,False,,2211793935,bam,10128829.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 29922771}]",,"""LENIENT""",32.0,,38477853.0,1496828013.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/2.7.1.0,2.7.1.0,,2017-06-07 09:41:32.266659,107044.0,478.0
2017-06-07 23:56:26.296381,slurm_normal,1496880836.0,0,,1.0,main_w3_handler0,3142517,16046573,False,,4660815957,bam,10136600.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 29932641}]",,"""LENIENT""",32.0,,38518145.0,1496879807.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/2.7.1.0,2.7.1.0,,2017-06-08 00:14:00.960941,103658.0,1029.0
2017-06-09 00:00:33.331351,slurm_normal,1496967351.0,0,,1.0,main_w3_handler1,3133926,16058921,False,,4691245559,bam,10148103.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29882893}]",,"""SILENT""",32.0,,38092460.0,1496966451.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/2.7.1.0,2.7.1.0,,2017-06-09 00:15:53.817653,105679.0,900.0
2017-06-09 00:00:33.847797,slurm_normal,1496966963.0,0,,1.0,main_w4_handler0,3133926,16058922,False,,2588999136,bam,10148102.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29885873}]",,"""SILENT""",32.0,,38092460.0,1496966448.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/2.7.1.0,2.7.1.0,,2017-06-09 00:09:25.458251,105679.0,515.0
2017-06-07 23:56:25.905279,slurm_normal,1496983315.0,0,,1.0,main_w4_handler0,3142517,16046571,False,,5069194701,bam,10149208.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 29932637}]",,"""LENIENT""",32.0,,38518145.0,1496982280.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/2.7.1.0,2.7.1.0,,2017-06-09 04:41:59.018642,103658.0,1035.0
2017-06-10 00:40:33.256706,slurm_normal,1497055267.0,0,,1.0,main_w4_handler0,3147543,16069241,False,,34274170,bam,10157877.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29977111}]",,"""LENIENT""",32.0,,38433208.0,1497055256.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CleanSam/2.7.1.0,2.7.1.0,,2017-06-10 00:41:10.202250,106705.0,11.0
