create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.addition.__current_case__,parameters.addition.addition_select,parameters.addition.l,parameters.addition.r,parameters.addition.w,parameters.bed,parameters.chromInfo,parameters.dbkey,parameters.header,parameters.inputA.values,parameters.inputB.values,parameters.nooverlaps,parameters.number,parameters.original,parameters.strandB,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-07-20 14:20:05.123823,slurm_normal,1469024623.0,0,1.0,main_w2_handler0,2771069,13452556,False,,47817,bed,5229096,bed,7666479.roundup,slurm,,132112168.0,corral-repl,,"""064232ba4e8511e6805c005056a51846""",0,window,,,1000,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ad891ddecd594d42'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f98b8cc8ab7b534e'}]","""false""","""false""","""false""","""""",32.0,,31090361.0,1469024620.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-20 14:23:46.637782,77870.0,3.0
2016-07-20 14:20:12.065295,slurm_normal,1469024654.0,0,1.0,main_w2_handler1,2771069,13452566,False,,47817,bed,5229096,bed,7666484.roundup,slurm,,132112168.0,corral-repl,,"""064232ba4e8511e6805c005056a51846""",0,window,,,100000,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ad891ddecd594d42'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f98b8cc8ab7b534e'}]","""false""","""false""","""false""","""""",32.0,,31090361.0,1469024645.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-20 14:24:16.316051,77870.0,9.0
2016-07-20 14:20:06.279569,slurm_normal,1469024651.0,0,1.0,main_w2_handler0,2771069,13452558,False,,47817,bed,5229096,bed,7666487.roundup,slurm,,132112168.0,corral-repl,,"""064232ba4e8511e6805c005056a51846""",0,window,,,5000,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ad891ddecd594d42'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f98b8cc8ab7b534e'}]","""false""","""false""","""false""","""""",32.0,,31090361.0,1469024647.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-20 14:24:13.524419,77870.0,4.0
2016-07-20 14:20:03.565999,slurm_normal,1469024659.0,0,1.0,main_w2_handler1,2771069,13452555,False,,47817,bed,5229096,bed,7666473.roundup,slurm,,132112168.0,corral-repl,,"""064232ba4e8511e6805c005056a51846""",0,window,,,1,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ad891ddecd594d42'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f98b8cc8ab7b534e'}]","""false""","""false""","""false""","""""",32.0,,31090361.0,1469024618.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-20 14:24:24.312957,77870.0,41.0
2016-07-20 14:23:29.289705,slurm_normal,1469024834.0,0,1.0,main_w1_handler1,2771222,13452607,False,,47817,bed,5229096,bed,7666519.roundup,slurm,,132112168.0,corral-repl,,"""8053cbfe4e8511e6bf7f005056a51846""",0,window,,,1,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b51b92a5b807038ae0'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f98b8cc8ab7b534e'}]","""false""","""false""","""false""","""""",32.0,,31090361.0,1469024829.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-20 14:27:18.069642,77870.0,5.0
2016-07-20 14:23:31.052385,slurm_normal,1469024834.0,0,1.0,main_w1_handler0,2771222,13452608,False,,47817,bed,5229096,bed,7666520.roundup,slurm,,132112168.0,corral-repl,,"""8053cbfe4e8511e6bf7f005056a51846""",0,window,,,1000,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b51b92a5b807038ae0'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f98b8cc8ab7b534e'}]","""false""","""false""","""false""","""""",32.0,,31090361.0,1469024829.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-20 14:27:17.268711,77870.0,5.0
2016-07-20 14:23:34.085313,slurm_normal,1469024834.0,0,1.0,main_w1_handler1,2771222,13452609,False,,47817,bed,5229096,bed,7666521.roundup,slurm,,132112168.0,corral-repl,,"""8053cbfe4e8511e6bf7f005056a51846""",0,window,,,10000,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b51b92a5b807038ae0'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f98b8cc8ab7b534e'}]","""false""","""false""","""false""","""""",32.0,,31090361.0,1469024829.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-20 14:27:18.360731,77870.0,5.0
2016-07-20 14:23:35.886318,slurm_normal,1469024837.0,0,1.0,main_w1_handler1,2771222,13452610,False,,47817,bed,5229096,bed,7666522.roundup,slurm,,132112168.0,corral-repl,,"""8053cbfe4e8511e6bf7f005056a51846""",0,window,,,100000,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b51b92a5b807038ae0'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f98b8cc8ab7b534e'}]","""false""","""false""","""false""","""""",32.0,,31090361.0,1469024829.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-20 14:27:20.370163,77870.0,8.0
2016-07-20 14:23:36.587063,slurm_normal,1469024842.0,0,1.0,main_w2_handler0,2771222,13452612,False,,47817,bed,5229096,bed,7666523.roundup,slurm,,132112168.0,corral-repl,,"""8053cbfe4e8511e6bf7f005056a51846""",0,window,,,500000,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b51b92a5b807038ae0'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f98b8cc8ab7b534e'}]","""false""","""false""","""false""","""""",32.0,,31090361.0,1469024832.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-20 14:27:24.084290,77870.0,10.0
2016-07-20 14:23:37.310383,slurm_normal,1469024876.0,0,1.0,main_w2_handler0,2771222,13452614,False,,47817,bed,5229096,bed,7666525.roundup,slurm,,132112168.0,corral-repl,,"""8053cbfe4e8511e6bf7f005056a51846""",0,window,,,1000000,"""false""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b51b92a5b807038ae0'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5f98b8cc8ab7b534e'}]","""false""","""false""","""false""","""""",32.0,,31090361.0,1469024862.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_windowbed/2.24.0,2.24.0,,2016-07-20 14:28:00.039359,77870.0,14.0
