chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.adv_options.__current_case__,parameters.adv_options.adv_options_selector,parameters.adv_options.scale_by,parameters.chromInfo,parameters.dbkey,parameters.random_seed,parameters.rate,parameters.vcf_input,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,vcf_input,vcf_input_filetype,runtime
,,2015-06-18 19:06:34.092459,slurm_normal,1434654449.0,0,1.0,main_w1_handler1,1438894,9686141,False,,3995287.roundup,slurm,,132112168.0,corral-repl,,1,False,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""17823618326""","""0.005""",20059671,32.0,,23705550,1434654418.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfrandomsample/vcfrandomsample/0.0.3,0.0.3,,2015-06-18 19:07:35.165999,34589,57929395,vcf,31.0
,,2015-08-24 19:27:26.603472,slurm_normal,1440445117.0,0,1.0,main_w2_handler1,2412567,10191327,False,,4460133.roundup,slurm,,132112168.0,corral-repl,,1,False,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""17823618326""","""0.1""",20823391,32.0,,24758913,1440444463.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfrandomsample/vcfrandomsample/0.0.3,0.0.3,,2015-08-24 19:38:41.209737,58185,1766357379,vcf,654.0
,,2015-08-24 19:47:17.305171,slurm_normal,1440446049.0,0,1.0,main_w1_handler0,2412567,10191416,False,,4460257.roundup,slurm,,132112168.0,corral-repl,,1,False,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""17823618326""","""0.01""",20823391,32.0,,24758913,1440445653.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfrandomsample/vcfrandomsample/0.0.3,0.0.3,,2015-08-24 19:54:10.595136,58185,1766357379,vcf,396.0
35.0,len,2015-09-02 15:23:48.033642,slurm_normal,1441207454.0,0,1.0,main_w1_handler0,2426228,10245333,False,,4529774.roundup,slurm,,132112168.0,corral-repl,,1,False,,"""/galaxy-repl/main/files/012/345/dataset_12345703.dat""","""?""","""17823618326""","""0.1""",20985986,32.0,,24982967,1441207449.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfrandomsample/vcfrandomsample/0.0.3,0.0.3,,2015-09-02 15:24:18.882152,68461,65537,vcf,5.0
,,2015-12-03 15:01:59.082661,slurm_normal,1449155133.0,0,1.0,main_w1_handler1,2526260,11078473,False,,5330577.roundup,slurm,,132112168.0,corral-repl,,1,False,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""17823618326""","""0.1""",22266245,32.0,,26539515,1449154940.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfrandomsample/vcfrandomsample/0.0.3,0.0.3,,2015-12-03 15:05:36.340804,2722,1753046662,vcf,193.0
,,2016-01-22 01:33:02.235688,slurm_normal,1453426443.0,0,1.0,main_w1_handler2,2539812,11576595,False,,5842135.roundup,slurm,,132112168.0,corral-repl,,1,False,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""17823618328""","""0.3""",23000126,32.0,,26241361,1453426430.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfrandomsample/vcfrandomsample/0.0.3,0.0.3,,2016-01-22 01:34:08.361636,29285,13494483,vcf,13.0
,,2016-01-22 01:29:42.261285,slurm_normal,1453426211.0,0,1.0,main_w2_handler1,2539812,11576587,False,,5842126.roundup,slurm,,132112168.0,corral-repl,,1,False,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""17823618326""","""0.5""",23000126,32.0,,26241361,1453426193.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfrandomsample/vcfrandomsample/0.0.3,0.0.3,,2016-01-22 01:30:15.980109,29285,13494483,vcf,18.0
,,2016-01-22 03:15:11.396847,slurm_normal,1453432535.0,0,1.0,main_w1_handler0,2539812,11577493,False,,5843289.roundup,slurm,,132112168.0,corral-repl,,1,False,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""17853618378""","""0.3""",23000126,32.0,,26241361,1453432523.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfrandomsample/vcfrandomsample/0.0.3,0.0.3,,2016-01-22 03:15:40.728100,29285,13494483,vcf,12.0
,,2016-02-24 23:16:00.916368,slurm_normal,1456356478.0,0,1.0,main_w2_handler0,2609717,11933853,False,,6162778.roundup,slurm,,132112168.0,corral-repl,,1,False,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""17823618326""","""0.01""",23476019,32.0,,28601251,1456355795.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfrandomsample/vcfrandomsample/0.0.3,0.0.3,,2016-02-24 23:28:05.559617,61202,5047062431,vcf,683.0
,,2016-02-29 03:23:11.426135,slurm_normal,1456716233.0,0,1.0,main_w2_handler1,2539812,11964033,False,,6197041.roundup,slurm,,132112168.0,corral-repl,,1,False,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""17823618326""","""0.05""",23546610,32.0,,28527947,1456716218.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfrandomsample/vcfrandomsample/0.0.3,0.0.3,,2016-02-29 03:23:59.371243,29285,39640765,vcf,15.0
