corData,corData_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.corData.values,parameters.corData|__identifier__,parameters.dbkey,parameters.outFileFormat,parameters.outFileNameData,parameters.plotTitle,parameters.rowCenter,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
757046,deeptools_coverage_matrix,2017-05-30 10:09:16.417067,slurm_normal,1496138977.0,0,,1.0,main_w4_handler0,2755710,15966954,False,,10063790.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","[{'src': 'hda', 'id': 29814534}]",,"""mm10""","""png""","""false""","""""","""false""",32.0,,37928335.0,1496138964.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.5.0.0,2.5.0.0,,2017-05-30 10:09:40.322947,43056,13.0
2436101,deeptools_coverage_matrix,2017-05-30 12:34:24.037078,slurm_normal,1496147686.0,0,,1.0,main_w4_handler1,2755710,15967850,False,,10064661.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","[{'src': 'hda', 'id': 29815524}]",,"""mm10""","""png""","""false""","""""","""false""",32.0,,37928335.0,1496147675.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.5.0.0,2.5.0.0,,2017-05-30 12:34:48.324562,43056,11.0
2436101,deeptools_coverage_matrix,2017-05-30 12:37:58.146705,slurm_normal,1496147911.0,0,,1.0,main_w4_handler1,2755710,15967863,False,,10064672.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","[{'src': 'hda', 'id': 29815524}]",,"""mm10""","""png""","""true""","""""","""true""",32.0,,37928335.0,1496147890.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.5.0.0,2.5.0.0,,2017-05-30 12:38:35.062838,43056,21.0
2436101,deeptools_coverage_matrix,2017-05-30 12:42:14.104857,slurm_normal,1496148178.0,0,,1.0,main_w3_handler0,2755710,15967897,False,,10064696.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","[{'src': 'hda', 'id': 29815524}]",,"""mm10""","""png""","""true""","""""","""false""",32.0,,37928335.0,1496148148.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.5.0.0,2.5.0.0,,2017-05-30 12:43:02.671710,43056,30.0
3972,deeptools_coverage_matrix,2017-04-11 16:36:28.227748,slurm_normal,1491928649.0,0,,1.0,main_w3_handler0,2938587,15557014,False,,9680658.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","[{'src': 'hda', 'id': 29172412}]",,"""?""","""png""","""false""","""""","""false""",32.0,,36536785.0,1491928636.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.5.0.0,2.5.0.0,,2017-04-11 16:38:43.052982,97415,13.0
17651,deeptools_coverage_matrix,2017-05-31 17:54:17.204173,slurm_normal,1496253791.0,0,,1.0,main_w4_handler0,2840761,15981362,False,,10076696.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","[{'src': 'hda', 'id': 29836712}]",,"""?""","""png""","""false""","""PCA_all_BAMs""","""false""",32.0,,38336792.0,1496253767.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.5.0.0,2.5.0.0,,2017-05-31 18:03:13.412514,91428,24.0
6172,deeptools_coverage_matrix,2017-05-31 16:59:14.984486,slurm_normal,1496250456.0,0,,1.0,main_w4_handler0,2840761,15980886,False,,10076239.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","[{'src': 'hda', 'id': 29836338}]",,"""?""","""png""","""false""","""1""","""false""",32.0,,38343214.0,1496250436.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.5.0.0,2.5.0.0,,2017-05-31 17:07:41.874251,91428,20.0
7319152,deeptools_coverage_matrix,2017-04-07 17:07:06.891559,slurm_normal,1491588134.0,0,,1.0,main_w4_handler1,3051416,15523950,False,,9650666.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","[{'src': 'hda', 'id': 29123543}]",,"""hg38""","""png""","""false""","""""","""false""",32.0,,36986721.0,1491588102.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.5.0.0,2.5.0.0,,2017-04-07 18:02:18.689526,88412,32.0
10404,deeptools_coverage_matrix,2017-06-01 16:46:15.866935,reserved,1496335606.0,0,,1.0,main_w3_handler0,3136239,15990566,False,,10085413.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","[{'src': 'hda', 'id': 29851726}]",,"""hg38""","""png""","""false""","""""","""false""",32.0,,38168481.0,1496335590.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.5.0.0,2.5.0.0,,2017-06-01 16:46:51.146634,621,16.0
2482600,deeptools_coverage_matrix,2017-03-31 20:43:11.450955,slurm_normal,1491001740.0,0,,1.0,main_w4_handler1,3051416,15451449,False,,9582597.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","[{'src': 'hda', 'id': 29011358}]",,"""hg38""","""png""","""false""","""""","""false""",32.0,,36986721.0,1491001702.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_pca/deeptools_plot_pca/2.5.0.0,2.5.0.0,,2017-03-31 23:35:34.321194,88412,38.0
