chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1_file,input1_file_filetype,input2_file,input2_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1_file.values,parameters.input1_file|__identifier__,parameters.input2_file.values,parameters.input2_file|__identifier__,parameters.paste_sequence,parameters.style,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-10-05 16:51:48.821232,slurm_normal_16gb,1507229549.0,0,,1.0,main_w4_handler1,3267727,17032717,False,,2064037043,fastqsanger,2078514745,fastqsanger,11090047.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31564833}]",,"[{'src': 'hda', 'id': 31564832}]",,"""""","""old""",32.0,,41003561.0,1507226946.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1.0,2.0.1.0,,2017-10-05 18:52:44.648361,112348.0,2603.0
,,2017-12-15 02:33:59.124949,slurm_normal_16gb,1513305738.0,0,,1.0,main_w4_handler0,3349511,17814045,False,,537501588,fastqsanger,536008820,fastqsanger,11882636,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32942164}]",,"[{'src': 'hda', 'id': 32942165}]",,"""""","""new""",32.0,,42400251.0,1513305251.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1.0,2.0.1.0,,2017-12-15 02:42:19.626344,117813.0,487.0
,,2017-10-12 21:58:59.306266,slurm_normal_16gb,1507845792.0,0,,1.0,main_w3_handler1,3275905,17091152,False,,126326691,fastqsanger,126334243,fastqsanger,11147139.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31579184}]",,"[{'src': 'hda', 'id': 31579185}]",,"""""","""old""",32.0,,41050058.0,1507845685.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1.0,2.0.1.0,,2017-10-12 22:03:14.818131,112822.0,107.0
,,2017-10-12 21:58:54.697181,slurm_normal_16gb,1507849018.0,0,,1.0,main_w3_handler0,3275905,17091142,False,,118506580,fastqsanger,118512986,fastqsanger,11147555.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31579164}]",,"[{'src': 'hda', 'id': 31579165}]",,"""""","""old""",32.0,,41050058.0,1507848919.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1.0,2.0.1.0,,2017-10-12 22:57:03.940000,112822.0,99.0
,,2017-10-12 21:59:08.623969,slurm_normal_16gb,1507850412.0,0,,1.0,main_w3_handler0,3275905,17091172,False,,170571055,fastqsanger,170758379,fastqsanger,11147631.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31579385}]",,"[{'src': 'hda', 'id': 31579386}]",,"""""","""old""",32.0,,41050058.0,1507850229.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1.0,2.0.1.0,,2017-10-12 23:20:20.105660,112822.0,183.0
,,2017-10-12 21:58:53.638307,slurm_normal_16gb,1507850664.0,0,,1.0,main_w4_handler1,3275905,17091140,False,,101281135,fastqsanger,101286931,fastqsanger,11147650.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31579160}]",,"[{'src': 'hda', 'id': 31579161}]",,"""""","""old""",32.0,,41050058.0,1507850576.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1.0,2.0.1.0,,2017-10-12 23:24:28.331046,112822.0,88.0
,,2017-10-12 21:59:04.423555,slurm_normal_16gb,1507849103.0,0,,1.0,main_w3_handler1,3275905,17091163,False,,84403486,fastqsanger,84413354,fastqsanger,11147561.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31579206}]",,"[{'src': 'hda', 'id': 31579207}]",,"""""","""old""",32.0,,41050058.0,1507849031.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1.0,2.0.1.0,,2017-10-12 22:58:27.821007,112822.0,72.0
,,2017-10-09 15:31:22.716644,slurm_normal_16gb,1507563123.0,0,,1.0,main_w3_handler1,3280457,17056651,False,,32247479,fastqsanger,32246969,fastqsanger,11113817.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31612068}]",,"[{'src': 'hda', 'id': 31612083}]",,"""""","""old""",32.0,,39843097.0,1507563092.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1.0,2.0.1.0,,2017-10-09 15:32:09.344492,102523.0,31.0
,,2017-10-09 15:31:23.329635,slurm_normal_16gb,1507563160.0,0,,1.0,main_w3_handler1,3280457,17056653,False,,24143463,fastqsanger,24144275,fastqsanger,11113826.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31612125}]",,"[{'src': 'hda', 'id': 31612128}]",,"""""","""old""",32.0,,39843097.0,1507563136.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1.0,2.0.1.0,,2017-10-09 15:32:45.886663,102523.0,24.0
,,2017-10-09 15:31:23.057919,slurm_normal_16gb,1507563200.0,0,,1.0,main_w3_handler0,3280457,17056652,False,,25389640,fastqsanger,25390880,fastqsanger,11113836.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31612098}]",,"[{'src': 'hda', 'id': 31612114}]",,"""""","""old""",32.0,,39843097.0,1507563175.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastq_paired_end_joiner/fastq_paired_end_joiner/2.0.1.0,2.0.1.0,,2017-10-09 15:33:27.673021,102523.0,25.0
