create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_vcf,input_vcf_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input_vcf.values,parameters.input_vcf|__identifier__,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.window_size,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-04-29 04:15:47.909757,slurm_normal,1493439359.0,0,1.0,main_w4_handler1,3090482,15705644,False,,4021874,vcf,9818253.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 29395073}]",,0,hg38,,cached,"""150""",32.0,,,,37620705.0,1493439350.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfleftalign/vcfleftalign/1.0.0_rc1.0,1.0.0_rc1.0,,2017-04-29 04:16:00.903637,83897,9.0
2017-05-04 08:59:10.912087,slurm_normal,1493902606.0,0,1.0,main_w4_handler0,3097685,15745308,False,,9808,vcf,9856865.roundup,slurm,,132112168.0,corral-repl,,"""eb9cbc7c30a711e790dd005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 29467792}]",,0,hg19,,cached,"""150""",32.0,,,,,1493902597.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfleftalign/vcfleftalign/1.0.0_rc1.0,1.0.0_rc1.0,,2017-05-04 12:56:50.041849,104108,9.0
2017-06-14 16:56:09.362791,slurm_normal,1497461824.0,0,1.0,main_w4_handler0,3153964,16101493,False,,15366,vcf,10186156.roundup,slurm,,132112168.0,corral-repl,,"""4075d662512211e799b6005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30029794}]",,0,hg19,,cached,"""150""",32.0,,,,,1497461820.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfleftalign/vcfleftalign/1.0.0_rc1.0,1.0.0_rc1.0,,2017-06-14 17:37:08.494445,106384,4.0
2017-06-14 19:27:44.941657,slurm_normal,1497488062.0,0,1.0,main_w3_handler1,3153964,16102830,False,,15366,vcf,10187913.roundup,slurm,,132112168.0,corral-repl,,"""38857dee513711e7ae28005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30031689}]",,0,hg19,,cached,"""150""",32.0,,,,,1497488057.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfleftalign/vcfleftalign/1.0.0_rc1.0,1.0.0_rc1.0,,2017-06-15 01:48:10.685264,106384,5.0
2017-06-27 23:36:48.913418,slurm_normal,1498606664.0,0,1.0,main_w3_handler0,3163111,16206093,False,,22915,vcf,10282496.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30189080}]","""21_S21_L001_001.fastq""",0,hg19,,cached,"""150""",32.0,,,,38874638.0,1498606661.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfleftalign/vcfleftalign/1.0.0_rc1.0,1.0.0_rc1.0,,2017-06-27 23:37:48.891875,78150,3.0
2017-08-11 07:56:05.694187,slurm_normal,1502445785.0,0,1.0,main_w4_handler1,3206946,16556319,False,,731533270,vcf,10627334.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 30836316}]",,1,,"[{'src': 'hda', 'id': 30834784}]",history,"""150""",32.0,4706030.0,fasta,,39772465.0,1502438303.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfleftalign/vcfleftalign/1.0.0_rc1.0,1.0.0_rc1.0,,2017-08-11 10:03:08.927071,109588,7482.0
2017-08-14 08:37:07.722038,slurm_normal,1502699846.0,0,1.0,main_w3_handler0,3206946,16573725,False,,118975,vcf,10644650.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 30863016}]",,1,,"[{'src': 'hda', 'id': 30834784}]",history,"""150""",32.0,4706030.0,fasta,,39772465.0,1502699835.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfleftalign/vcfleftalign/1.0.0_rc1.0,1.0.0_rc1.0,,2017-08-14 08:37:29.256067,109588,11.0
2017-08-14 08:40:49.354830,slurm_normal,1502700065.0,0,1.0,main_w4_handler0,3206946,16573744,False,,142091,vcf,10644687.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 30863071}]",,1,,"[{'src': 'hda', 'id': 30834784}]",history,"""150""",32.0,4706030.0,fasta,,39772465.0,1502700059.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfleftalign/vcfleftalign/1.0.0_rc1.0,1.0.0_rc1.0,,2017-08-14 08:41:06.426258,109588,6.0
2017-08-22 15:40:52.447620,slurm_normal,1503416706.0,0,1.0,main_w4_handler1,3121386,16632789,False,,603003622,vcf,10704985.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 29713935}]",,0,hg19,,cached,"""150""",32.0,,,,39628965.0,1503416464.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfleftalign/vcfleftalign/1.0.0_rc1.0,1.0.0_rc1.0,,2017-08-22 15:45:09.613511,42102,242.0
2017-08-23 19:04:09.243747,slurm_normal,1503515062.0,0,1.0,main_w4_handler1,3223966,16643349,False,,299313,vcf,10715953.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 30968193}]",,1,,"[{'src': 'hda', 'id': 30959155}]",history,"""150""",32.0,5746.0,fasta,,40007881.0,1503515057.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfleftalign/vcfleftalign/1.0.0_rc1.0,1.0.0_rc1.0,,2017-08-23 19:04:24.175521,109624,5.0
