create_time,destination_id,end_epoch,exit_code,galaxy_slots,genome,genome_filetype,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.genome.values,parameters.input.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-09-09 12:35:33.625857,slurm_normal,1504960547.0,0,1.0,36,fai,main_w3_handler1,3247602,16778574,False,,482497,gff3,10846816.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31169850}]","[{'src': 'hda', 'id': 31169561}]",32.0,,40370411,1504960544.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.26.0.0,2.26.0.0,,2017-09-09 12:35:48.750329,56976,3.0
2017-09-09 12:40:56.768005,slurm_normal,1504960867.0,0,1.0,36,fai,main_w4_handler1,3247602,16778581,False,,93828,bed,10846824.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31169850}]","[{'src': 'hda', 'id': 31169814}]",32.0,,40370411,1504960864.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.26.0.0,2.26.0.0,,2017-09-09 12:41:08.920803,56976,3.0
2017-09-12 09:49:49.867225,slurm_normal,1505209814.0,0,1.0,36,tabular,main_w3_handler0,3249999,16792703,False,,482497,gff3,10861571.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31191823}]","[{'src': 'hda', 'id': 31191778}]",32.0,,40425069,1505209809.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.26.0.0,2.26.0.0,,2017-09-12 09:50:25.453037,111321,5.0
2017-09-12 11:11:13.049503,slurm_normal,1505214693.0,0,1.0,36,tabular,main_w4_handler0,3249999,16793545,False,,93828,bed,10862307.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31191823}]","[{'src': 'hda', 'id': 31192752}]",32.0,,40425069,1505214689.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.26.0.0,2.26.0.0,,2017-09-12 11:11:40.567905,111321,4.0
2017-09-13 13:50:10.807995,slurm_normal,1505310628.0,0,1.0,36,tabular,main_w4_handler0,3249999,16806156,False,,93828,bed,10874944.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31191823}]","[{'src': 'hda', 'id': 31214356}]",32.0,,40425069,1505310623.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.26.0.0,2.26.0.0,,2017-09-13 13:50:32.656868,111321,5.0
2017-09-14 00:12:52.418919,slurm_normal,1505348003.0,0,1.0,36,tabular,main_w3_handler1,3249999,16813202,False,,111968,bed,10882542.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31191823}]","[{'src': 'hda', 'id': 31225643}]",32.0,,40425069,1505347998.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.26.0.0,2.26.0.0,,2017-09-14 00:13:25.851456,111321,5.0
2017-09-14 00:35:23.399790,slurm_normal,1505349353.0,0,1.0,36,tabular,main_w3_handler0,3249999,16813318,False,,111968,bed,10882675.roundup,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31191823}]","[{'src': 'hda', 'id': 31225779}]",32.0,,40425069,1505349349.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.26.0.0,2.26.0.0,,2017-09-14 00:35:58.234024,111321,4.0
2017-10-19 12:36:55.598256,slurm_normal,1508416640.0,0,1.0,16,bed,main_w4_handler0,3270060,17144629,False,,4212394,bed,11202188,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31757492}]","[{'src': 'hda', 'id': 31757568}]",32.0,,41392217,1508416634.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.26.0.0,2.26.0.0,,2017-10-19 12:37:27.067325,81119,6.0
2017-10-19 12:01:48.695918,slurm_normal,1508414531.0,0,1.0,16,bed,main_w4_handler0,3270060,17144411,False,,4388275,bed,11201960,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 31757243}]","[{'src': 'hda', 'id': 31757151}]",32.0,,41392217,1508414524.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.26.0.0,2.26.0.0,,2017-10-19 12:02:14.441341,81119,7.0
2017-10-31 20:09:42.189503,slurm_normal,1509480609.0,0,1.0,1405,tabular,main_w3_handler1,3294205,17280584,False,,4661481,bed,11341479,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 31993412}]","[{'src': 'hda', 'id': 31992713}]",32.0,,41646383,1509480603.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.26.0.0,2.26.0.0,,2017-10-31 20:10:18.629325,18481,6.0
