create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,infile_control,infile_control_filetype,infile_treatment,infile_treatment_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.bdgcmp_options.__current_case__,parameters.bdgcmp_options.bdgcmp_options_selector,parameters.bdgcmp_options.pseudocount,parameters.chromInfo,parameters.dbkey,parameters.infile_control,parameters.infile_control.values,parameters.infile_treatment,parameters.infile_treatment.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-03-10 04:00:14.121214,slurm_normal,1457582482.0,0,1.0,main_w1_handler2,2626828,12092094,False,111045092,bedgraph,124930773,bedgraph,,6316679.roundup,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/galaxy-repl/localdata/chrom/344.len""","""344""",23773006,,23773005,,32.0,,28849647.0,1457582434.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-10 04:01:24.777067,75701.0,48.0
2016-04-27 02:48:15.541852,slurm_normal,1461725365.0,0,1.0,main_w2_handler1,2581838,12637588,False,102568525,bedgraph,95074462,bedgraph,,6839077.roundup,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58c5bbd45bb6d0808'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d4f44e06f4f5ab66'}]",32.0,,29374967.0,1461725320.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-27 02:49:28.484508,57068.0,45.0
2016-04-27 03:00:17.238241,slurm_normal,1461726603.0,0,1.0,main_w1_handler2,2585398,12637641,False,110795276,bedgraph,188153146,bedgraph,,6839321.roundup,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b594440f8858136403'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56d068e7c311dfc8d'}]",32.0,,29374967.0,1461726458.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-27 03:10:06.455650,57068.0,145.0
2016-03-11 13:12:53.364231,slurm_normal,1457702024.0,0,1.0,main_w1_handler2,2543864,12105949,False,11516276,bedgraph,11516276,bedgraph,,6329916.roundup,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",23410550,,23410550,,32.0,,28210154.0,1457702005.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-11 13:13:47.348976,77297.0,19.0
2016-03-11 15:22:17.338652,slurm_normal,1457709801.0,0,1.0,main_w1_handler2,2629249,12107183,False,90015211,bedgraph,76136611,bedgraph,,6331128.roundup,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",23795674,,23795673,,32.0,,27659878.0,1457709765.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-11 15:23:25.738750,61608.0,36.0
2016-03-11 15:22:06.591433,slurm_normal,1457709799.0,0,1.0,main_w1_handler2,2629249,12107182,False,90731272,bedgraph,76491667,bedgraph,,6331127.roundup,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",23795668,,23795667,,32.0,,27659878.0,1457709753.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-11 15:23:25.667324,61608.0,46.0
2016-04-28 07:51:18.775624,slurm_normal,1461829934.0,0,1.0,main_w1_handler0,2549611,12661807,False,54302837,bedgraph,72334270,bedgraph,,6865297.roundup,slurm,,132112168.0,corral-repl,,,5,subtract,,"""/galaxy-repl/localdata/chrom/caulCres.len""","""caulCres""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50c5a864aaf3b73e7'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5dffd7113526679e5'}]",32.0,,28269289.0,1461829909.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-28 07:52:16.506695,75857.0,25.0
2016-06-18 13:38:51.136815,slurm_normal,1466257173.0,0,1.0,main_w2_handler1,2575879,13199438,False,94048321,bedgraph,91814332,bedgraph,,7384000.roundup,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b587311645dfa2f2e0'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58052daf7c8bbb12b'}]",32.0,,30939334.0,1466257143.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.0.20151222.0,2.1.0.20151222.0,,2016-06-18 13:39:34.809992,57068.0,30.0
2016-06-18 18:27:46.991828,slurm_normal,1466274522.0,0,1.0,main_w1_handler1,2575879,13200064,False,104431254,bedgraph,145393117,bedgraph,,7384649.roundup,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b581aa91a84346e779'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56fe1527c86dae8e8'}]",32.0,,30939334.0,1466274481.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.0.20151222.0,2.1.0.20151222.0,,2016-06-18 18:28:43.259646,57068.0,41.0
2016-06-18 14:26:53.567900,slurm_normal,1466260086.0,0,1.0,main_w1_handler1,2575879,13199564,False,93213415,bedgraph,148942257,bedgraph,,7384159.roundup,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5507ee53e3fc76cd5'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55aa705e592283245'}]",32.0,,30939334.0,1466260027.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.0.20151222.0,2.1.0.20151222.0,,2016-06-18 14:28:09.562086,57068.0,59.0
