bamInput,bamInput_filetype,blackListFileName,blackListFileName1,blackListFileName1_filetype,blackListFileName2,blackListFileName2_filetype,blackListFileName_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.MNase,parameters.advancedOpt.Offset,parameters.advancedOpt.__current_case__,parameters.advancedOpt.blackListFileName.values,parameters.advancedOpt.centerReads,parameters.advancedOpt.doExtendCustom.__current_case__,parameters.advancedOpt.doExtendCustom.doExtend,parameters.advancedOpt.doExtendCustom.extendReadsValue,parameters.advancedOpt.filterRNAstrand,parameters.advancedOpt.ignoreDuplicates,parameters.advancedOpt.ignoreForNormalization,parameters.advancedOpt.maxFragmentLength,parameters.advancedOpt.minFragmentLength,parameters.advancedOpt.minMappingQuality,parameters.advancedOpt.samFlagExclude,parameters.advancedOpt.samFlagInclude,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.skipNAs,parameters.advancedOpt.smoothLength,parameters.bamInput.values,parameters.binSize,parameters.chromInfo,parameters.dbkey,parameters.outFileFormat,parameters.region,parameters.scaling.__current_case__,parameters.scaling.effectiveGenomeSize.__current_case__,parameters.scaling.effectiveGenomeSize.effectiveGenomeSize,parameters.scaling.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.scaling.scaleFactor,parameters.scaling.type,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
29442641,bam,,,,,,,,,2016-10-13 18:08:11.760133,slurm_multi,1476382611.0,0,6.0,main_w3_handler2,2853708,14075552,False,,8292425,slurm,,132112168.0,corral-repl,,0,no,,,,,0.0,,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ffd42b690bbcaac3'}]","""5""","""/galaxy-repl/localdata/chrom/Saccharomyces_cerevisiae_S288C_SGD2010.len""","""Saccharomyces_cerevisiae_S288C_SGD2010""","""bigwig""","""""",0,,,,1.0,rpkm,32.0,,33660833,1476382592.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.5.0,2.3.5.0,,2016-10-13 18:16:53.186350,92169,19.0
1755988790,bam,,,,,,,,,2016-10-07 10:46:41.825919,slurm_multi,1475853845.0,0,6.0,main_w4_handler2,2838493,14027492,False,,8247866,slurm,,132112168.0,corral-repl,,0,no,,,,,0.0,,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d749ade9c68d0b49'}]","""50""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bigwig""","""""",0,,,,1.0,rpkm,32.0,,32713793,1475852431.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.5.0,2.3.5.0,,2016-10-07 15:24:09.205209,38685,1414.0
2108015593,bam,,,,,,,,,2016-10-24 08:23:16.391286,slurm_multi,1477299141.0,0,6.0,main_w3_handler2,1796147,14156057,False,,8367173,slurm,,132112168.0,corral-repl,,0,no,,,,,0.0,,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58ef6006eb55e296a'}]","""1""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""bigwig""","""""",2,1.0,,2150570000,1.0,1x,32.0,,32727307,1477297978.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.5.0,2.3.5.0,,2016-10-24 08:52:22.734825,35884,1163.0
586537412,bam,,,,,,,,,2017-03-30 13:30:33.111632,slurm_multi,1490901036.0,0,6.0,main_w4_handler2,3052275,15435249,False,,9569739,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 28985148}]","""10""","""/galaxy-repl/main/files/018/104/dataset_18104818.dat""","""SC5314 A22""","""bigwig""","""""",0,,,,1.0,rpkm,32.0,,36977659,1490900951.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.5.0,2.3.5.0,,2017-03-30 19:10:47.203375,77683,85.0
1396357206,bam,18786.0,18786.0,bed,,,bed,,,2016-11-04 21:42:04.511405,slurm_multi,1478299414.0,0,6.0,main_w4_handler2,2855238,14257144,False,,8465465,slurm,,132112168.0,corral-repl,,0,no,,,false,,1.0,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e90372bd95128a5e'}]",false,2.0,custom,500,no,false,,0,0,1,,,yes,false,300,"[{'src': 'hda', 'id': 'bbd44e69cb8906b594be5958a7d96137'}]","""100""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bigwig""","""""",0,,,,1.0,rpkm,32.0,,33465832,1478298626.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.5.0,2.3.5.0,,2016-11-04 22:43:36.274707,50986,788.0
141824792,bam,,,,,,,,,2016-11-06 14:43:00.987530,slurm_multi,1478450752.0,0,6.0,main_w3_handler2,2882964,14264397,False,,8473453,slurm,,132111800.0,corral-repl,,0,no,,"""4e791d3ca42f11e69e5e005056a52a46""",,,0.0,,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54ae2031c57b0fcd3'}]","""25""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bigwig""","""""",2,2.0,,2451960000,1.0,1x,32.0,,34109190,1478450533.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.5.0,2.3.5.0,,2016-11-06 16:45:54.041535,92152,219.0
600312146,bam,,,,,,,,,2017-03-30 13:30:30.836789,slurm_multi,1490893471.0,0,6.0,main_w3_handler2,3052275,15435245,False,,9568829,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 28985143}]","""10""","""/galaxy-repl/main/files/018/104/dataset_18104818.dat""","""SC5314 A22""","""bigwig""","""""",0,,,,1.0,rpkm,32.0,,36977659,1490893383.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.5.0,2.3.5.0,,2017-03-30 17:04:43.353167,77683,88.0
435934159,bam,,,,,,,,,2017-03-30 13:30:32.127709,slurm_multi,1490894575.0,0,6.0,main_w3_handler2,3052275,15435247,False,,9568975,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 28985145}]","""10""","""/galaxy-repl/main/files/018/104/dataset_18104818.dat""","""SC5314 A22""","""bigwig""","""""",0,,,,1.0,rpkm,32.0,,36977659,1490894477.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.5.0,2.3.5.0,,2017-03-30 17:23:05.404673,77683,98.0
278516685,bam,18786.0,18786.0,bed,,,bed,,,2016-10-17 18:26:57.739823,slurm_multi,1476734200.0,0,6.0,main_w4_handler2,2855238,14101146,False,,8316931,slurm,,132112168.0,corral-repl,,0,no,,,false,,1.0,"[{'src': 'hda', 'id': 'bbd44e69cb8906b572bab8107469b47a'}]",false,2.0,custom,500,no,false,,0,0,1,,,yes,false,300,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56bafaac519768de2'}]","""100""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bigwig""","""""",0,,,,1.0,rpkm,32.0,,33465832,1476733900.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.5.0,2.3.5.0,,2016-10-17 19:56:42.031610,50986,300.0
463145432,bam,,,,,,,,,2016-10-10 17:02:33.183153,slurm_multi,1476124826.0,0,6.0,main_w3_handler2,2799745,14046638,False,,8264861,slurm,,132112168.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b501a2dd98b5fc1097'}]","""50""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bigwig""","""""",2,2.0,,2451960000,1.0,1x,32.0,,33571690,1476124663.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.5.0,2.3.5.0,,2016-10-10 18:40:39.229534,88896,163.0
