chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.coverage_cap,parameters.dbkey,parameters.inputFile,parameters.inputFile.values,parameters.inputFile|__identifier__,parameters.minimum_base_quality,parameters.minimum_mapping_quality,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.validation_stringency,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-06-19 23:03:20.218880,slurm_normal_16gb,1466377946.0,0,1.0,main_w1_handler0,2736511,13205409,False,,572574877,bam,7389880.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/016/228/dataset_16228219.dat""","""250""","""Kea""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b534f7f0e92af19251'}]","""FT3653_S3_L001__001""","""20""","""20""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b532fd0f0aac7df11d'}]",history,"""LENIENT""",32.0,1072325226.0,fasta,,30821004.0,1466377611.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-06-19 23:12:28.516998,85997,335.0
,,2016-06-19 23:03:20.524247,slurm_normal_16gb,1466377968.0,0,1.0,main_w1_handler1,2736511,13205410,False,,225243276,bam,7389879.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/016/228/dataset_16228219.dat""","""250""","""Kea""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5171592d08d002b1b'}]","""FT3852_S1_L001__001""","""20""","""20""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b532fd0f0aac7df11d'}]",history,"""LENIENT""",32.0,1072325226.0,fasta,,30821004.0,1466377611.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-06-19 23:12:51.335403,85997,357.0
,,2016-06-19 23:03:21.288158,slurm_normal_16gb,1466378293.0,0,1.0,main_w2_handler0,2736511,13205412,False,,509182387,bam,7389892.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/016/228/dataset_16228219.dat""","""250""","""Kea""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ceec215aaa9fc428'}]","""FT3920_S4_L001__001""","""20""","""20""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b532fd0f0aac7df11d'}]",history,"""LENIENT""",32.0,1072325226.0,fasta,,30821004.0,1466377951.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-06-19 23:18:15.603207,85997,342.0
,,2016-06-19 23:03:20.864850,slurm_normal_16gb,1466378343.0,0,1.0,main_w1_handler0,2736511,13205411,False,,853909146,bam,7389893.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/016/228/dataset_16228219.dat""","""250""","""Kea""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b520d82142fb6b25a4'}]","""FT3860_S2_L001__001""","""20""","""20""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b532fd0f0aac7df11d'}]",history,"""LENIENT""",32.0,1072325226.0,fasta,,30821004.0,1466377951.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-06-19 23:19:07.322056,85997,392.0
,,2016-06-20 02:05:23.930392,slurm_normal_16gb,1466389345.0,0,1.0,main_w1_handler1,2736511,13206514,False,,2071357615,bam,7390997.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/016/228/dataset_16228219.dat""","""250""","""Kea""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57b20b862c3d32827'}]",,"""20""","""20""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b532fd0f0aac7df11d'}]",history,"""LENIENT""",32.0,1072325226.0,fasta,,30821004.0,1466388759.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-06-20 02:22:27.557306,85997,586.0
,,2016-02-28 06:49:35.555892,slurm_normal_16gb,1456642296.0,0,1.0,main_w2_handler1,2615228,11959985,False,,148598499,bam,6193269.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""250""","""?""",23542356,,,"""20""","""20""",1,23542303,,history,"""LENIENT""",32.0,7083045.0,fasta,,28673487.0,1456642268.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-02-28 06:51:39.779567,46373,28.0
,,2016-02-28 07:12:55.546439,slurm_normal_16gb,1456643639.0,0,1.0,main_w1_handler2,2615228,11960048,False,,149085664,bam,6193348.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""250""","""?""",23542501,,,"""20""","""20""",1,23542303,,history,"""LENIENT""",32.0,7083045.0,fasta,,28673487.0,1456643624.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-02-28 07:14:01.878048,46373,15.0
,,2016-02-28 06:49:37.731820,slurm_normal_16gb,1456642256.0,0,1.0,main_w1_handler0,2615228,11959987,False,,13382177,bam,6193264.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""250""","""?""",23542358,,,"""20""","""20""",1,23542303,,history,"""LENIENT""",32.0,7083045.0,fasta,,28673487.0,1456642243.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-02-28 06:51:00.828973,46373,13.0
,,2016-02-28 06:49:36.570762,slurm_normal_16gb,1456642233.0,0,1.0,main_w1_handler1,2615228,11959986,False,,112863704,bam,6193262.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""250""","""?""",23542357,,,"""20""","""20""",1,23542303,,history,"""LENIENT""",32.0,7083045.0,fasta,,28673487.0,1456642216.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-02-28 06:50:37.571932,46373,17.0
,,2016-03-02 11:47:53.076654,slurm_normal_16gb,1456919383.0,0,1.0,main_w2_handler1,2601192,11990941,False,,222171438,sam,6221153.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""250""","""?""",23597052,,,"""20""","""20""",1,23369175,,history,"""LENIENT""",32.0,60311570.0,fasta,,28417368.0,1456919291.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.136.0,1.136.0,,2016-03-02 11:49:46.016549,78693,92.0
