create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_bed_file,input_bed_file_filetype,input_control_file,input_control_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.effective_genome_fraction,parameters.error_cut_off,parameters.fix_off_by_one_errors,parameters.fragment_size,parameters.gap_size,parameters.input_bed_file,parameters.input_bed_file.values,parameters.input_control_file,parameters.redundancy_threshold,parameters.window_size,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-07-17 22:59:01.812366,slurm_normal,1437176848.0,0,,1.0,main_w2_handler0,2378928,9898666,False,,2912113681,bed,3209940173.0,bed,4186800.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""0.74""","""1e-05""","""True""","""440""","""600""",20398828,,20407129,"""1""","""200""",32.0,,23765708,1437173988.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/sicer/peakcalling_sicer/0.0.1,0.0.1,,2015-07-17 23:47:37.493841,30921.0,2860.0
2015-07-17 23:08:13.204756,slurm_normal,1437178207.0,0,,1.0,main_w1_handler0,2378928,9898682,False,,3813535947,bed,3209940173.0,bed,4186850.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""0.74""","""1e-05""","""True""","""440""","""600""",20398831,,20407129,"""1""","""200""",32.0,,23765708,1437174533.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/sicer/peakcalling_sicer/0.0.1,0.0.1,,2015-07-18 00:10:14.154644,30921.0,3674.0
2015-09-17 10:42:09.584534,slurm_normal,1442493811.0,0,,1.0,main_w1_handler2,2427490,10342690,False,,6926266708,bed,7592801753.0,bed,4625850.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""0.74""","""0.01""","""True""","""150""","""600""",21146575,,21133572,"""1""","""200""",32.0,,25205576,1442486554.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/sicer/peakcalling_sicer/0.0.1,0.0.1,,2015-09-17 12:43:40.724916,52788.0,7257.0
2015-09-17 10:44:34.169650,slurm_normal,1442494391.0,0,,1.0,main_w1_handler1,2427490,10342712,False,,7507567543,bed,6837691598.0,bed,4625872.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""0.74""","""0.01""","""True""","""150""","""600""",21146576,,21134262,"""1""","""200""",32.0,,25205576,1442486698.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/sicer/peakcalling_sicer/0.0.1,0.0.1,,2015-09-17 12:53:16.819889,52788.0,7693.0
2015-07-15 14:14:23.193210,slurm_normal,1436978822.0,0,,1.0,main_w2_handler1,2301587,9872427,False,,8574853079,bed,1330869967.0,bed,4162039.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0.74""","""0.01""","""True""","""150""","""600""",19690504,,19680688,"""1""","""200""",32.0,,24147549,1436970434.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/sicer/peakcalling_sicer/0.0.1,0.0.1,,2015-07-15 16:47:09.145806,63346.0,8388.0
2015-07-15 17:36:38.269959,slurm_normal,1436984066.0,0,,1.0,main_w1_handler0,2189950,9875214,False,,1609253602,bed,1139790712.0,bed,4165086.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0.74""","""0.01""","""True""","""150""","""200""",20193680,,20194045,"""1""","""200""",32.0,,23912953,1436981830.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/sicer/peakcalling_sicer/0.0.1,0.0.1,,2015-07-15 18:14:33.662010,58990.0,2236.0
2015-07-15 18:04:03.319093,slurm_normal,1436985674.0,0,,1.0,main_w1_handler0,2189950,9875313,False,,1609253602,bed,1139790712.0,bed,4165244.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0.74""","""0.01""","""True""","""275""","""600""",20193680,,20194045,"""1""","""200""",32.0,,23912953,1436983483.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/sicer/peakcalling_sicer/0.0.1,0.0.1,,2015-07-15 18:41:20.361712,58990.0,2191.0
2015-07-16 02:54:11.752783,slurm_normal,1437016782.0,0,,1.0,main_w1_handler0,2331548,9877984,False,,2689803385,bed,,,4168160.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""0.74""","""0.01""","""True""","""150""","""200""",20372427,,,"""1""","""200""",32.0,,23473226,1437015287.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/sicer/peakcalling_sicer/0.0.1,0.0.1,,2015-07-16 03:19:49.434816,,1495.0
2015-07-16 22:47:06.894964,slurm_normal,1437089997.0,0,,1.0,main_w2_handler1,2328579,9888256,False,,1288607748,bed,4157541030.0,bed,4177469.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""0.791""","""1e-10""","""True""","""300""","""0""",20379657,,19894484,"""1""","""200""",32.0,,24174712,1437086875.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/sicer/peakcalling_sicer/0.0.1,0.0.1,,2015-07-16 23:40:08.310682,32837.0,3122.0
2015-07-17 02:44:47.656114,slurm_normal,1437103944.0,0,,1.0,main_w1_handler1,2328579,9889425,False,,1405778245,bed,3727378066.0,bed,4178962.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""0.791""","""1e-10""","""True""","""300""","""0""",20388095,,19894485,"""1""","""200""",32.0,,24174712,1437101128.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/sicer/peakcalling_sicer/0.0.1,0.0.1,,2015-07-17 03:32:34.012663,32837.0,2816.0
