chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.analysis_type,parameters.chromInfo,parameters.dbkey,parameters.vcf_input,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,vcf_input,vcf_input_filetype,runtime
,,2015-03-22 08:39:25.220120,rodeo_normal,1427013590.0,0,1.0,main_w1_handler0,2244419,9005724,False,,3274397.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18947424,32.0,,21943139,1427013575.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-03-22 08:39:51.939108,,98134506,vcf,15.0
,,2015-03-22 09:14:43.315755,rodeo_normal,1427015707.0,0,1.0,main_w1_handler0,2244419,9005780,False,,3274471.roundup,slurm,,132112168.0,corral-repl,,,"""allele_count""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18947424,32.0,,21943139,1427015692.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-03-22 09:15:09.274274,,98134506,vcf,15.0
,,2015-03-22 09:18:59.909007,rodeo_normal,1427015965.0,0,1.0,main_w1_handler0,2244419,9005786,False,,3274494.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18947218,32.0,,21943139,1427015949.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-03-22 09:19:26.831067,,100595486,vcf,16.0
,,2015-03-22 09:10:25.759629,rodeo_normal,1427015448.0,0,1.0,main_w2_handler1,2244419,9005766,False,,3274457.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18948281,32.0,,21943139,1427015435.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-03-22 09:10:51.096422,,88486889,vcf,13.0
,,2015-03-22 09:21:00.756246,rodeo_normal,1427016087.0,0,1.0,main_w1_handler1,2244419,9005790,False,,3274502.roundup,slurm,,132112168.0,corral-repl,,,"""allele_count""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18947218,32.0,,21943139,1427016073.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-03-22 09:21:29.911729,,100595486,vcf,14.0
,,2015-03-22 09:20:00.951171,rodeo_normal,1427016026.0,0,1.0,main_w1_handler1,2244419,9005788,False,,3274498.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18947218,32.0,,21943139,1427016011.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-03-22 09:20:28.043780,,100595486,vcf,15.0
,,2015-03-23 00:23:11.843871,rodeo_normal,1427070220.0,0,1.0,main_w2_handler1,2245481,9009758,False,,3281268.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18954342,32.0,,21956834,1427070205.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-03-23 00:23:43.077667,,100595486,vcf,15.0
,,2015-03-23 13:39:29.890067,rodeo_normal,1427117988.0,0,1.0,main_w2_handler0,2244419,9013519,False,,3289210.roundup,slurm,,132112168.0,corral-repl,,,"""allele_count""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18960045,32.0,,21943139,1427117985.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-03-23 13:39:53.098718,,880400,vcf,3.0
,,2015-03-23 13:42:54.176946,rodeo_normal,1427118192.0,0,1.0,main_w1_handler0,2244419,9013658,False,,3289371.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18959906,32.0,,21943139,1427118189.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-03-23 13:43:16.262248,,1383634,vcf,3.0
,,2015-03-23 13:41:31.190521,rodeo_normal,1427118108.0,0,1.0,main_w1_handler0,2244419,9013619,False,,3289309.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18959906,32.0,,21943139,1427118105.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-03-23 13:41:51.447778,,1383634,vcf,3.0
,,2015-03-23 13:43:59.753255,rodeo_normal,1427118252.0,0,1.0,main_w1_handler1,2244419,9013674,False,,3289425.roundup,slurm,,132112168.0,corral-repl,,,"""allele_count""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18959906,32.0,,21943139,1427118250.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-03-23 13:44:14.507976,,1383634,vcf,2.0
,,2015-03-23 13:38:27.368445,rodeo_normal,1427117922.0,0,1.0,main_w2_handler0,2244419,9013502,False,,3289184.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18960045,32.0,,21943139,1427117919.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-03-23 13:38:47.690249,,880400,vcf,3.0
,,2015-03-23 13:36:50.833996,rodeo_normal,1427117828.0,0,1.0,main_w2_handler0,2244419,9013482,False,,3289168.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18960045,32.0,,21943139,1427117825.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-03-23 13:37:11.474862,,880400,vcf,3.0
,,2015-03-23 19:48:03.964534,rodeo_normal,1427140105.0,0,1.0,main_w1_handler1,2246096,9018054,False,,3298045.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18964276,32.0,,21967390,1427140095.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-03-23 19:48:26.688748,14331.0,42829,vcf,10.0
,,2015-03-22 09:13:22.820558,rodeo_normal,1427015630.0,0,1.0,main_w1_handler1,2244419,9005778,False,,3274469.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18947424,32.0,,21943139,1427015614.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-03-22 09:13:52.023381,,98134506,vcf,16.0
,,2015-03-22 08:41:14.592119,rodeo_normal,1427013700.0,0,1.0,main_w1_handler0,2244419,9005726,False,,3274403.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18947424,32.0,,21943139,1427013684.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-03-22 08:41:41.787156,,98134506,vcf,16.0
,,2015-03-22 09:08:37.800044,rodeo_normal,1427015344.0,0,1.0,main_w1_handler0,2244419,9005759,False,,3274450.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18947424,32.0,,21943139,1427015328.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-03-22 09:09:06.301447,,98134506,vcf,16.0
,,2015-06-19 04:54:59.438847,slurm_normal,1434689726.0,0,1.0,main_w1_handler0,2347950,9689554,False,,3998716.roundup,slurm,,132112168.0,corral-repl,,,"""allele_count""","""/galaxy-repl/localdata/chrom/13001.len""","""13001""",20064310,32.0,,23703611,1434689721.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-06-19 04:55:28.502128,65048.0,332703,vcf,5.0
,,2015-03-30 01:32:43.782567,rodeo_normal,1427679183.0,0,1.0,main_w2_handler1,2253451,9078500,False,,3365262.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19051960,32.0,,22106637,1427679178.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-03-30 01:33:06.878961,61642.0,921750,vcf,5.0
,,2015-03-30 01:31:20.881272,rodeo_normal,1427679097.0,0,1.0,main_w1_handler0,2253451,9078499,False,,3365245.roundup,slurm,,132112168.0,corral-repl,,,"""allele_count""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19051960,32.0,,22106637,1427679092.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-03-30 01:31:37.744519,61642.0,921750,vcf,5.0
,,2015-03-30 03:54:26.612422,rodeo_normal,1427687686.0,0,1.0,main_w2_handler1,2253451,9079093,False,,3365914.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19053500,32.0,,22106637,1427687681.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-03-30 03:54:48.685762,61642.0,762074,vcf,5.0
,,2015-04-07 14:49:07.653687,slurm_normal,1428418176.0,0,1.0,main_w1_handler0,2262264,9159344,False,,3441225.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",19174493,32.0,,22292515,1428418172.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-04-07 14:49:39.049608,59559.0,272365,vcf,4.0
,,2015-04-07 14:51:41.489069,slurm_normal,1428418348.0,0,1.0,main_w2_handler0,2212235,9159466,False,,3441275.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19174506,32.0,,22293030,1428418331.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-04-07 14:52:35.318647,59880.0,272365,vcf,17.0
15.0,len,2015-04-07 14:53:07.574237,slurm_normal,1428418415.0,0,1.0,main_w2_handler1,2212150,9159530,False,,3441299.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/main/files/010/453/dataset_10453471.dat""","""?""",19175033,32.0,,22292653,1428418412.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-04-07 14:53:45.261340,59868.0,272365,vcf,3.0
,,2015-04-07 14:58:17.673814,slurm_normal,1428418761.0,0,1.0,main_w1_handler0,2209653,9159671,False,,3441358.roundup,slurm,,132112168.0,corral-repl,,,"""allele_count""","""/galaxy-repl/localdata/chrom/hg19Haps.len""","""hg19Haps""",19174505,32.0,,22292686,1428418714.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-04-07 14:59:25.046202,59788.0,272365,vcf,47.0
15.0,len,2015-04-07 14:56:27.005120,slurm_normal,1428418655.0,0,1.0,main_w2_handler1,2212150,9159647,False,,3441336.roundup,slurm,,132112168.0,corral-repl,,,"""allele_count""","""/galaxy-repl/main/files/010/453/dataset_10453471.dat""","""?""",19175033,32.0,,22292653,1428418622.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-04-07 14:57:39.667016,59868.0,272365,vcf,33.0
,,2015-04-07 15:01:05.815406,slurm_normal,1428418895.0,0,1.0,main_w1_handler1,2211481,9159684,False,,3441385.roundup,slurm,,132112168.0,corral-repl,,,"""allele_count""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19174527,32.0,,22292625,1428418892.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-04-07 15:01:40.604913,59842.0,272365,vcf,3.0
,,2015-04-01 19:39:19.153260,slurm_normal,1427917186.0,0,1.0,main_w1_handler0,2256556,9117341,False,,3403270.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/main/files/010/759/dataset_10759551.dat""","""Medicago_v3""",19102005,32.0,,21905254,1427917170.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-04-01 19:39:51.952022,61115.0,114559517,vcf,16.0
,,2015-04-06 15:40:27.832341,slurm_normal,1428334845.0,0,1.0,main_w1_handler0,2169381,9150295,False,,3433101.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18453229,32.0,,22272405,1428334839.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-04-06 15:40:47.781422,58078.0,9198168,vcf,6.0
,,2015-04-06 15:40:51.320576,slurm_normal,1428334867.0,0,1.0,main_w2_handler1,2169381,9150305,False,,3433106.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/localdata/chrom/?.len""","""?""",18453229,32.0,,22272405,1428334862.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-04-06 15:41:09.294102,58078.0,9198168,vcf,5.0
,,2015-04-06 19:35:13.170965,slurm_normal,1428348928.0,0,1.0,main_w1_handler0,1759579,9152007,False,,3434695.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19163494,32.0,,21227182,1428348924.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-04-06 19:35:30.009968,8406.0,272365,vcf,4.0
,,2015-04-07 14:30:47.992987,slurm_normal,1428417074.0,0,1.0,main_w2_handler0,2262241,9158814,False,,3440899.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19174325,32.0,,22292354,1428417070.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-04-07 14:31:23.251286,59853.0,272365,vcf,4.0
,,2015-04-07 14:36:27.461471,slurm_normal,1428417450.0,0,1.0,main_w1_handler0,2261722,9158861,False,,3441019.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19174181,32.0,,22292302,1428417423.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfhethom/vcfhethom/0.0.2,0.0.2,,2015-04-07 14:37:33.841439,59850.0,272365,vcf,27.0
