chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.c_and_o_argument_repeat,parameters.chromInfo,parameters.dbkey,parameters.distance,parameters.header,parameters.input,parameters.input.values,parameters.input|__identifier__,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-03-17 10:24:34.793184,slurm_normal,1489746282.0,0,1.0,main_w4_handler1,2978821,15323059,False,,1849168,bed,9463939.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""0""","""false""",,"[{'src': 'hda', 'id': 28178325}]",,"""""",32.0,,35071494.0,1489746277.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2017-03-17 10:24:47.079088,97395.0,5.0
,,2017-03-18 16:02:18.025545,slurm_normal,1489852946.0,0,1.0,main_w3_handler1,3036786,15331460,False,,6854926,bed,9471914.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""","""false""",,"[{'src': 'hda', 'id': 28818835}]",,"""""",32.0,,36699620.0,1489852940.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2017-03-18 16:02:29.528894,,6.0
,,2017-10-23 13:01:04.064437,slurm_normal,1508763681.0,0,1.0,main_w3_handler0,3296356,17175485,False,,27725,bed,11235648,slurm,,132112168.0,corral-repl,,"""36ba7b50b7f211e7ad4d005056ba55fb""","[{""__index__"": 0, ""operation"": ""distinct"", ""col"": ""4""}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""0""","""false""",,"[{'src': 'hda', 'id': 31816121}]",,"""""",32.0,,,1508763676.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2017-10-23 13:01:25.010853,81119.0,5.0
,,2017-10-27 15:18:31.376631,slurm_normal,1509117585.0,0,1.0,main_w3_handler1,3301374,17241121,False,,10753452,bed,11301857,slurm,,132112168.0,corral-repl,,"""162b5126bb2a11e7860b005056ba2773""","[{""__index__"": 0, ""operation"": ""distinct"", ""col"": ""4""}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""0""","""false""",,"[{'src': 'hda', 'id': 31925644}]",,"""""",32.0,,,1509117580.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2017-10-27 15:20:08.666684,81119.0,5.0
,,2017-10-27 15:25:14.941641,slurm_normal,1509117980.0,0,1.0,main_w3_handler0,3301374,17241170,False,,2167972,bed,11301919,slurm,,132112168.0,corral-repl,,"""06197726bb2b11e7aaca005056ba2773""","[{""__index__"": 0, ""operation"": ""distinct"", ""col"": ""4""}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""0""","""false""",,"[{'src': 'hda', 'id': 31925692}]",,"""""",32.0,,,1509117975.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2017-10-27 15:26:50.927236,81119.0,5.0
,,2017-10-27 15:44:56.864433,slurm_normal,1509119497.0,0,1.0,main_w3_handler1,3301374,17241336,False,,25420758,bed,11302130,slurm,,132112168.0,corral-repl,,"""c6f6b588bb2d11e7b803005056ba2773""","[{""__index__"": 0, ""operation"": ""distinct"", ""col"": ""4""}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""0""","""false""",,"[{'src': 'hda', 'id': 31925892}]",,"""""",32.0,,,1509119490.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2017-10-27 15:52:20.461797,81119.0,7.0
,,2016-01-28 05:44:28.509882,slurm_normal,1453959880.0,0,1.0,main_w1_handler0,2572523,11620536,False,,42674,bed,5884963.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/?.len""","""?""","""10""","""False""",23065107,,,"""""",32.0,,27046303.0,1453959876.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-01-28 05:44:42.164716,58746.0,4.0
,,2016-01-28 13:56:00.985749,slurm_normal,1453989582.0,0,1.0,main_w2_handler1,2578770,11622866,False,,271375622,bed,5886917.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""0""","""False""",23068573,,,"""""",32.0,,27816558.0,1453989573.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-01-28 13:59:46.779503,8483.0,9.0
,,2016-01-28 13:24:35.293149,slurm_normal,1453987491.0,0,1.0,main_w2_handler1,2580012,11622645,False,,45848,bed,5886721.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""0""","""False""",23068224,,,"""""",32.0,,27831006.0,1453987487.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-01-28 13:24:56.533898,,4.0
,,2016-01-28 13:56:02.097796,slurm_normal,1453989570.0,0,1.0,main_w1_handler0,2578770,11622868,False,,262880603,bed,5886913.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""0""","""False""",23068575,,,"""""",32.0,,27816558.0,1453989561.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-01-28 13:59:32.335474,8483.0,9.0
,,2016-01-28 13:56:00.344237,slurm_normal,1453989591.0,0,1.0,main_w1_handler0,2578770,11622864,False,,288516276,bed,5886919.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""0""","""False""",23068571,,,"""""",32.0,,27816558.0,1453989582.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-01-28 13:59:54.946224,8483.0,9.0
,,2016-06-16 21:40:46.865402,slurm_normal,1466113288.0,0,1.0,main_w2_handler1,2741393,13188017,False,,55581,bed,7372785.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""","""true""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55581e074ef302a9f'}]",,"""""",32.0,,30862419.0,1466113281.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-06-16 21:41:32.604621,86069.0,7.0
,,2016-06-16 21:40:47.992157,slurm_normal,1466113293.0,0,1.0,main_w1_handler1,2741393,13188019,False,,53100,bed,7372786.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""","""true""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59151842d56a0f1fc'}]",,"""""",32.0,,30862419.0,1466113285.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-06-16 21:41:37.900018,86069.0,8.0
,,2016-01-28 14:50:32.799979,slurm_normal,1453992650.0,0,1.0,main_w1_handler2,2580012,11623496,False,,3858,bed,5887426.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""0""","""False""",23069111,,,"""""",32.0,,27831006.0,1453992646.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-01-28 14:50:53.690809,,4.0
,,2016-06-17 04:06:01.054635,slurm_normal,1466136390.0,0,1.0,main_w1_handler1,2740460,13190013,False,,56270,bed,7374815.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""","""false""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d7d226f8d1edd71a'}]",,"""-s""",32.0,,30895939.0,1466136375.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-06-17 04:06:31.562819,,15.0
,,2016-01-29 11:56:44.733925,slurm_normal,1454068630.0,0,1.0,main_w2_handler1,2581317,11630223,False,,189703,bed,5894224.roundup,slurm,,132112168.0,corral-repl,,,[],"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1000""","""False""",23078834,,,"""""",32.0,,27865344.0,1454068622.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_mergebed/2.22.1,2.22.1,,2016-01-29 11:57:19.783341,,8.0
