chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile1,infile1_filetype,infile2,infile2_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.column1,parameters.column2,parameters.dbkey,parameters.empty_string_filler,parameters.header,parameters.ignore_case,parameters.infile1.values,parameters.infile2.values,parameters.jointype,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-12-15 02:03:47.759761,slurm_normal,1513303441.0,0,,1.0,main_w3_handler0,3249359,17813845,False,55917,tabular,83515,tabular,,11882435,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""1""","""1""","""?""","""0""","""true""","""false""","[{'src': 'hda', 'id': 32775341}]","[{'src': 'hda', 'id': 32868339}]",""" """,32.0,,42601171.0,1513303435.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_easyjoin_tool/1.1.1,1.1.1,,2017-12-15 02:04:02.686101,111286.0,6.0
,,2017-12-15 02:33:45.756532,slurm_normal,1513305240.0,0,,1.0,main_w3_handler0,3249359,17814041,False,2918,tabular,83515,tabular,,11882632,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""2""","""1""","""?""","""0""","""true""","""false""","[{'src': 'hda', 'id': 32775215}]","[{'src': 'hda', 'id': 32868339}]",""" """,32.0,,42601171.0,1513305235.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_easyjoin_tool/1.1.1,1.1.1,,2017-12-15 02:34:04.918569,111286.0,5.0
,,2017-12-15 02:40:05.181110,slurm_normal,1513305622.0,0,,1.0,main_w4_handler0,3365226,17814099,False,416,bedgraph,38156,tabular,,11882693,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""2""","""2""","""mm9""","""0""","""false""","""false""","[{'src': 'hda', 'id': 32942220}]","[{'src': 'hda', 'id': 32942116}]","""-v 2""",32.0,,41077627.0,1513305617.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_easyjoin_tool/1.1.1,1.1.1,,2017-12-15 02:40:23.852243,112910.0,5.0
,,2018-01-19 07:58:32.536341,slurm_normal,1516348728.0,0,,1.0,main_w4_handler0,3393535,18081368,False,315,tabular,10,tabular,,12160014,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""1""","""1""","""hg38""","""0""","""false""","""false""","[{'src': 'hda', 'id': 33384274}]","[{'src': 'hda', 'id': 33384273}]",""" """,32.0,,43272652.0,1516348722.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_easyjoin_tool/1.1.1,1.1.1,,2018-01-19 07:58:49.441745,120177.0,6.0
,,2017-12-15 11:25:59.223314,slurm_normal,1513337179.0,0,,1.0,main_w4_handler1,3366938,17816965,False,152,tabular,2093211,bed,,11885207,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""1""","""4""","""hg38""","""0""","""false""","""false""","[{'src': 'hda', 'id': 32947579}]","[{'src': 'hda', 'id': 32947464}]",""" """,32.0,,42145551.0,1513337173.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_easyjoin_tool/1.1.1,1.1.1,,2017-12-15 11:26:25.732192,116036.0,6.0
,,2018-03-02 08:25:50.819163,slurm_normal,1519979174.0,0,7680.0,1.0,main_w3_handler1,3437338,18577445,False,9208577,tabular,3476495,tabular,,12671839,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""4""","""1""","""mm10""","""""","""false""","""true""","[{'src': 'hda', 'id': 34164256}]","[{'src': 'hda', 'id': 34164390}]","""-a 2""",32.0,,44220346.0,1519979158.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_easyjoin_tool/1.1.1,1.1.1,,2018-03-02 08:26:18.475893,21426.0,16.0
,,2017-12-15 13:20:33.214634,slurm_normal,1513344056.0,0,,1.0,main_w3_handler0,3367003,17818362,False,390,tabular,955425,bed,,11887079,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""1""","""4""","""hg38""","""0""","""false""","""false""","[{'src': 'hda', 'id': 32949837}]","[{'src': 'hda', 'id': 32949748}]",""" """,32.0,,42680283.0,1513344050.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_easyjoin_tool/1.1.1,1.1.1,,2017-12-15 13:20:59.437707,,6.0
,,2017-12-15 15:59:52.255216,slurm_normal,1513353613.0,0,,1.0,main_w4_handler0,3363313,17819951,False,13600,tabular,2300,tabular,,11888722,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""3""","""1""","""?""","""0""","""false""","""true""","[{'src': 'hda', 'id': 32951732}]","[{'src': 'hda', 'id': 32939211}]",""" """,32.0,,42670532.0,1513353606.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_easyjoin_tool/1.1.1,1.1.1,,2017-12-15 16:00:17.383014,118530.0,7.0
,,2017-12-15 18:21:29.568033,slurm_normal,1513362121.0,0,,1.0,main_w4_handler0,3367287,17820963,False,398,tabular,398,tabular,,11889678,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""1""","""2""","""hg38""","""0""","""false""","""false""","[{'src': 'hda', 'id': 32953482}]","[{'src': 'hda', 'id': 32953482}]",""" """,32.0,,42684304.0,1513362098.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_easyjoin_tool/1.1.1,1.1.1,,2017-12-15 18:22:04.148480,,23.0
,,2017-12-15 20:52:09.382595,slurm_normal,1513371143.0,0,,1.0,main_w3_handler1,3367423,17822082,False,391,tabular,1735563,bed,,11890775,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""1""","""4""","""hg38""","""0""","""false""","""false""","[{'src': 'hda', 'id': 32955593}]","[{'src': 'hda', 'id': 32955257}]",""" """,32.0,,42687913.0,1513371137.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_easyjoin_tool/1.1.1,1.1.1,,2017-12-15 20:52:25.668366,116563.0,6.0
