create_time,destination_id,end_epoch,exit_code,file_list,file_list_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.adv.alignments,parameters.adv.header,parameters.adv.matepairDist,parameters.adv.minMapq,parameters.adv.primary,parameters.adv.region,parameters.chromInfo,parameters.dbkey,parameters.input.__current_case__,parameters.input.accession,parameters.input.file_list.values,parameters.input.input_select,parameters.outputformat,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-10-26 18:55:28.361015,slurm_normal,1477508898.0,0,,,1.0,main_w4_handler1,2861787,14183211,False,,8395876.roundup,slurm,,132112168.0,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR1605321,,accession_number,"""bam""",32.0,,33920360,1477508164.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.7.0.1,2.7.0.1,,2016-10-26 19:08:22.590345,93088.0,734.0
2016-10-26 18:56:20.207284,slurm_normal,1477509037.0,0,,,1.0,main_w4_handler0,2861787,14183225,False,,8395881.roundup,slurm,,132112168.0,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR1605320,,accession_number,"""bam""",32.0,,33920360,1477508246.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.7.0.1,2.7.0.1,,2016-10-26 19:10:40.093786,93088.0,791.0
2016-10-26 18:57:33.330699,slurm_normal,1477509066.0,0,,,1.0,main_w3_handler0,2861787,14183235,False,,8395889.roundup,slurm,,132112168.0,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR1605324,,accession_number,"""bam""",32.0,,33920360,1477508310.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.7.0.1,2.7.0.1,,2016-10-26 19:11:09.973708,93088.0,756.0
2016-10-26 18:58:14.580291,slurm_normal,1477509218.0,0,,,1.0,main_w3_handler0,2861787,14183240,False,,8395954.roundup,slurm,,132112168.0,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR1605326,,accession_number,"""bam""",32.0,,33920360,1477508929.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.7.0.1,2.7.0.1,,2016-10-26 19:13:43.626806,93088.0,289.0
2016-10-26 19:38:44.695598,slurm_normal,1477511072.0,0,,,1.0,main_w4_handler1,2861787,14183460,False,,8396123.roundup,slurm,,132112168.0,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR1605324,,accession_number,"""sam""",32.0,,33920360,1477510755.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.7.0.1,2.7.0.1,,2016-10-26 19:45:46.702672,93088.0,317.0
2016-10-26 20:12:05.668598,slurm_normal,1477513221.0,0,,,1.0,main_w3_handler0,2868947,14183628,False,,8396290.roundup,slurm,,132112168.0,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR1767341,,accession_number,"""bam""",32.0,,33926781,1477512761.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.7.0.1,2.7.0.1,,2016-10-26 20:20:23.231803,91348.0,460.0
2016-10-26 20:08:38.363379,slurm_normal,1477513563.0,0,,,1.0,main_w4_handler1,2868947,14183618,False,,8396270.roundup,slurm,,132112168.0,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR3181105,,accession_number,"""bam""",32.0,,33926781,1477512551.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.7.0.1,2.7.0.1,,2016-10-26 20:26:06.337438,91348.0,1012.0
2016-10-26 20:36:08.839232,slurm_normal,1477514703.0,0,,,1.0,main_w3_handler0,2870406,14183739,False,,8396429.roundup,slurm,,132112168.0,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,ERR231646,,accession_number,"""bam""",32.0,,33794160,1477514290.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.7.0.1,2.7.0.1,,2016-10-26 20:45:09.836503,77250.0,413.0
2016-10-27 00:11:55.627747,slurm_normal,1477528198.0,0,,,1.0,main_w3_handler0,2870406,14184890,False,,8397623.roundup,slurm,,132112168.0,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR349980,,accession_number,"""bam""",32.0,,33794160,1477527161.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.7.0.1,2.7.0.1,,2016-10-27 00:30:05.601502,77250.0,1037.0
2016-10-27 00:47:18.887351,slurm_normal,1477529377.0,0,,,1.0,main_w3_handler1,2696443,14185098,False,,8397824.roundup,slurm,,132112168.0,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR899534,,accession_number,"""bam""",32.0,,33931367,1477529289.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.7.0.1,2.7.0.1,,2016-10-27 00:49:41.456466,17910.0,88.0
