chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_collection1,input_collection1_filetype,input_collection2,input_collection2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input_type.__current_case__,parameters.input_type.input_collection.values,parameters.input_type.input_type_selector,parameters.input_type.read1.values,parameters.input_type.read2.values,parameters.minOverlap,parameters.pctMaxDiff,parameters.splitChar,parameters.stitchLengthReport,processor_count,read1,read1_filetype,read2,read2_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-12-17 09:56:45.215306,slurm_normal,1513504617.0,0,,1.0,main_w3_handler0,3341152,17828677,False,,,,,,11902186,slurm,,132112168.0,corral-repl,,"""952ac82ce31011e7abf3005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 32714062}]","[{'src': 'hda', 'id': 32714063}]","""4""","""10.0""",""" ""","""false""",32.0,9876044.0,fastqsanger,9872248.0,fastqsanger,,,1513504613.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-17 09:57:00.029428,117327.0,4.0
,,2017-12-17 09:56:33.206800,slurm_normal,1513504609.0,0,,1.0,main_w3_handler1,3308628,17828676,False,,,,,,11902185,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,,paired,"[{'src': 'hda', 'id': 32969818}]","[{'src': 'hda', 'id': 32969819}]","""6""","""8.0""",""" ""","""false""",32.0,22551527.0,fastqsanger,22560783.0,fastqsanger,,41700979.0,1513504604.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-17 09:56:54.215129,115015.0,5.0
,,2017-12-17 09:58:33.002078,slurm_normal,1513504728.0,0,,1.0,main_w3_handler1,3308628,17828696,False,,,,,,11902207,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,,paired,"[{'src': 'hda', 'id': 32969820}]","[{'src': 'hda', 'id': 32969822}]","""6""","""8.0""",""" ""","""false""",32.0,22331779.0,fastqsanger,22337693.0,fastqsanger,,41700979.0,1513504723.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-17 09:58:50.796433,115015.0,5.0
,,2017-12-17 09:58:50.924661,slurm_normal,1513504743.0,0,,1.0,main_w3_handler1,3308628,17828697,False,,,,,,11902208,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",0,,paired,"[{'src': 'hda', 'id': 32969823}]","[{'src': 'hda', 'id': 32969825}]","""6""","""8.0""",""" ""","""false""",32.0,22576000.0,fastqsanger,22585610.0,fastqsanger,,41700979.0,1513504738.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-17 09:59:06.209331,115015.0,5.0
,,2017-12-17 10:04:07.131502,slurm_normal,1513505062.0,0,,1.0,main_w3_handler0,3341152,17828709,False,,,,,,11902218,slurm,,132112168.0,corral-repl,,"""9cbad162e31111e7a2b2005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 32714064}]","[{'src': 'hda', 'id': 32714065}]","""4""","""10.0""",""" ""","""false""",32.0,13948383.0,fastqsanger,13955561.0,fastqsanger,,,1513505057.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-17 10:04:25.077517,117327.0,5.0
,,2017-12-17 11:50:07.798131,slurm_normal,1513511422.0,0,,1.0,main_w3_handler0,3341152,17829539,False,,,,,,11902736,slurm,,132112168.0,corral-repl,,"""6caf55b0e32011e78c50005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 32714081}]","[{'src': 'hda', 'id': 32714082}]","""4""","""10.0""",""" ""","""false""",32.0,25891893.0,fastqsanger,25928265.0,fastqsanger,,,1513511416.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-17 11:50:23.903745,117327.0,6.0
,,2017-12-17 10:52:26.403708,slurm_normal,1513507965.0,0,,1.0,main_w4_handler0,3341152,17829324,False,,,,,,11902435,slurm,,132112168.0,corral-repl,,"""590b9698e31811e7bd07005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 32714074}]","[{'src': 'hda', 'id': 32714075}]","""4""","""10.0""",""" ""","""false""",32.0,19443384.0,fastqsanger,19446192.0,fastqsanger,,,1513507959.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-17 10:52:49.252884,117327.0,6.0
,,2017-12-17 10:58:47.009930,slurm_normal,1513508347.0,0,,1.0,main_w3_handler0,3341152,17829353,False,,,,,,11902469,slurm,,132112168.0,corral-repl,,"""3db78c84e31911e7997a005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 32714076}]","[{'src': 'hda', 'id': 32714077}]","""4""","""10.0""",""" ""","""false""",32.0,17173515.0,fastqsanger,17206235.0,fastqsanger,,,1513508341.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-17 10:59:08.577707,117327.0,6.0
,,2017-12-17 11:55:39.493720,slurm_normal,1513511771.0,0,,1.0,main_w4_handler1,3341152,17829570,False,,,,,,11902777,slurm,,132112168.0,corral-repl,,"""320cbf50e32111e78d46005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 32714083}]","[{'src': 'hda', 'id': 32714085}]","""4""","""10.0""",""" ""","""false""",32.0,23787876.0,fastqsanger,23773002.0,fastqsanger,,,1513511765.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-17 11:56:19.172355,117327.0,6.0
,,2017-12-17 12:11:39.045059,slurm_normal,1513512722.0,0,,1.0,main_w3_handler1,3341152,17829642,False,,,,,,11902869,slurm,,132112168.0,corral-repl,,"""6bbe8e66e32311e78d46005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",0,,paired,"[{'src': 'hda', 'id': 32714091}]","[{'src': 'hda', 'id': 32714093}]","""4""","""10.0""",""" ""","""false""",32.0,63815203.0,fastqsanger,63791647.0,fastqsanger,,,1513512711.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/lparsons/fastq_join/fastq_join/1.1.2-806.1,1.1.2-806.1,,2017-12-17 12:12:06.217963,117327.0,11.0
