chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__current_case__,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-03-10 06:20:20.356752,rodeo_normal,1425968444.0,0.0,,1.0,main_w1_handler0,612462,8904871,False,,949,vcf_bgzip,3085687.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18798189,,32.0,,21057500,1425968442.0,ok,1023996.0,CONVERTER_vcf_bgzip_to_tabix_0,1.0.0,,2015-03-10 06:20:47.366919,13066.0,2.0
,,2015-03-10 06:21:11.658251,rodeo_normal,1425968494.0,0.0,,1.0,main_w1_handler1,612462,8904875,False,,970,vcf_bgzip,3085693.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18798193,,32.0,,21057500,1425968492.0,ok,1023996.0,CONVERTER_vcf_bgzip_to_tabix_0,1.0.0,,2015-03-10 06:21:36.602096,13066.0,2.0
,,2015-03-10 06:26:58.147708,rodeo_normal,1425968838.0,0.0,,1.0,main_w1_handler0,612462,8904896,False,,936,vcf_bgzip,3085752.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18798221,,32.0,,21057500,1425968836.0,ok,1023996.0,CONVERTER_vcf_bgzip_to_tabix_0,1.0.0,,2015-03-10 06:27:19.611979,13066.0,2.0
,,2015-03-10 06:27:32.590000,rodeo_normal,1425968877.0,0.0,,1.0,main_w2_handler0,612462,8904905,False,,949,vcf_bgzip,3085768.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18798240,,32.0,,21057500,1425968875.0,ok,1023996.0,CONVERTER_vcf_bgzip_to_tabix_0,1.0.0,,2015-03-10 06:28:01.611627,13066.0,2.0
,,2015-03-10 06:32:19.451414,rodeo_normal,1425969160.0,0.0,,1.0,main_w2_handler1,612462,8904942,False,,938,vcf_bgzip,3085854.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18798278,,32.0,,21057500,1425969157.0,ok,1023996.0,CONVERTER_vcf_bgzip_to_tabix_0,1.0.0,,2015-03-10 06:32:42.857742,13066.0,3.0
,,2015-03-10 06:32:54.786730,rodeo_normal,1425969197.0,0.0,,1.0,main_w2_handler1,612462,8904946,False,,952,vcf_bgzip,3085864.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18798282,,32.0,,21057500,1425969194.0,ok,1023996.0,CONVERTER_vcf_bgzip_to_tabix_0,1.0.0,,2015-03-10 06:33:18.920991,13066.0,3.0
,,2015-03-10 06:33:18.638012,rodeo_normal,1425969264.0,0.0,,1.0,main_w1_handler1,612462,8904949,False,,972,vcf_bgzip,3085880.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18798285,,32.0,,21057500,1425969261.0,ok,1023996.0,CONVERTER_vcf_bgzip_to_tabix_0,1.0.0,,2015-03-10 06:34:25.811718,13066.0,3.0
,,2015-03-10 12:21:11.211260,rodeo_normal,1425990088.0,0.0,,1.0,main_w1_handler0,612462,8906902,False,,950,vcf_bgzip,3089772.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18801325,,32.0,,21057500,1425990085.0,ok,1023996.0,CONVERTER_vcf_bgzip_to_tabix_0,1.0.0,,2015-03-10 12:21:31.670990,13066.0,3.0
,,2015-03-10 12:20:01.876759,rodeo_normal,1425990031.0,0.0,,1.0,main_w1_handler0,612462,8906882,False,,937,vcf_bgzip,3089735.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18801303,,32.0,,21057500,1425990027.0,ok,1023996.0,CONVERTER_vcf_bgzip_to_tabix_0,1.0.0,,2015-03-10 12:20:32.692370,13066.0,4.0
,,2015-03-10 12:20:10.604315,rodeo_normal,1425990036.0,0.0,,1.0,main_w1_handler1,612462,8906886,False,,936,vcf_bgzip,3089733.roundup,slurm,,132112168.0,corral-repl,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18801308,,32.0,,21057500,1425990027.0,ok,1023996.0,CONVERTER_vcf_bgzip_to_tabix_0,1.0.0,,2015-03-10 12:20:38.782091,13066.0,9.0
