chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1|__identifier__,parameters.input2,parameters.input2.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-04-11 02:37:27.041826,slurm_normal,1428719890.0,0,,1.0,main_w1_handler0,2266657,9199863,False,,48916,interval,1057098,interval,3482221.roundup,slurm,,132112168.0,corral-repl,,"""a8b00092dff311e4b2c3005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235323,,,19235200,,32.0,,22392024.0,1428719885.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 02:38:12.663706,60169.0,5.0
,,2015-04-11 02:05:51.806961,slurm_normal,1428717978.0,0,,1.0,main_w1_handler0,2266644,9199711,False,,103376,interval,1064310,interval,3481999.roundup,slurm,,132112168.0,corral-repl,,"""44f92cb2dfef11e48bc5005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235023,,,19234698,,32.0,,22371661.0,1428717974.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 02:06:20.229118,60169.0,4.0
,,2015-04-11 02:05:50.487923,slurm_normal,1428717968.0,0,,1.0,main_w2_handler1,2266644,9199709,False,,1134989,interval,1064310,interval,3481997.roundup,slurm,,132112168.0,corral-repl,,"""44f92cb2dfef11e48bc5005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235021,,,19234698,,32.0,,22371661.0,1428717964.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 02:06:10.212146,60169.0,4.0
,,2015-04-11 02:06:02.804642,slurm_normal,1428718073.0,0,,1.0,main_w1_handler0,2266644,9199730,False,,991856,interval,668234,interval,3482031.roundup,slurm,,132112168.0,corral-repl,,"""44f92cb2dfef11e48bc5005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235052,,,19235047,,32.0,,22371661.0,1428718068.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 02:07:55.587286,60169.0,5.0
,,2015-04-11 02:25:51.025119,slurm_normal,1428719168.0,0,,1.0,main_w1_handler0,2266652,9199803,False,,1134989,interval,1064310,interval,3482133.roundup,slurm,,132112168.0,corral-repl,,"""112324e4dff211e4ab4a005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235247,,,19235199,,32.0,,22392024.0,1428719162.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 02:26:10.785499,60169.0,6.0
,,2015-04-11 02:37:20.108367,slurm_normal,1428719874.0,0,,1.0,main_w1_handler0,2266657,9199859,False,,38537,interval,1064310,interval,3482218.roundup,slurm,,132112168.0,corral-repl,,"""a8b00092dff311e4b2c3005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235318,,,19235199,,32.0,,22392024.0,1428719869.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 02:37:55.860012,60169.0,5.0
,,2015-04-11 02:37:28.591714,slurm_normal,1428719893.0,0,,1.0,main_w2_handler1,2266657,9199864,False,,120879,interval,1057098,interval,3482222.roundup,slurm,,132112168.0,corral-repl,,"""a8b00092dff311e4b2c3005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235324,,,19235200,,32.0,,22392024.0,1428719888.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 02:38:15.658849,60169.0,5.0
,,2015-04-11 02:37:29.378223,slurm_normal,1428719922.0,0,,1.0,main_w2_handler1,2266657,9199865,False,,1423531,interval,1057098,interval,3482226.roundup,slurm,,132112168.0,corral-repl,,"""a8b00092dff311e4b2c3005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235326,,,19235200,,32.0,,22392024.0,1428719916.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 02:38:44.886600,60169.0,6.0
,,2015-04-11 02:37:21.347297,slurm_normal,1428719870.0,0,,1.0,main_w2_handler1,2266657,9199860,False,,103376,interval,1064310,interval,3482217.roundup,slurm,,132112168.0,corral-repl,,"""a8b00092dff311e4b2c3005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235319,,,19235199,,32.0,,22392024.0,1428719865.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 02:37:54.673344,60169.0,5.0
,,2015-04-11 02:25:54.137120,slurm_normal,1428719323.0,0,,1.0,main_w1_handler1,2266652,9199808,False,,48916,interval,1057098,interval,3482152.roundup,slurm,,132112168.0,corral-repl,,"""112324e4dff211e4ab4a005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235253,,,19235200,,32.0,,22392024.0,1428719318.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 02:28:45.233007,60169.0,5.0
,,2015-04-11 02:25:51.588559,slurm_normal,1428719169.0,0,,1.0,main_w1_handler0,2266652,9199804,False,,38537,interval,1064310,interval,3482134.roundup,slurm,,132112168.0,corral-repl,,"""112324e4dff211e4ab4a005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235248,,,19235199,,32.0,,22392024.0,1428719165.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 02:26:11.048300,60169.0,4.0
,,2015-04-11 02:25:53.402766,slurm_normal,1428719190.0,0,,1.0,main_w1_handler0,2266652,9199807,False,,1423531,interval,1057098,interval,3482139.roundup,slurm,,132112168.0,corral-repl,,"""112324e4dff211e4ab4a005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235252,,,19235200,,32.0,,22392024.0,1428719186.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 02:26:33.364971,60169.0,4.0
,,2015-04-11 02:25:59.208208,slurm_normal,1428719360.0,0,,1.0,main_w2_handler0,2266652,9199817,False,,776186,interval,670563,interval,3482160.roundup,slurm,,132112168.0,corral-repl,,"""112324e4dff211e4ab4a005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235255,,,19235262,,32.0,,22392024.0,1428719355.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 02:29:21.745309,60169.0,5.0
,,2015-04-11 02:25:54.877024,slurm_normal,1428719205.0,0,,1.0,main_w2_handler0,2266652,9199809,False,,120879,interval,1057098,interval,3482142.roundup,slurm,,132112168.0,corral-repl,,"""112324e4dff211e4ab4a005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235254,,,19235200,,32.0,,22392024.0,1428719201.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 02:26:48.027118,60169.0,4.0
,,2015-04-11 02:25:52.160189,slurm_normal,1428719183.0,0,,1.0,main_w1_handler0,2266652,9199805,False,,103376,interval,1064310,interval,3482137.roundup,slurm,,132112168.0,corral-repl,,"""112324e4dff211e4ab4a005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235249,,,19235199,,32.0,,22392024.0,1428719178.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 02:26:24.804655,60169.0,5.0
,,2015-04-11 02:37:24.618634,slurm_normal,1428719904.0,0,,1.0,main_w2_handler0,2266657,9199862,False,,1134989,interval,1064310,interval,3482223.roundup,slurm,,132112168.0,corral-repl,,"""a8b00092dff311e4b2c3005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235322,,,19235199,,32.0,,22392024.0,1428719898.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 02:38:27.218252,60169.0,6.0
,,2015-04-11 02:37:48.598877,slurm_normal,1428720015.0,0,,1.0,main_w2_handler0,2266657,9199878,False,,991856,interval,668234,interval,3482243.roundup,slurm,,132112168.0,corral-repl,,"""a8b00092dff311e4b2c3005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235339,,,19235336,,32.0,,22392024.0,1428720009.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 02:40:20.133726,60169.0,6.0
,,2015-04-11 02:37:41.503692,slurm_normal,1428719991.0,0,,1.0,main_w1_handler1,2266657,9199875,False,,776186,interval,670563,interval,3482240.roundup,slurm,,132112168.0,corral-repl,,"""a8b00092dff311e4b2c3005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19235325,,,19235335,,32.0,,22392024.0,1428719986.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/coverage/gops_coverage_1/1.0.0,1.0.0,,2015-04-11 02:39:53.591460,60169.0,5.0
