create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,merge|inputs_0|input,merge|inputs_0|input_filetype,merge|inputs_10|input,merge|inputs_10|input_filetype,merge|inputs_11|input,merge|inputs_11|input_filetype,merge|inputs_12|input,merge|inputs_12|input_filetype,merge|inputs_13|input,merge|inputs_13|input_filetype,merge|inputs_14|input,merge|inputs_14|input_filetype,merge|inputs_15|input,merge|inputs_15|input_filetype,merge|inputs_16|input,merge|inputs_16|input_filetype,merge|inputs_17|input,merge|inputs_17|input_filetype,merge|inputs_1|input,merge|inputs_1|input_filetype,merge|inputs_2|input,merge|inputs_2|input_filetype,merge|inputs_3|input,merge|inputs_3|input_filetype,merge|inputs_4|input,merge|inputs_4|input_filetype,merge|inputs_5|input,merge|inputs_5|input_filetype,merge|inputs_6|input,merge|inputs_6|input_filetype,merge|inputs_7|input,merge|inputs_7|input_filetype,merge|inputs_8|input,merge|inputs_8|input_filetype,merge|inputs_9|input,merge|inputs_9|input_filetype,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input|__identifier__,parameters.merge.__current_case__,parameters.merge.input.values,parameters.merge.inputs,parameters.merge.type,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-06-09 14:10:14.394643,slurm_normal,1497017452.0,0,1.0,main_w3_handler1,3143341,16064950,False,,0,fasta,10153648.roundup,slurm,,132112168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,"[{'src': 'hda', 'id': 29967335}]",[],fasta,32.0,,38499182,1497017448.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_merge_files/1.20.0,1.20.0,,2017-06-09 14:10:57.032121,106930.0,4.0
2017-06-09 14:10:15.158370,slurm_normal,1497017492.0,0,1.0,main_w4_handler0,3143341,16064951,False,,0,fasta,10153662.roundup,slurm,,132112168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,"[{'src': 'hda', 'id': 29967340}]",[],fasta,32.0,,38499182,1497017486.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_merge_files/1.20.0,1.20.0,,2017-06-09 14:11:37.853133,106930.0,6.0
2017-06-09 14:10:13.846019,slurm_normal,1497017474.0,0,1.0,main_w4_handler0,3143341,16064949,False,,0,fasta,10153657.roundup,slurm,,132112168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,"[{'src': 'hda', 'id': 29967330}]",[],fasta,32.0,,38499182,1497017470.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_merge_files/1.20.0,1.20.0,,2017-06-09 14:11:16.102687,106930.0,4.0
2017-06-09 14:10:17.107858,slurm_normal,1497017484.0,0,1.0,main_w4_handler1,3143341,16064955,False,,0,fasta,10153659.roundup,slurm,,132112168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,"[{'src': 'hda', 'id': 29967360}]",[],fasta,32.0,,38499182,1497017479.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_merge_files/1.20.0,1.20.0,,2017-06-09 14:11:26.081877,106930.0,5.0
2017-06-09 14:10:18.780369,slurm_normal,1497017482.0,0,1.0,main_w3_handler1,3143341,16064959,False,,0,fasta,10153658.roundup,slurm,,132112168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,"[{'src': 'hda', 'id': 29967373}]",[],fasta,32.0,,38499182,1497017476.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_merge_files/1.20.0,1.20.0,,2017-06-09 14:11:26.479560,106930.0,6.0
2017-06-09 14:10:19.922636,slurm_normal,1497017503.0,0,1.0,main_w4_handler1,3143341,16064961,False,,0,fasta,10153663.roundup,slurm,,132112168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,"[{'src': 'hda', 'id': 29967384}]",[],fasta,32.0,,38499182,1497017487.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_merge_files/1.20.0,1.20.0,,2017-06-09 14:11:46.762807,106930.0,16.0
2017-06-09 14:10:21.825990,slurm_normal,1497017515.0,0,1.0,main_w4_handler1,3143341,16064965,False,,0,fasta,10153667.roundup,slurm,,132112168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,"[{'src': 'hda', 'id': 29969213}]",[],fasta,32.0,,38499182,1497017510.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_merge_files/1.20.0,1.20.0,,2017-06-09 14:11:58.474631,106930.0,5.0
2017-06-09 14:10:10.616738,slurm_normal,1497017434.0,0,1.0,main_w3_handler1,3143341,16064943,False,,17599,fasta,10153638.roundup,slurm,,132112168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,"[{'src': 'hda', 'id': 29967111}]",[],fasta,32.0,,38499182,1497017428.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_merge_files/1.20.0,1.20.0,,2017-06-09 14:10:37.455984,106930.0,6.0
2017-06-09 14:10:10.977655,slurm_normal,1497017450.0,0,1.0,main_w3_handler1,3143341,16064944,False,,0,fasta,10153647.roundup,slurm,,132112168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,"[{'src': 'hda', 'id': 29967304}]",[],fasta,32.0,,38499182,1497017445.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_merge_files/1.20.0,1.20.0,,2017-06-09 14:10:56.792514,106930.0,5.0
2017-06-09 14:10:11.522632,slurm_normal,1497017426.0,0,1.0,main_w4_handler1,3143341,16064945,False,,0,fasta,10153635.roundup,slurm,,132112168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,"[{'src': 'hda', 'id': 29967309}]",[],fasta,32.0,,38499182,1497017422.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_merge_files/1.20.0,1.20.0,,2017-06-09 14:10:28.735486,106930.0,4.0
2017-06-09 14:10:12.121010,slurm_normal,1497017433.0,0,1.0,main_w3_handler0,3143341,16064946,False,,0,fasta,10153637.roundup,slurm,,132112168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,"[{'src': 'hda', 'id': 29967314}]",[],fasta,32.0,,38499182,1497017428.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_merge_files/1.20.0,1.20.0,,2017-06-09 14:10:40.185388,106930.0,5.0
2017-06-09 14:10:12.679057,slurm_normal,1497017433.0,0,1.0,main_w3_handler0,3143341,16064947,False,,0,fasta,10153639.roundup,slurm,,132112168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,"[{'src': 'hda', 'id': 29967319}]",[],fasta,32.0,,38499182,1497017428.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_merge_files/1.20.0,1.20.0,,2017-06-09 14:10:40.512901,106930.0,5.0
2017-06-09 14:10:19.402064,slurm_normal,1497017465.0,0,1.0,main_w3_handler0,3143341,16064960,False,,0,fasta,10153655.roundup,slurm,,132112168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,"[{'src': 'hda', 'id': 29967379}]",[],fasta,32.0,,38499182,1497017461.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_merge_files/1.20.0,1.20.0,,2017-06-09 14:11:10.098220,106930.0,4.0
2017-06-09 14:10:15.664273,slurm_normal,1497017441.0,0,1.0,main_w3_handler0,3143341,16064952,False,,0,fasta,10153641.roundup,slurm,,132112168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,0,"[{'src': 'hda', 'id': 29967346}]",[],fasta,32.0,,38499182,1497017437.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_merge_files/1.20.0,1.20.0,,2017-06-09 14:10:45.158025,106930.0,4.0
