chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.adv_options.__current_case__,parameters.adv_options.adv_options_input,parameters.adv_options.adv_options_selector,parameters.chromInfo,parameters.dbkey,parameters.invert,parameters.isect_union,parameters.loci,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.ref_file.__class__,parameters.reference_source.ref_file.value,parameters.reference_source.reference_source_selector,parameters.vcf_input1,parameters.vcf_input2,parameters.window_size,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,vcf_input1,vcf_input1_filetype,vcf_input2,vcf_input2_filetype,runtime
,,2015-05-04 19:06:22.441457,slurm_normal,1430766456.0,0,1.0,main_w1_handler1,2210200,9390149,False,,3722930.roundup,slurm,,132112168.0,corral-repl,,,1,,False,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""","""-i""","""False""",0,hg19,,,cached,19565182,19565180,"""30""",32.0,,,,21311320,1430766405.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfvcfintersect/vcfvcfintersect/0.0.2,0.0.2,,2015-05-04 19:07:42.668406,,1841195,vcf,1663740,vcf,51.0
,,2015-03-16 22:26:24.147021,rodeo_normal,1426544837.0,0,1.0,main_w2_handler1,2210200,8961535,False,,3191111.roundup,slurm,,132112168.0,corral-repl,,,1,,False,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""","""-i""","""False""",0,Homo_sapiens_nuHg19_mtrCRS,,,cached,18875931,18875930,"""30""",32.0,,,,21311320,1426544800.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfvcfintersect/vcfvcfintersect/0.0.2,0.0.2,,2015-03-16 22:27:19.781163,,1431034,vcf,1419173,vcf,37.0
,,2015-03-17 16:28:30.139801,rodeo_normal,1426609729.0,0,1.0,main_w2_handler1,2210200,8969011,False,,3204657.roundup,slurm,,132112168.0,corral-repl,,,1,,False,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""","""-i""","""False""",0,hg19,,,cached,18886557,18886556,"""30""",32.0,,,,21311320,1426609723.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfvcfintersect/vcfvcfintersect/0.0.2,0.0.2,,2015-03-17 16:28:50.878467,,1423157,vcf,1416650,vcf,6.0
,,2015-03-17 19:09:42.931579,rodeo_normal,1426619541.0,0,1.0,main_w2_handler0,2210200,8970692,False,,3208088.roundup,slurm,,132112168.0,corral-repl,,,1,,False,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""","""-i""","""False""",0,hg19,,,cached,18888720,18888720,"""30""",32.0,,,,21311320,1426619399.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfvcfintersect/vcfvcfintersect/0.0.2,0.0.2,,2015-03-17 19:12:26.484608,,1345472,vcf,1345472,vcf,142.0
,,2015-03-17 21:22:23.320765,rodeo_normal,1426627364.0,0,1.0,main_w1_handler0,2210200,8971975,False,,3210293.roundup,slurm,,132112168.0,corral-repl,,,1,,False,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""","""-i""","""False""",0,hg19,,,cached,18888718,18888716,"""30""",32.0,,,,21311320,1426627357.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfvcfintersect/vcfvcfintersect/0.0.2,0.0.2,,2015-03-17 21:22:45.612740,,79841,vcf,81525,vcf,7.0
,,2015-03-17 21:08:20.220430,rodeo_normal,1426626557.0,0,1.0,main_w2_handler1,2210200,8971905,False,,3210152.roundup,slurm,,132112168.0,corral-repl,,,1,,False,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""","""-i""","""False""",0,hg19,,,cached,18888720,18888719,"""30""",32.0,,,,21311320,1426626510.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfvcfintersect/vcfvcfintersect/0.0.2,0.0.2,,2015-03-17 21:09:23.619852,,1345472,vcf,1337281,vcf,47.0
,,2015-03-17 22:11:31.823263,rodeo_normal,1426630330.0,0,1.0,main_w2_handler1,2210200,8972413,False,,3211000.roundup,slurm,,132112168.0,corral-repl,,,1,,False,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""","""-i""","""False""",0,hg19,,,cached,18892059,18892058,"""30""",32.0,,,,21311320,1426630300.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfvcfintersect/vcfvcfintersect/0.0.2,0.0.2,,2015-03-17 22:12:14.225722,,1332117,vcf,1326674,vcf,30.0
,,2015-03-18 12:51:12.370941,rodeo_normal,1426684563.0,0,1.0,main_w1_handler1,2240966,8976652,False,,3219772.roundup,slurm,,132112168.0,corral-repl,,"""6ba77ab0cd6d11e49efd005056a51846""",1,,False,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""False""","""-i""","""False""",1,18892152,,,history,18898140,18892153,"""1""",32.0,122387948.0,fasta,,21829099,1426683814.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfvcfintersect/vcfvcfintersect/0.0.2,0.0.2,,2015-03-18 13:16:07.488505,58185.0,187738,vcf,4185978690,vcf,749.0
,,2015-03-18 14:04:26.876468,rodeo_normal,1426689039.0,0,1.0,main_w2_handler0,2241070,8977351,False,,3221345.roundup,slurm,,132112168.0,corral-repl,,"""a67c661ecd7711e4a73e005056a52a46""",1,,False,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""False""","""-i""","""False""",1,18892152,,,history,18899331,18892153,"""1""",32.0,122387948.0,fasta,,21829099,1426688239.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfvcfintersect/vcfvcfintersect/0.0.2,0.0.2,,2015-03-18 14:30:42.342679,58185.0,15432,vcf,4185978690,vcf,800.0
,,2015-03-18 22:45:15.724214,rodeo_normal,1426722978.0,0,1.0,main_w1_handler0,2203038,8982768,False,,3231057.roundup,slurm,,132112168.0,corral-repl,,"""6e0548a2cdc011e4a9f8005056a51846""",1,,False,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""","""-i""","""False""",0,hg19,,,cached,18907535,18907536,"""30""",32.0,,,,20937445,1426722975.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfvcfintersect/vcfvcfintersect/0.0.2,0.0.2,,2015-03-18 23:56:21.266949,58037.0,24214,vcf,2156,vcf,3.0
