create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input.values,parameters.option,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-02-26 01:04:36.556695,slurm_normal,1519607091.0,0,7680.0,1.0,main_w3_handler1,3442239,18517226,False,,1316,bed,12613361,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34063688}]","""""",32.0,,44159768.0,1519607087.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-26 01:04:51.916482,,4.0
2018-02-26 14:31:46.011698,slurm_normal,1519655518.0,0,7680.0,1.0,main_w4_handler1,2936266,18522783,False,,1142872,bed,12618798,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 34072377}]","""""",32.0,,42997850.0,1519655513.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-26 14:32:00.908546,68782.0,5.0
2018-02-26 15:40:07.353964,slurm_normal,1519659617.0,0,7680.0,1.0,main_w3_handler1,2925858,18523430,False,,712707,bed,12619381,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38Patch2.len""","""hg38Patch2""","[{'src': 'hda', 'id': 34073192}]","""""",32.0,,43900020.0,1519659613.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-26 15:40:18.990451,93636.0,4.0
2018-02-26 16:39:04.745801,slurm_normal,1519663161.0,0,7680.0,1.0,main_w4_handler1,3443175,18524318,False,,2402993,bed,12620271,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10Patch1.len""","""mm10Patch1""","[{'src': 'hda', 'id': 34074857}]","""""",32.0,,43979138.0,1519663152.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-26 16:39:22.783166,3741.0,9.0
2018-02-26 19:27:29.033498,slurm_normal,1519673259.0,0,7680.0,1.0,main_w4_handler1,3320392,18526059,False,,734,bed,12622103,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34078506}]","""""",32.0,,44175929.0,1519673255.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-26 19:27:40.277227,115950.0,4.0
2018-02-26 19:39:59.180160,slurm_normal,1519674497.0,0,7680.0,1.0,main_w4_handler0,3320392,18526256,False,,6104,bed,12622305,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34078518}]","""""",32.0,,44175929.0,1519674493.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-26 19:48:18.750906,115950.0,4.0
2018-02-26 19:40:00.251852,slurm_normal,1519674508.0,0,7680.0,1.0,main_w3_handler1,3320392,18526258,False,,686,bed,12622307,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34078521}]","""""",32.0,,44175929.0,1519674502.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-26 19:48:30.402510,115950.0,6.0
2018-02-26 19:39:59.636189,slurm_normal,1519674493.0,0,7680.0,1.0,main_w4_handler1,3320392,18526257,False,,1981,bed,12622304,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34078520}]","""""",32.0,,44175929.0,1519674488.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-26 19:48:14.784350,115950.0,5.0
2018-02-26 20:01:15.996229,slurm_normal,1519675295.0,0,7680.0,1.0,main_w3_handler0,3320392,18526515,False,,2431,bed,12622548,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34079604}]","""""",32.0,,44175929.0,1519675288.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-26 20:01:37.381660,115950.0,7.0
2018-02-26 20:09:06.124136,slurm_normal,1519675761.0,0,7680.0,1.0,main_w3_handler0,3320392,18526610,False,,4178,bed,12622635,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34080251}]","""""",32.0,,44175929.0,1519675755.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-26 20:09:23.258825,115950.0,6.0
2018-02-26 20:34:30.631314,slurm_normal,1519677299.0,0,7680.0,1.0,main_w3_handler1,3320392,18526871,False,,48190,bed,12622829,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33305211}]","""""",32.0,,44175929.0,1519677293.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-26 20:35:03.082728,115950.0,6.0
2018-02-26 21:31:44.821350,slurm_normal,1519680720.0,0,7680.0,1.0,main_w4_handler0,3320392,18528200,False,,39277,bed,12624319,slurm,,132109816.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34083373}]","""""",32.0,,44175929.0,1519680716.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_sortbed/2.27.0.0,2.27.0.0,,2018-02-26 21:32:02.729815,115950.0,4.0
