create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.effective_genome_size_options.__current_case__,parameters.effective_genome_size_options.effective_genome_size_options_selector,parameters.effective_genome_size_options.gsize,parameters.infile,parameters.keep_dup_options.__current_case__,parameters.keep_dup_options.keep_dup_options_selector,parameters.keep_dup_options.user_keepdup,parameters.pvalue,parameters.tsize,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-02-03 15:05:12.596438,slurm_normal,1454512954.0,0,1.0,main_w2_handler0,2583925,11701470,False,2398629063,bam,,5955611.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,2150570000,,23167921,1,1,,"""1e-5""","""-1.0""",32.0,,27548895,1454512626.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-03 15:22:38.586859,57381,328.0
2016-02-03 15:05:19.114739,slurm_normal,1454513606.0,0,1.0,main_w2_handler1,2583925,11701477,False,6555842798,bam,,5955704.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,2150570000,,23167934,1,1,,"""1e-5""","""-1.0""",32.0,,27548895,1454512968.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-03 15:33:32.067976,57381,638.0
2016-02-03 15:05:18.044392,slurm_normal,1454513638.0,0,1.0,main_w2_handler1,2583925,11701475,False,6272036685,bam,,5955684.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,2150570000,,23167930,1,1,,"""1e-5""","""-1.0""",32.0,,27548895,1454512891.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-03 15:34:07.927633,57381,747.0
2016-02-03 15:05:13.649612,slurm_normal,1454514019.0,0,1.0,main_w1_handler2,2583925,11701471,False,7378733757,bam,,5955835.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,2150570000,,23167923,1,1,,"""1e-5""","""-1.0""",32.0,,27548895,1454513381.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-03 15:40:23.415430,57381,638.0
2016-02-03 15:05:16.768862,slurm_normal,1454514375.0,0,1.0,main_w1_handler1,2583925,11701474,False,8685181262,bam,,5955896.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,2150570000,,23167929,1,1,,"""1e-5""","""-1.0""",32.0,,27548895,1454513620.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-03 15:48:24.090321,57381,755.0
2016-02-03 15:05:20.582893,slurm_normal,1454514790.0,0,1.0,main_w1_handler1,2583925,11701479,False,6809913236,bam,,5956058.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,2150570000,,23167939,1,1,,"""1e-5""","""-1.0""",32.0,,27548895,1454514034.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-03 15:53:13.483434,57381,756.0
2016-02-03 15:05:11.005611,slurm_normal,1454514904.0,0,1.0,main_w1_handler0,2583925,11701469,False,7597931488,bam,,5956164.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,2150570000,,23167919,1,1,,"""1e-5""","""-1.0""",32.0,,27548895,1454514280.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-03 15:55:06.667084,57381,624.0
2016-02-03 15:05:15.815124,slurm_normal,1454515417.0,0,1.0,main_w1_handler0,2583925,11701473,False,9322254079,bam,,5956243.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,2150570000,,23167928,1,1,,"""1e-5""","""-1.0""",32.0,,27548895,1454514516.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-03 16:03:39.396341,57381,901.0
2016-02-03 15:05:21.440521,slurm_normal,1454515697.0,0,1.0,main_w1_handler0,2583925,11701480,False,7193728863,bam,,5956347.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,2150570000,,23167941,1,1,,"""1e-5""","""-1.0""",32.0,,27548895,1454514799.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-03 16:08:22.033406,57381,898.0
2016-02-03 15:05:14.458589,slurm_normal,1454516123.0,0,1.0,main_w2_handler0,2583925,11701472,False,7716422033,bam,,5956380.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,2150570000,,23167925,1,1,,"""1e-5""","""-1.0""",32.0,,27548895,1454515009.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-03 16:15:27.861034,57381,1114.0
2016-02-03 15:05:19.623367,slurm_normal,1454516789.0,0,1.0,main_w2_handler0,2583925,11701478,False,8767025837,bam,,5956570.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,2150570000,,23167937,1,1,,"""1e-5""","""-1.0""",32.0,,27548895,1454515448.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-03 16:26:40.098554,57381,1341.0
2016-02-04 10:40:51.952494,slurm_normal,1454583337.0,0,1.0,main_w2_handler0,2588558,11708939,False,3028308313,bam,,5966964.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,2150570000,,23183647,1,1,,"""1e-5""","""-1.0""",32.0,,27399509,1454582750.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-04 10:55:42.520762,57113,587.0
2016-02-04 10:40:51.360205,slurm_normal,1454583579.0,0,1.0,main_w1_handler1,2588558,11708938,False,1925308145,bam,,5967005.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,2150570000,,23183646,1,1,,"""1e-5""","""-1.0""",32.0,,27399509,1454583255.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-04 10:59:42.234633,57113,324.0
2016-02-04 15:35:50.265362,slurm_normal,1454600610.0,0,1.0,main_w2_handler1,2588558,11711066,False,9197980470,sam,,5968938.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,2150570000,,23186651,1,1,,"""1e-5""","""-1.0""",32.0,,27399509,1454600185.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-04 15:43:37.663882,57113,425.0
2016-02-04 15:35:48.376862,slurm_normal,1454600737.0,0,1.0,main_w2_handler0,2588558,11711065,False,13105478281,sam,,5968937.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,2150570000,,23186650,1,1,,"""1e-5""","""-1.0""",32.0,,27399509,1454600175.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_filterdup/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-04 15:45:40.962371,57113,562.0
