chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input.values,parameters.input|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-11-20 09:45:11.615118,slurm_normal,1511177672.0,0,,1.0,main_w4_handler1,3331935,17515813,False,,333796055,bam,11576978,slurm,,132112168.0,corral-repl,,"""5f8eaf6acdd711e78127005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","[{'src': 'hda', 'id': 32413019}]","""PCA0211.fastq""",32.0,,,1511177668.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats/2.0.1,2.0.1,,2017-11-20 11:34:33.841727,115133.0,4.0
,,2017-11-20 09:45:08.916131,slurm_normal,1511176220.0,0,,1.0,main_w3_handler1,3331935,17515810,False,,352560847,bam,11576746,slurm,,132112168.0,corral-repl,,"""5f8eaf6acdd711e78127005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","[{'src': 'hda', 'id': 32413015}]","""PCA0205.fastq""",32.0,,,1511176215.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats/2.0.1,2.0.1,,2017-11-20 11:10:21.985979,115133.0,5.0
,,2018-03-02 22:24:31.549713,slurm_normal,1520029716.0,0,7680.0,1.0,main_w4_handler1,3215505,18587303,False,,8431635,bam,12682276,slurm,,132112168.0,corral-repl,,"""782b7bc01e6811e8b5f3005056ba2773""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34179831}]",,32.0,,,1520029712.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats/2.0.1,2.0.1,,2018-03-02 22:28:37.899659,109892.0,4.0
,,2017-11-09 00:16:35.168537,slurm_normal,1510186686.0,0,,1.0,main_w3_handler1,3314809,17388945,False,,1631909,bam,11450698,slurm,,132112168.0,corral-repl,,"""31d3b6bcc4e311e79221005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","[{'src': 'hda', 'id': 32118734}]","""PCA0210.fastq""",32.0,,,1510186682.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats/2.0.1,2.0.1,,2017-11-09 00:18:09.293006,115133.0,4.0
,,2017-10-23 06:30:12.527974,slurm_normal,1508740219.0,0,,1.0,main_w4_handler0,3262659,17172199,False,,21929363,bam,11232222,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31808299}]",,32.0,,40751997.0,1508740214.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats/2.0.1,2.0.1,,2017-10-23 06:30:20.482543,,5.0
,,2018-01-09 06:06:31.365466,slurm_normal,1515478000.0,0,,1.0,main_w4_handler0,3385404,17978770,False,,2493894559,bam,12055585,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33225230}]",,32.0,,43070949.0,1515477994.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats/2.0.1,2.0.1,,2018-01-09 06:06:42.465721,119517.0,6.0
,,2018-02-14 17:19:02.777607,slurm_normal,1518628755.0,0,7680.0,1.0,main_w3_handler0,3427643,18384903,False,,12937517,bam,12469953,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 33855107}]",,32.0,,43911412.0,1518628752.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats/2.0.1,2.0.1,,2018-02-14 17:19:18.765858,120157.0,3.0
,,2018-01-18 16:56:13.272891,slurm_normal,1516294633.0,0,,1.0,main_w4_handler0,3223700,18073797,False,,23514,bam,12152365,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33332756}]",,32.0,,43223647.0,1516294629.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats/2.0.1,2.0.1,,2018-01-18 16:57:15.383605,76361.0,4.0
,,2017-12-04 07:10:20.198158,slurm_normal,1512371434.0,0,,1.0,main_w4_handler0,3231575,17686694,False,,6010325101,bam,11751264,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31120640}]",,32.0,,42438002.0,1512371430.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats/2.0.1,2.0.1,,2017-12-04 07:10:37.026481,110489.0,4.0
,,2017-11-06 00:51:48.459026,slurm_normal,1509929562.0,0,,1.0,main_w3_handler0,3309314,17339678,False,,4895011,bam,11402282,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32082818}]",,32.0,,40988904.0,1509929557.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats/2.0.1,2.0.1,,2017-11-06 00:52:44.325719,111498.0,5.0
,,2018-02-27 06:19:53.114898,slurm_normal,1519712402.0,0,7680.0,1.0,main_w4_handler1,3423033,18531548,False,,11792724,bam,12628008,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34088782}]",,32.0,,43796352.0,1519712398.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats/2.0.1,2.0.1,,2018-02-27 06:20:03.074580,,4.0
,,2018-01-06 05:46:47.846472,slurm_normal,1515217709.0,0,,1.0,main_w3_handler1,3377264,17960947,False,,26395269,bam,12037621,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33196883}]",,32.0,,42885903.0,1515217705.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_idxstats/samtools_idxstats/2.0.1,2.0.1,,2018-01-06 05:48:31.609394,,4.0
