chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.shift,parameters.window,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-08-08 15:41:12.291270,slurm_normal,1439048507.0,1.0,1.0,main_w2_handler0,2378926,10083440,False,,96994759,fasta,4360342.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20448649,,"""100""","""1000""",32.0,,23409957,1439048494.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: isochore47/5.0.0,5.0.0,,2015-08-08 15:41:48.966186,43177.0,13.0
,,2015-12-10 04:00:09.493231,slurm_normal,1449720051.0,1.0,1.0,main_w1_handler2,673123,11136326,False,,4857514,fasta,5403869.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22383179,,"""100""","""1000""",32.0,,25537149,1449720042.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: isochore47/5.0.0,5.0.0,,2015-12-10 04:00:55.822198,15114.0,9.0
,,2015-11-04 01:47:36.153299,slurm_normal,1446601675.0,1.0,1.0,main_w2_handler1,2494311,10812393,False,,36983,fasta,5067996.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21862140,,"""100""","""1000""",32.0,,26074369,1446601670.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: isochore47/5.0.0,5.0.0,,2015-11-04 01:47:57.942512,,5.0
,,2016-09-08 15:49:32.011628,slurm_normal,1473349842.0,1.0,1.0,main_w4_handler0,2811949,13808173,False,,15759564,fasta,8029076.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d30f18061802f669'}]","""100""","""1000""",32.0,,32838985,1473349787.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: isochore47/5.0.0,5.0.0,,2016-09-08 15:50:46.062367,89584.0,55.0
,,2016-09-08 01:24:04.578720,slurm_normal,1473297870.0,1.0,1.0,main_w4_handler0,2811944,13802615,False,,10932126,fasta,8023122.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b558abd2ae50a7fdae'}]","""100""","""1000""",32.0,,32797095,1473297860.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: isochore47/5.0.0,5.0.0,,2016-09-08 01:24:34.643482,89580.0,10.0
,,2016-09-08 02:34:37.712577,slurm_normal,1473302094.0,1.0,1.0,main_w4_handler0,2811949,13802851,False,,9200673,fasta,8023373.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ada37061d6bc1f64'}]","""100""","""1000""",32.0,,32831071,1473302090.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: isochore47/5.0.0,5.0.0,,2016-09-08 02:34:58.104713,89584.0,4.0
,,2016-09-08 02:35:29.107281,slurm_normal,1473302153.0,1.0,1.0,main_w4_handler1,2811949,13802853,False,,9200673,fasta,8023379.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ada37061d6bc1f64'}]","""100""","""1000""",32.0,,32831071,1473302142.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: isochore47/5.0.0,5.0.0,,2016-09-08 02:35:57.520517,89584.0,11.0
,,2016-09-08 02:34:54.667492,slurm_normal,1473302113.0,1.0,1.0,main_w4_handler0,2811949,13802852,False,Job output deleted by user before job completed.,16152057,fasta,8023376.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54487833477ca8fa7'}]","""100""","""1000""",32.0,,32831071,1473302108.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: isochore47/5.0.0,5.0.0,,2016-09-08 02:35:16.511667,89584.0,5.0
,,2016-09-08 02:35:39.962296,slurm_normal,1473302159.0,1.0,1.0,main_w4_handler0,2811949,13802855,False,,16152057,fasta,8023381.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54487833477ca8fa7'}]","""100""","""1000""",32.0,,32831071,1473302152.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: isochore47/5.0.0,5.0.0,,2016-09-08 02:36:05.073598,89584.0,7.0
,,2016-09-08 00:55:00.269263,slurm_normal,1473296127.0,1.0,1.0,main_w4_handler1,2811946,13802567,False,,10219869,fasta,8023061.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ae476e77931869d3'}]","""100""","""1000""",32.0,,32797105,1473296119.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: isochore47/5.0.0,5.0.0,,2016-09-08 00:55:32.072461,89581.0,8.0
