BED,BED1,BED1_filetype,BED2,BED2_filetype,BED3,BED3_filetype,BED4,BED4_filetype,BED5,BED5_filetype,BED6,BED6_filetype,BED7,BED7_filetype,BED8,BED8_filetype,BED_filetype,bamfiles,bamfiles1,bamfiles10,bamfiles10_filetype,bamfiles11,bamfiles11_filetype,bamfiles12,bamfiles12_filetype,bamfiles13,bamfiles13_filetype,bamfiles14,bamfiles14_filetype,bamfiles15,bamfiles15_filetype,bamfiles16,bamfiles16_filetype,bamfiles17,bamfiles17_filetype,bamfiles18,bamfiles18_filetype,bamfiles19,bamfiles19_filetype,bamfiles1_filetype,bamfiles2,bamfiles20,bamfiles20_filetype,bamfiles21,bamfiles21_filetype,bamfiles22,bamfiles22_filetype,bamfiles23,bamfiles23_filetype,bamfiles24,bamfiles24_filetype,bamfiles25,bamfiles25_filetype,bamfiles26,bamfiles26_filetype,bamfiles27,bamfiles27_filetype,bamfiles28,bamfiles28_filetype,bamfiles29,bamfiles29_filetype,bamfiles2_filetype,bamfiles3,bamfiles30,bamfiles30_filetype,bamfiles31,bamfiles31_filetype,bamfiles32,bamfiles32_filetype,bamfiles33,bamfiles33_filetype,bamfiles34,bamfiles34_filetype,bamfiles35,bamfiles35_filetype,bamfiles36,bamfiles36_filetype,bamfiles37,bamfiles37_filetype,bamfiles38,bamfiles38_filetype,bamfiles39,bamfiles39_filetype,bamfiles3_filetype,bamfiles4,bamfiles40,bamfiles40_filetype,bamfiles41,bamfiles41_filetype,bamfiles42,bamfiles42_filetype,bamfiles43,bamfiles43_filetype,bamfiles44,bamfiles44_filetype,bamfiles45,bamfiles45_filetype,bamfiles46,bamfiles46_filetype,bamfiles47,bamfiles47_filetype,bamfiles48,bamfiles48_filetype,bamfiles4_filetype,bamfiles5,bamfiles5_filetype,bamfiles6,bamfiles6_filetype,bamfiles7,bamfiles7_filetype,bamfiles8,bamfiles8_filetype,bamfiles9,bamfiles9_filetype,bamfiles_filetype,blackListFileName,blackListFileName1,blackListFileName1_filetype,blackListFileName_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.BED.values,parameters.advancedOpt.__current_case__,parameters.advancedOpt.alpha,parameters.advancedOpt.blackListFileName.values,parameters.advancedOpt.centerReads,parameters.advancedOpt.colors,parameters.advancedOpt.doExtendCustom.__current_case__,parameters.advancedOpt.doExtendCustom.doExtend,parameters.advancedOpt.ignoreDuplicates,parameters.advancedOpt.keepExons,parameters.advancedOpt.labels,parameters.advancedOpt.maxFragmentLength,parameters.advancedOpt.minFragmentLength,parameters.advancedOpt.minMappingQuality,parameters.advancedOpt.numPlotsPerRow,parameters.advancedOpt.perSample,parameters.advancedOpt.plotHeight,parameters.advancedOpt.plotTitle,parameters.advancedOpt.plotWidth,parameters.advancedOpt.regionLabels,parameters.advancedOpt.samFlagExclude,parameters.advancedOpt.samFlagInclude,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.variableScales,parameters.bamfiles.values,parameters.chromInfo,parameters.dbkey,parameters.outFileFormat,parameters.outRawCounts,parameters.region,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
3373518,3373518,bed,,,,,,,,,,,,,,,bed,768187395,768187395,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,2017-02-22 14:59:39.427173,slurm_normal,1487777371.0,0,1.0,main_w4_handler1,3005711,15107965,False,,9263050.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28462959}]",,,,,,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 28462935}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""pdf""","""false""","""""",32.0,,36178331,1487776133.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.6.0,2.3.6.0,,2017-02-22 15:29:33.467157,97687.0,1238.0
4064,4064,bed,,,,,,,,,,,,,,,bed,87738944,87738944,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,2017-02-24 19:53:33.970939,slurm_normal,1487966383.0,0,1.0,main_w3_handler1,1534174,15136246,False,,9289625.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28506009}]",0.0,,,,,,,,,,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 28505842}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""png""","""false""","""""",32.0,,36272512,1487966105.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.6.0,2.3.6.0,,2017-02-24 19:59:46.636242,37297.0,278.0
4757,4757,bed,,,,,,,,,,,,,,,bed,20885693,20885693,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,2017-02-25 20:40:29.916060,slurm_normal,1488055442.0,0,1.0,main_w3_handler0,1534174,15143825,False,,9296612.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28517734}]",0.0,,,,,,,,,,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 28517731}]","""/galaxy-repl/localdata/chrom/hg19Patch10.len""","""hg19Patch10""","""png""","""true""","""""",32.0,,36272512,1488055315.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.6.0,2.3.6.0,,2017-02-25 20:44:05.312626,37297.0,127.0
7892,7892,bed,,,,,,,,,,,,,,,bed,11643853,11643853,,,,,,,,,,,,,,,,,,,,,bam,7418096.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,2017-02-28 03:57:44.238174,slurm_normal,1488254438.0,0,1.0,main_w3_handler1,3003195,15161826,False,,9313205.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28454483}]",0.0,,,,,,,,,,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 28436316}, {'src': 'hda', 'id': 28436317}]","""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""","""png""","""false""","""""",32.0,,36181470,1488254328.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.6.0,2.3.6.0,,2017-02-28 04:00:39.814695,100540.0,110.0
18317269,18317269,bed,,,,,,,,,,,,,,,bed,9697487043,9697487043,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,2017-02-28 15:55:40.422929,slurm_normal,1488345071.0,0,1.0,main_w3_handler0,2842191,15168121,False,,9319204.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28554853}]",0.0,,,,,,,,,,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 26876419}]","""/galaxy-repl/localdata/chrom/susScr3.len""","""susScr3""","""png""","""true""","""""",32.0,,36325099,1488297495.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.6.0,2.3.6.0,,2017-03-01 05:11:15.539853,91535.0,47576.0
19475,19475,bed,,,,,,,,,,,,,,,bed,175946809,175946809,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,2017-03-08 10:04:42.706487,slurm_normal,1488967767.0,0,1.0,main_w3_handler0,2940083,15241666,False,,9389252.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28355214}]",0.0,,,,,,,,,,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 28490812}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""png""","""false""","""""",32.0,,35064892,1488967733.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.6.0,2.3.6.0,,2017-03-08 10:09:30.243995,97387.0,34.0
81302013,81302013,bed,,,,,,,,,,,,,,,bed,1169759878,1169759878,,,,,,,,,,,,,,,,,,,,,bam,728240090.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,2017-03-11 00:27:51.587746,slurm_normal,1489197305.0,0,1.0,main_w4_handler1,3015939,15267959,False,,9413825.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28714905}]",0.0,,,,,,,,,,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 28713031}, {'src': 'hda', 'id': 28713033}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""png""","""false""","""""",32.0,,36517777,1489192172.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.6.0,2.3.6.0,,2017-03-11 01:55:08.269994,55174.0,5133.0
61,61,bed,,,,,,,,,,,,,,,bed,14399084,14399084,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,2017-03-13 06:23:24.109609,slurm_normal,1489391915.0,0,1.0,main_w4_handler1,3028874,15277804,False,,9422572.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28730900}]",0.0,,,,,,,,,,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 28730898}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""png""","""false""","""""",32.0,,36583920,1489391879.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.6.0,2.3.6.0,,2017-03-13 07:58:37.580244,,36.0
15706603,15706603,bed,,,,,,,,,,,,,,,bed,1399737337,1399737337,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,2017-03-13 17:31:07.672607,slurm_normal,1489426514.0,0,1.0,main_w3_handler0,1052646,15283814,False,,9427924.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28739884}]",,,,,,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 28719330}]","""/galaxy-repl/localdata/chrom/ce10.len""","""ce10""","""png""","""false""","""""",32.0,,36559332,1489426356.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.6.0,2.3.6.0,,2017-03-13 17:35:16.219754,24364.0,158.0
61,61,bed,,,,,,,,,,,,,,,bed,10934164,10934164,3151876.0,bam,4379140.0,bam,2603622.0,bam,2381667.0,bam,3391924.0,bam,2888100.0,bam,795343.0,bam,1135063.0,bam,1520355.0,bam,1591503.0,bam,bam,14195729.0,983182.0,bam,2515372.0,bam,2251365.0,bam,2450860.0,bam,1035766.0,bam,3593213.0,bam,2916939.0,bam,2664609.0,bam,12491452.0,bam,2927107.0,bam,bam,13065940.0,1788235.0,bam,8891716.0,bam,11937075.0,bam,12260030.0,bam,14698219.0,bam,11773306.0,bam,13079973.0,bam,12190364.0,bam,11737993.0,bam,13078915.0,bam,bam,7783848.0,14399084.0,bam,,,,,,,,,,,,,,,,,bam,18378972.0,bam,12384924.0,bam,15656503.0,bam,15131427.0,bam,13915228.0,bam,bam,,,,,2017-03-13 21:49:07.667762,slurm_normal,1489459952.0,0,1.0,main_w3_handler1,3028874,15286049,False,,9429847.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28730900}]",0.0,,,,,,,,,,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 28730840}, {'src': 'hda', 'id': 28730841}, {'src': 'hda', 'id': 28730843}, {'src': 'hda', 'id': 28730844}, {'src': 'hda', 'id': 28730846}, {'src': 'hda', 'id': 28730847}, {'src': 'hda', 'id': 28730848}, {'src': 'hda', 'id': 28730849}, {'src': 'hda', 'id': 28730850}, {'src': 'hda', 'id': 28730851}, {'src': 'hda', 'id': 28730852}, {'src': 'hda', 'id': 28730853}, {'src': 'hda', 'id': 28730854}, {'src': 'hda', 'id': 28730855}, {'src': 'hda', 'id': 28730856}, {'src': 'hda', 'id': 28730857}, {'src': 'hda', 'id': 28730858}, {'src': 'hda', 'id': 28730859}, {'src': 'hda', 'id': 28730860}, {'src': 'hda', 'id': 28730861}, {'src': 'hda', 'id': 28730862}, {'src': 'hda', 'id': 28730864}, {'src': 'hda', 'id': 28730865}, {'src': 'hda', 'id': 28730866}, {'src': 'hda', 'id': 28730867}, {'src': 'hda', 'id': 28730868}, {'src': 'hda', 'id': 28730870}, {'src': 'hda', 'id': 28730877}, {'src': 'hda', 'id': 28730878}, {'src': 'hda', 'id': 28730879}, {'src': 'hda', 'id': 28730888}, {'src': 'hda', 'id': 28730889}, {'src': 'hda', 'id': 28730890}, {'src': 'hda', 'id': 28730892}, {'src': 'hda', 'id': 28730893}, {'src': 'hda', 'id': 28730894}, {'src': 'hda', 'id': 28730895}, {'src': 'hda', 'id': 28730896}, {'src': 'hda', 'id': 28730897}, {'src': 'hda', 'id': 28730898}]","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""png""","""false""","""""",32.0,,36583920,1489441847.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_enrichment/deeptools_plot_enrichment/2.3.6.0,2.3.6.0,,2017-03-14 02:52:33.695817,,18105.0
