create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.inputA,parameters.inputA.values,parameters.inputB,parameters.inputB.values,parameters.overlap,parameters.reciprocal,parameters.split,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-01-28 19:39:25.210980,slurm_normal,1454009981.0,0,1.0,main_w1_handler1,2561345,11625578,False,,22782,bed,118725,bed,5889537.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",23060636,,23072238,,"""1e-09""","""False""","""False""","""""",32.0,,27799599,1454009975.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.22.0,2.22.0,,2016-01-28 19:39:44.241868,76583.0,6.0
2016-04-27 10:07:05.878073,slurm_normal,1461751702.0,0,1.0,main_w1_handler0,2478539,12641296,False,,13685,bed,13685,bed,6845929.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e63a490172a4d851'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e63a490172a4d851'}]","""1e-09""","""false""","""false""","""""",32.0,,29788881,1461751699.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.22.0,2.22.0,,2016-04-27 10:08:25.221620,70907.0,3.0
2016-04-27 10:18:44.392036,slurm_normal,1461752380.0,0,1.0,main_w1_handler0,2478539,12641738,False,,2298992,bed,1676011,bed,6846115.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55e1a340b123e0c66'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51a9dd158d8c7b890'}]","""1e-09""","""false""","""false""","""""",32.0,,29788881,1461752376.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.22.0,2.22.0,,2016-04-27 10:19:42.699862,70907.0,4.0
2016-01-15 12:47:21.997662,slurm_normal,1452862101.0,0,1.0,main_w2_handler1,2473073,11511630,False,,7885979,bed,7885979,bed,5780084.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22911840,,22911840,,"""1e-09""","""False""","""False""","""""",32.0,,27460169,1452862096.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.22.0,2.22.0,,2016-01-15 12:48:28.083987,70907.0,5.0
2016-01-21 16:59:07.131776,slurm_normal,1453395789.0,0,1.0,main_w1_handler2,2561345,11573066,False,,11148,bed,4824,bed,5837510.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",22987682,,22932758,,"""1e-09""","""False""","""False""","""""",32.0,,27604308,1453395784.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.22.0,2.22.0,,2016-01-21 17:03:18.004739,76583.0,5.0
2016-01-21 17:34:32.623156,slurm_normal,1453397780.0,0,1.0,main_w1_handler0,2561345,11573332,False,,11148,bed,4824,bed,5837845.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",22987682,,22932758,,"""1e-09""","""False""","""False""","""""",32.0,,27604308,1453397775.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.22.0,2.22.0,,2016-01-21 17:36:23.427379,76583.0,5.0
2016-01-20 18:15:23.456031,slurm_normal,1453313751.0,0,1.0,main_w1_handler1,2561345,11564146,False,,4824,bed,10778,bed,5829593.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",22932758,,22932765,,"""1e-09""","""False""","""False""","""""",32.0,,27485683,1453313736.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.22.0,2.22.0,,2016-01-20 18:15:56.851861,76583.0,15.0
2016-04-29 00:07:34.567188,slurm_normal,1461888490.0,0,1.0,main_w2_handler0,2677964,12679798,False,,58028,bed,58028,bed,6879570.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5886c01d7ada25669'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5886c01d7ada25669'}]","""1e-09""","""false""","""false""","""""",32.0,,29726391,1461888486.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.22.0,2.22.0,,2016-04-29 00:08:11.670444,83068.0,4.0
2016-04-29 00:08:34.853422,slurm_normal,1461888554.0,0,1.0,main_w1_handler0,2677964,12679799,False,,58028,bed,346724,bed,6879578.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5886c01d7ada25669'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5879b4d7356eeb17a'}]","""1e-09""","""false""","""false""","""""",32.0,,29726391,1461888551.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.22.0,2.22.0,,2016-04-29 00:09:15.793732,83068.0,3.0
2016-05-03 04:25:41.599607,slurm_normal,1462249577.0,0,1.0,main_w1_handler2,2692540,12743152,False,,29354,bed,36713,bed,6946437.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52cb8af5e6b9495fa'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57aa34c13d6ed1a5f'}]","""1e-09""","""false""","""false""","""""",32.0,,30005287,1462249574.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_jaccard/2.22.0,2.22.0,,2016-05-03 04:26:21.810056,34202.0,3.0
