chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.input_chromCol,parameters.input_column_types,parameters.input_columns,parameters.input_dbkey,parameters.input_endCol,parameters.input_startCol,parameters.input_strandCol,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-05-20 11:07:20.039317,slurm_normal,1432121406.0,0.0,,1.0,main_w2_handler1,2272259.0,9503287,False,,2035321311,wig,3824671.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19313043,,,,,,,,,32.0,,23073372.0,1432120049.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-05-20 11:30:10.292890,50791.0,1357.0
,,2015-06-25 12:02:18.705927,slurm_normal,1435233843.0,0.0,,1.0,main_w1_handler1,2355110.0,9730851,False,,41747416,wig,4037466,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer1.len""","""sacCer1""",20130086,,,,,,,,,32.0,,23769527.0,1435233815.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-06-25 12:04:09.218765,10211.0,28.0
,,2015-06-25 12:02:08.216465,slurm_normal,1435233818.0,0.0,,1.0,main_w1_handler1,2355110.0,9730850,False,,41343748,wig,4037464,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer1.len""","""sacCer1""",20130081,,,,,,,,,32.0,,23769527.0,1435233790.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-06-25 12:04:02.500121,10211.0,28.0
,,2015-05-27 16:48:18.448254,slurm_normal,1432745322.0,0.0,,1.0,main_w1_handler1,2321170.0,9546156,False,,2530315,wig,3859922.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19830519,,,,,,,,,32.0,,23300047.0,1432745309.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-05-27 16:48:45.670502,,13.0
,,2015-09-16 14:40:42.236020,slurm_normal,1442414477.0,0.0,,1.0,main_w1_handler2,2359451.0,10334406,False,,6776897,wig,4617817.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",21133574,,,,,,,,,32.0,,23896945.0,1442414465.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-09-16 14:41:19.712710,,12.0
,,2015-06-09 02:26:26.458907,slurm_normal,1433816813.0,0.0,,1.0,main_w1_handler2,1415380.0,9616826,False,,23472,wig,3928307.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",11634906,,,,,,,,,32.0,,23494838.0,1433816805.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-06-09 02:26:56.213235,33972.0,8.0
,,2015-06-04 18:14:00.333356,slurm_normal,1433441902.0,0.0,,1.0,main_w1_handler1,2289737.0,9599427,False,,108229519,wig,3910482.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",19916386,,,,,,,,,32.0,,22822387.0,1433441669.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-06-04 18:18:26.600456,52862.0,233.0
,,2015-06-15 08:47:51.914224,slurm_normal,1434358159.0,0.0,,1.0,main_w1_handler2,2221638.0,9652885,False,,21837130,wig,3963731.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20006556,,,,,,,,,32.0,,23296724.0,1434358137.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-06-15 08:49:21.624577,49703.0,22.0
,,2015-06-10 09:27:18.737159,slurm_normal,1433928488.0,0.0,,1.0,main_w2_handler1,2329191.0,9624785,False,,20075816,wig,3935865.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/sacCer1.len""","""sacCer1""",19899695,,,,,,,,,32.0,,23560564.0,1433928464.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-06-10 09:28:10.569561,14349.0,24.0
,,2015-06-15 08:48:14.711524,slurm_normal,1434358211.0,0.0,,1.0,main_w1_handler1,2221638.0,9652889,False,,10216785,wig,3963740.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20006559,,,,,,,,,32.0,,23296724.0,1434358195.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-06-15 08:50:13.798508,49703.0,16.0
,,2015-06-15 08:48:29.094710,slurm_normal,1434358222.0,0.0,,1.0,main_w1_handler1,2221638.0,9652891,False,,9910670,wig,3963741.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20006561,,,,,,,,,32.0,,23296724.0,1434358211.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-06-15 08:50:25.887300,49703.0,11.0
,,2015-06-15 08:46:46.848392,slurm_normal,1434358053.0,0.0,,1.0,main_w2_handler0,2221638.0,9652876,False,,17246506,wig,3963718.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20006536,,,,,,,,,32.0,,23296724.0,1434358039.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-06-15 08:47:35.170190,49703.0,14.0
,,2015-06-15 08:45:39.259857,slurm_normal,1434357984.0,0.0,,1.0,main_w2_handler0,2221638.0,9652867,False,,21291373,wig,3963712.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20006518,,,,,,,,,32.0,,23296724.0,1434357972.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-06-15 08:46:28.978517,49703.0,12.0
,,2015-06-15 08:47:41.638363,slurm_normal,1434358115.0,0.0,,1.0,main_w1_handler0,2221638.0,9652883,False,,13927548,wig,3963725.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20006555,,,,,,,,,32.0,,23296724.0,1434358102.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-06-15 08:48:38.132896,49703.0,13.0
,,2015-06-15 08:48:00.873952,slurm_normal,1434358113.0,0.0,,1.0,main_w2_handler1,2221638.0,9652887,False,,10787094,wig,3963726.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20006557,,,,,,,,,32.0,,23296724.0,1434358102.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-06-15 08:48:35.649221,49703.0,11.0
,,2015-06-15 08:49:49.478603,slurm_normal,1434358256.0,0.0,,1.0,main_w1_handler2,2221638.0,9652903,False,,13540855,wig,3963744.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20006551,,,,,,,,,32.0,,23296724.0,1434358244.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-06-15 08:50:58.748651,49703.0,12.0
,,2015-06-15 08:22:32.612795,slurm_normal,1434356596.0,0.0,,1.0,main_w2_handler0,2221638.0,9652746,False,,17826067,wig,3963621.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20006398,,,,,,,,,32.0,,23296724.0,1434356582.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-06-15 08:23:19.278015,49703.0,14.0
,,2015-06-15 08:49:01.401720,slurm_normal,1434358237.0,0.0,,1.0,main_w1_handler2,2221638.0,9652899,False,,5516387,wig,3963743.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20006567,,,,,,,,,32.0,,23296724.0,1434358227.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-06-15 08:50:39.345067,49703.0,10.0
,,2015-06-15 08:48:36.126857,slurm_normal,1434358205.0,0.0,,1.0,main_w1_handler2,2221638.0,9652893,False,,12293879,wig,3963739.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20006563,,,,,,,,,32.0,,23296724.0,1434358194.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-06-15 08:50:08.562213,49703.0,11.0
,,2015-06-15 08:48:49.016791,slurm_normal,1434358166.0,0.0,,1.0,main_w2_handler1,2221638.0,9652895,False,,8550225,wig,3963732.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20006565,,,,,,,,,32.0,,23296724.0,1434358155.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-06-15 08:49:28.266317,49703.0,11.0
,,2015-06-15 08:47:31.949352,slurm_normal,1434358139.0,0.0,,1.0,main_w1_handler1,2221638.0,9652882,False,,15085856,wig,3963729.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20006554,,,,,,,,,32.0,,23296724.0,1434358126.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-06-15 08:49:01.240303,49703.0,13.0
,,2015-06-15 08:48:41.801922,slurm_normal,1434358256.0,0.0,,1.0,main_w1_handler1,2221638.0,9652894,False,,8766473,wig,3963745.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20006564,,,,,,,,,32.0,,23296724.0,1434358245.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-06-15 08:50:59.515068,49703.0,11.0
,,2015-06-15 08:48:56.130428,slurm_normal,1434358272.0,0.0,,1.0,main_w1_handler1,2221638.0,9652898,False,,119648,wig,3963746.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20006566,,,,,,,,,32.0,,23296724.0,1434358265.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-06-15 08:51:14.843120,49703.0,7.0
,,2015-06-15 08:48:09.634174,slurm_normal,1434358131.0,0.0,,1.0,main_w2_handler1,2221638.0,9652888,False,,11505939,wig,3963728.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20006558,,,,,,,,,32.0,,23296724.0,1434358119.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-06-15 08:48:54.756701,49703.0,12.0
,,2015-06-15 08:48:21.202433,slurm_normal,1434358172.0,0.0,,1.0,main_w1_handler2,2221638.0,9652890,False,,11733479,wig,3963733.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20006560,,,,,,,,,32.0,,23296724.0,1434358160.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-06-15 08:49:34.416525,49703.0,12.0
,,2015-06-15 08:47:15.628418,slurm_normal,1434358091.0,0.0,,1.0,main_w2_handler0,2221638.0,9652880,False,,18140497,wig,3963723.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20006552,,,,,,,,,32.0,,23296724.0,1434358077.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-06-15 08:48:13.969782,49703.0,14.0
,,2015-06-15 08:46:57.468413,slurm_normal,1434358072.0,0.0,,1.0,main_w2_handler0,2221638.0,9652878,False,,17418126,wig,3963721.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20006548,,,,,,,,,32.0,,23296724.0,1434358058.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-06-15 08:47:56.242805,49703.0,14.0
,,2015-06-15 08:46:31.830129,slurm_normal,1434358029.0,0.0,,1.0,main_w1_handler0,2221638.0,9652874,False,,13712196,wig,3963715.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",20006520,,,,,,,,,32.0,,23296724.0,1434358018.0,ok,1023996.0,wiggle2simple1,1.0.0,,2015-06-15 08:47:13.215112,49703.0,11.0
