bams,bams1,bams1_filetype,bams2,bams2_filetype,bams3,bams3_filetype,bams4,bams4_filetype,bams5,bams5_filetype,bams6,bams6_filetype,bams7,bams7_filetype,bams8,bams8_filetype,bams_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.bams.values,parameters.chromInfo,parameters.dbkey,parameters.duplicate,parameters.failed,parameters.input.values,parameters.overlap,parameters.proper,parameters.q,parameters.reciprocal,parameters.split,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
709888984,709888984,bam,696305165.0,bam,823956131.0,bam,718437084.0,bam,,,,,,,,,bam,2018-03-02 03:58:10.467230,slurm_normal,1519964459.0,0,7680.0,1.0,main_w3_handler0,3443280,18576023,False,,2629677,bed,12670307,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 34162036}, {'src': 'hda', 'id': 34162037}, {'src': 'hda', 'id': 34162038}, {'src': 'hda', 'id': 34162039}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","""false""","""false""","[{'src': 'hda', 'id': 34162509}]","""1e-09""","""false""","""0""","""false""","""false""","""""",32.0,,44278159,1519963100.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multicovtbed/2.27.0.0,2.27.0.0,,2018-03-02 04:21:01.975551,84314,1359.0
812498305,812498305,bam,820275222.0,bam,963608081.0,bam,834246227.0,bam,,,,,,,,,bam,2018-03-02 04:04:43.122304,slurm_normal,1519964807.0,0,7680.0,1.0,main_w3_handler1,3443280,18576095,False,,2629677,bed,12670364,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 34162602}, {'src': 'hda', 'id': 34162603}, {'src': 'hda', 'id': 34162604}, {'src': 'hda', 'id': 34162605}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","""false""","""false""","[{'src': 'hda', 'id': 34162509}]","""1e-09""","""false""","""0""","""false""","""false""","""""",32.0,,44278159,1519963489.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multicovtbed/2.27.0.0,2.27.0.0,,2018-03-02 04:26:48.536866,84314,1318.0
896952678,896952678,bam,702441803.0,bam,,,,,,,,,,,,,bam,2018-03-02 05:18:23.389543,slurm_normal,1519968574.0,0,7680.0,1.0,main_w3_handler1,3443280,18576486,False,,2629677,bed,12670757,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 34163123}, {'src': 'hda', 'id': 34163124}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","""false""","""false""","[{'src': 'hda', 'id': 34162509}]","""1e-09""","""false""","""0""","""false""","""false""","""""",32.0,,44278159,1519967912.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multicovtbed/2.27.0.0,2.27.0.0,,2018-03-02 05:29:36.657004,84314,662.0
963435902,963435902,bam,797686726.0,bam,,,,,,,,,,,,,bam,2018-03-02 05:24:35.354879,slurm_normal,1519968940.0,0,7680.0,1.0,main_w4_handler1,3443280,18576523,False,,2629677,bed,12670778,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 34163165}, {'src': 'hda', 'id': 34163166}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","""false""","""false""","[{'src': 'hda', 'id': 34162509}]","""1e-09""","""false""","""0""","""false""","""false""","""""",32.0,,44278159,1519968284.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multicovtbed/2.27.0.0,2.27.0.0,,2018-03-02 05:35:41.638928,84314,656.0
452135499,452135499,bam,454947043.0,bam,575099711.0,bam,775313957.0,bam,1108004105.0,bam,1593005364.0,bam,1316021102.0,bam,817060203.0,bam,bam,2018-03-03 02:59:12.630840,slurm_normal,1520046688.0,0,7680.0,1.0,main_w3_handler0,3449807,18588362,False,,889562,bed,12683421,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 34176862}, {'src': 'hda', 'id': 34176864}, {'src': 'hda', 'id': 34176865}, {'src': 'hda', 'id': 34176866}, {'src': 'hda', 'id': 34179234}, {'src': 'hda', 'id': 34179235}, {'src': 'hda', 'id': 34179236}, {'src': 'hda', 'id': 34179237}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","""false""","""false""","[{'src': 'hda', 'id': 34181122}]","""1e-09""","""false""","""3""","""false""","""false""","""""",32.0,,43945109,1520045962.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multicovtbed/2.27.0.0,2.27.0.0,,2018-03-03 03:11:29.553155,115477,726.0
452135499,452135499,bam,454947043.0,bam,575099711.0,bam,775313957.0,bam,1108004105.0,bam,1593005364.0,bam,1316021102.0,bam,817060203.0,bam,bam,2018-03-03 02:58:26.014527,slurm_normal,1520046170.0,0,7680.0,1.0,main_w3_handler0,3449807,18588361,False,,179406,bed,12683415,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 34176862}, {'src': 'hda', 'id': 34176864}, {'src': 'hda', 'id': 34176865}, {'src': 'hda', 'id': 34176866}, {'src': 'hda', 'id': 34179234}, {'src': 'hda', 'id': 34179235}, {'src': 'hda', 'id': 34179236}, {'src': 'hda', 'id': 34179237}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","""false""","""false""","[{'src': 'hda', 'id': 34181114}]","""1e-09""","""false""","""3""","""false""","""false""","""""",32.0,,43945109,1520045914.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multicovtbed/2.27.0.0,2.27.0.0,,2018-03-03 03:02:58.423759,115477,256.0
2922054440,2922054440,bam,,,,,,,,,,,,,,,bam,2018-03-04 12:14:42.966239,slurm_normal,1520166309.0,0,7680.0,1.0,main_w3_handler0,3320392,18599412,False,,2242798,bed,12694443,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 34196258}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""true""","""false""","[{'src': 'hda', 'id': 34198272}]","""1e-09""","""false""","""0""","""false""","""false""","""""",32.0,,44308329,1520165692.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multicovtbed/2.27.0.0,2.27.0.0,,2018-03-04 12:25:11.851920,115950,617.0
2922054440,2922054440,bam,,,,,,,,,,,,,,,bam,2018-03-04 12:16:16.335538,slurm_normal,1520165979.0,0,7680.0,1.0,main_w3_handler0,3320392,18599418,False,,240399,bed,12694450,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 34196258}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""true""","""false""","[{'src': 'hda', 'id': 34198521}]","""1e-09""","""false""","""0""","""false""","""false""","""""",32.0,,44308329,1520165786.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multicovtbed/2.27.0.0,2.27.0.0,,2018-03-04 12:19:42.404068,115950,193.0
3223304849,3223304849,bam,,,,,,,,,,,,,,,bam,2018-03-04 12:34:26.215312,slurm_normal,1520166995.0,0,7680.0,1.0,main_w3_handler1,3320392,18599484,False,,152325,bed,12694525,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 34196260}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""true""","""false""","[{'src': 'hda', 'id': 34199044}]","""1e-09""","""false""","""0""","""false""","""false""","""""",32.0,,44308329,1520166871.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multicovtbed/2.27.0.0,2.27.0.0,,2018-03-04 12:36:37.325012,115950,124.0
1453586210,1453586210,bam,1478206606.0,bam,1492658453.0,bam,928973092.0,bam,1736972379.0,bam,,,,,,,bam,2018-03-05 11:24:38.613990,slurm_normal,1520250234.0,0,7680.0,1.0,main_w3_handler0,3436128,18608733,False,,1138390,bed,12704110,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 34000105}, {'src': 'hda', 'id': 34000106}, {'src': 'hda', 'id': 34000107}, {'src': 'hda', 'id': 34000108}, {'src': 'hda', 'id': 34000109}]","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""false""","""false""","[{'src': 'hda', 'id': 34213746}]","""1e-09""","""false""","""0""","""false""","""false""","""""",32.0,,44334994,1520249102.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multicovtbed/2.27.0.0,2.27.0.0,,2018-03-05 11:43:56.796689,121284,1132.0
