create_time,destination_id,end_epoch,exit_code,fastq,fastq2,fastq2_filetype,fastq_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.allow_and_ignore_empty_lines,parameters.chromInfo,parameters.comment,parameters.dbkey,parameters.description,parameters.input_type.__current_case__,parameters.input_type.fastq,parameters.input_type.fastq2,parameters.input_type.input_type_selector,parameters.library_name,parameters.max_q,parameters.min_q,parameters.platform,parameters.platform_unit,parameters.predicted_insert_size,parameters.quality_format,parameters.read_group_name,parameters.run_date,parameters.sample_name,parameters.sequencing_center,parameters.strip_unpairied_mate_number,parameters.validation_stringency,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-10 06:29:50.621229,rodeo_normal,1425969009.0,0,2840254,,,fastq,1.0,main_w1_handler1,2232405,8904916,False,,3085806.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",0,18798091,,se,"""Exp2""","""93""","""0""","""454""","""""","""314""","""Standard""","""Exp2""","""""","""Exp2""","""""","""False""","""LENIENT""",32.0,,21684833,1425969006.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2015-03-10 06:30:11.739645,,3.0
2015-03-10 06:29:50.881396,rodeo_normal,1425969009.0,0,376384,,,fastq,1.0,main_w1_handler0,2232405,8904917,False,,3085804.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",0,18798092,,se,"""Exp2""","""93""","""0""","""454""","""""","""314""","""Standard""","""Exp2""","""""","""Exp2""","""""","""False""","""LENIENT""",32.0,,21684833,1425969006.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2015-03-10 06:30:11.241561,,3.0
2015-03-10 06:29:51.182382,rodeo_normal,1425969002.0,0,4740314,,,fastq,1.0,main_w2_handler1,2232405,8904918,False,,3085800.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",0,18798093,,se,"""Exp2""","""93""","""0""","""454""","""""","""314""","""Standard""","""Exp2""","""""","""Exp2""","""""","""False""","""LENIENT""",32.0,,21684833,1425968998.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2015-03-10 06:30:03.586730,,4.0
2015-03-10 06:29:52.490539,rodeo_normal,1425969025.0,0,3829626,,,fastq,1.0,main_w2_handler1,2232405,8904919,False,,3085816.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",0,18798095,,se,"""Exp2""","""93""","""0""","""454""","""""","""314""","""Standard""","""Exp2""","""""","""Exp2""","""""","""False""","""LENIENT""",32.0,,21684833,1425969021.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2015-03-10 06:30:26.938639,,4.0
2015-03-10 06:29:53.202554,rodeo_normal,1425969025.0,0,5086,,,fastq,1.0,main_w1_handler1,2232405,8904920,False,,3085814.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",0,18798096,,se,"""Exp2""","""93""","""0""","""454""","""""","""314""","""Standard""","""Exp2""","""""","""Exp2""","""""","""False""","""LENIENT""",32.0,,21684833,1425969021.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2015-03-10 06:30:26.759951,,4.0
2015-03-10 06:29:53.710831,rodeo_normal,1425969017.0,0,1832218,,,fastq,1.0,main_w2_handler0,2232405,8904921,False,,3085810.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",0,18798098,,se,"""Exp2""","""93""","""0""","""454""","""""","""314""","""Standard""","""Exp2""","""""","""Exp2""","""""","""False""","""LENIENT""",32.0,,21684833,1425969014.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2015-03-10 06:30:19.010724,,3.0
2015-03-10 06:29:54.268875,rodeo_normal,1425969047.0,0,10300,,,fastq,1.0,main_w2_handler1,2232405,8904923,False,,3085832.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",0,18798099,,se,"""Exp2""","""93""","""0""","""454""","""""","""314""","""Standard""","""Exp2""","""""","""Exp2""","""""","""False""","""LENIENT""",32.0,,21684833,1425969044.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2015-03-10 06:30:52.066677,,3.0
2015-03-10 06:29:54.962463,rodeo_normal,1425969025.0,0,1577394,,,fastq,1.0,main_w1_handler0,2232405,8904924,False,,3085812.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",0,18798103,,se,"""Exp2""","""93""","""0""","""454""","""""","""314""","""Standard""","""Exp2""","""""","""Exp2""","""""","""False""","""LENIENT""",32.0,,21684833,1425969021.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2015-03-10 06:30:26.882322,,4.0
2015-03-10 06:29:55.575197,rodeo_normal,1425969067.0,0,1606082,,,fastq,1.0,main_w2_handler1,2232405,8904925,False,,3085840.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",0,18798105,,se,"""Exp2""","""93""","""0""","""454""","""""","""314""","""Standard""","""Exp2""","""""","""Exp2""","""""","""False""","""LENIENT""",32.0,,21684833,1425969064.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2015-03-10 06:31:10.187735,,3.0
2015-03-10 06:29:56.311114,rodeo_normal,1425969032.0,0,5072366,,,fastq,1.0,main_w1_handler0,2232405,8904926,False,,3085820.roundup,slurm,,132112168.0,corral-repl,,,"""False""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",0,18798109,,se,"""Exp2""","""93""","""0""","""454""","""""","""314""","""Standard""","""Exp2""","""""","""Exp2""","""""","""False""","""LENIENT""",32.0,,21684833,1425969029.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.126.0,1.126.0,,2015-03-10 06:30:36.057035,,3.0
