chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_bam,input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input_bam.values,parameters.max_insert_size,parameters.min_insert_size,parameters.read,parameters.require_proper_mate_pairing,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-11-14 16:10:39.094668,slurm_normal,1510675855.0,0,,1.0,main_w4_handler1,2572687,17455509,False,,23751522,bam,11513301,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 32291893}]","""""","""30""","""0""","""1""",32.0,,41893080,1510675848.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bam_to_scidx/bam_to_scidx/1.0.0,1.0.0,,2017-11-14 16:10:58.351603,63934.0,7.0
,,2017-11-14 16:20:53.259635,slurm_normal,1510676475.0,0,,1.0,main_w4_handler0,2572687,17455655,False,,23751522,bam,11513437,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 32291893}]","""""","""""","""0""","""1""",32.0,,41893080,1510676468.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bam_to_scidx/bam_to_scidx/1.0.0,1.0.0,,2017-11-14 16:21:20.543480,63934.0,7.0
,,2017-11-14 16:22:27.513025,slurm_normal,1510676576.0,0,,1.0,main_w4_handler1,2572687,17455672,False,,23751522,bam,11513457,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 32291893}]","""""","""""","""2""","""0""",32.0,,41893080,1510676567.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bam_to_scidx/bam_to_scidx/1.0.0,1.0.0,,2017-11-14 16:23:04.717776,63934.0,9.0
,,2017-11-22 07:12:19.441875,slurm_normal,1511334748.0,0,,1.0,main_w3_handler0,3334766,17546232,False,,678627947,bam,11606206,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32464069}]","""""","""""","""0""","""1""",32.0,,42168000,1511334744.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bam_to_scidx/bam_to_scidx/1.0.0,1.0.0,,2017-11-22 07:12:30.737534,106657.0,4.0
,,2018-01-14 05:44:16.175765,slurm_normal,1515908663.0,0,,1.0,main_w3_handler0,3378913,18029137,False,,92,bam,12106377,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33304741}]","""""","""""","""0""","""1""",32.0,,43187445,1515908659.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bam_to_scidx/bam_to_scidx/1.0.0,1.0.0,,2018-01-14 05:44:25.968625,119863.0,4.0
,,2018-01-14 05:43:57.388949,slurm_normal,1515908647.0,0,,1.0,main_w4_handler0,3378913,18029130,False,,92,bam,12106375,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33304744}]","""""","""""","""0""","""1""",32.0,,43187445,1515908642.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bam_to_scidx/bam_to_scidx/1.0.0,1.0.0,,2018-01-14 05:44:08.758205,119863.0,5.0
,,2018-01-14 05:44:33.701193,slurm_normal,1515908681.0,0,,1.0,main_w3_handler1,3378913,18029138,False,,92,bam,12106381,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33304738}]","""""","""""","""0""","""1""",32.0,,43187445,1515908678.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bam_to_scidx/bam_to_scidx/1.0.0,1.0.0,,2018-01-14 05:44:43.535183,119863.0,3.0
,,2017-11-29 10:39:46.347428,slurm_normal,1511951997.0,0,,1.0,main_w3_handler0,3324336,17632867,False,,405873373,bam,11693216,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 32306115}]","""""","""""","""2""","""1""",32.0,,41395779,1511951990.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bam_to_scidx/bam_to_scidx/1.0.0,1.0.0,,2017-11-29 10:39:58.713534,75576.0,7.0
,,2018-01-20 05:34:15.873926,slurm_normal,1516426508.0,0,,1.0,main_w4_handler0,3389069,18091218,False,,878667495,bam,12170589,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg18.len""","""hg18""","[{'src': 'hda', 'id': 33300563}]","""""","""""","""0""","""1""",32.0,,43180905,1516426462.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bam_to_scidx/bam_to_scidx/1.0.0,1.0.0,,2018-01-20 05:35:09.381582,58353.0,46.0
,,2017-12-06 19:00:58.782793,slurm_normal,1512586877.0,0,,1.0,main_w3_handler0,3349237,17723523,False,,2555496,bam,11789392,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 32730590}]","""""","""""","""0""","""1""",32.0,,42461485,1512586869.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bam_to_scidx/bam_to_scidx/1.0.0,1.0.0,,2017-12-06 19:01:18.801780,115958.0,8.0
