chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.input|__identifier__,parameters.mode,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-09-12 17:19:48.332058,slurm_normal,1473700806.0,0,,1.0,main_w3_handler1,2812304,13833540,False,,201296,fasta,8055731.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5eba246754d58c101'}]",,"""d""",32.0,,32719265.0,1473700801.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_nucleotide_changer/cshl_fasta_nucleotides_changer/1.0.0,1.0.0,,2016-09-12 17:20:07.832399,56032.0,5.0
,,2016-03-07 15:53:43.488336,slurm_normal,1457366164.0,0,,1.0,main_w1_handler1,2596465,12057418,False,,64218,fasta,6280063.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23721514,,,"""r""",32.0,,28854780.0,1457366047.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_nucleotide_changer/cshl_fasta_nucleotides_changer/1.0.0,1.0.0,,2016-03-07 15:56:12.985942,76827.0,117.0
,,2016-06-30 15:22:53.694040,slurm_normal,1467300199.0,0,,1.0,main_w2_handler0,2746201,13297334,False,,1367,fasta,7499058.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5275f7f3bdc67aae2'}]",,"""r""",32.0,,31008682.0,1467300194.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_nucleotide_changer/cshl_fasta_nucleotides_changer/1.0.0,1.0.0,,2016-06-30 15:23:34.771907,,5.0
,,2016-07-05 20:02:36.452348,slurm_normal,1467749009.0,0,,1.0,main_w2_handler1,2748255,13338360,False,,1844,fasta,7546384.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56a8dbf44f4c9d3fe'}]","""Mayinga6.txt""","""d""",32.0,,31047820.0,1467749005.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_nucleotide_changer/cshl_fasta_nucleotides_changer/1.0.0,1.0.0,,2016-07-05 20:03:33.215774,86540.0,4.0
,,2016-07-05 20:02:35.130478,slurm_normal,1467748985.0,0,,1.0,main_w2_handler1,2748255,13338358,False,,2002,fasta,7546376.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56359e5bc8cf29e75'}]","""Mock48.txt""","""d""",32.0,,31047820.0,1467748981.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_nucleotide_changer/cshl_fasta_nucleotides_changer/1.0.0,1.0.0,,2016-07-05 20:03:11.859536,86540.0,4.0
,,2016-07-05 20:02:34.793100,slurm_normal,1467748985.0,0,,1.0,main_w2_handler1,2748255,13338357,False,,1036,fasta,7546375.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c9e5ea74febac961'}]","""Mock6.txt""","""d""",32.0,,31047820.0,1467748981.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_nucleotide_changer/cshl_fasta_nucleotides_changer/1.0.0,1.0.0,,2016-07-05 20:03:11.737940,86540.0,4.0
,,2016-07-05 20:02:35.778206,slurm_normal,1467749009.0,0,,1.0,main_w1_handler1,2748255,13338359,False,,2312,fasta,7546382.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5de5000a6de4c8ffd'}]","""Mock24.txt""","""d""",32.0,,31047820.0,1467749005.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_nucleotide_changer/cshl_fasta_nucleotides_changer/1.0.0,1.0.0,,2016-07-05 20:03:33.600660,86540.0,4.0
,,2016-07-05 20:02:37.475639,slurm_normal,1467749013.0,0,,1.0,main_w2_handler1,2748255,13338362,False,,1258,fasta,7546385.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e9df0f83a1403d18'}]","""Maygina24.txt""","""d""",32.0,,31047820.0,1467749005.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_nucleotide_changer/cshl_fasta_nucleotides_changer/1.0.0,1.0.0,,2016-07-05 20:03:35.004574,86540.0,8.0
,,2016-07-05 20:02:36.989995,slurm_normal,1467748997.0,0,,1.0,main_w2_handler0,2748255,13338361,False,,1202,fasta,7546378.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bd11aa959ecc6162'}]","""Mayinga48.txt""","""d""",32.0,,31047820.0,1467748994.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_nucleotide_changer/cshl_fasta_nucleotides_changer/1.0.0,1.0.0,,2016-07-05 20:03:20.628613,86540.0,3.0
,,2016-03-09 13:32:54.510019,slurm_normal,1457530431.0,0,,1.0,main_w2_handler1,2610091,12082882,False,,883,fasta,6307984.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23758365,,,"""r""",32.0,,28828978.0,1457530418.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fasta_nucleotide_changer/cshl_fasta_nucleotides_changer/1.0.0,1.0.0,,2016-03-09 13:33:54.561922,33310.0,13.0
